question_set,question,choice,"Mask mandates","School closures","Business closures","Transit","Number infected","Healthcare restrictions"
1,1,1,1,3,2,1,5,1
1,1,2,1,5,2,2,2,1
1,2,1,4,2,1,2,1,1
1,2,2,1,4,3,2,5,3
1,3,1,2,3,1,2,5,3
1,3,2,3,4,1,1,3,1
1,4,1,3,1,1,2,4,3
1,4,2,1,2,1,1,3,1
1,5,1,3,1,1,1,1,1
1,5,2,3,1,3,2,4,3
1,6,1,3,1,2,2,5,2
1,6,2,1,2,3,2,2,1
1,7,1,3,4,1,1,4,2
1,7,2,1,5,2,2,5,3
1,8,1,3,4,2,1,4,2
1,8,2,3,4,1,2,4,1
1,9,1,2,1,2,1,4,1
1,9,2,4,1,3,1,3,1
1,10,1,4,3,1,2,4,1
1,10,2,3,5,1,1,2,1
2,1,1,2,3,2,1,5,2
2,1,2,3,3,3,2,4,2
2,2,1,1,3,2,2,5,2
2,2,2,1,5,2,2,5,1
2,3,1,3,1,3,1,4,1
2,3,2,1,2,2,1,4,1
2,4,1,3,4,2,2,5,3
2,4,2,2,1,3,2,3,1
2,5,1,2,1,1,2,5,1
2,5,2,4,3,1,1,3,1
2,6,1,1,4,1,2,5,1
2,6,2,4,2,1,1,2,1
2,7,1,2,2,2,1,4,3
2,7,2,1,5,3,2,4,3
2,8,1,2,1,3,2,2,1
2,8,2,1,5,1,1,5,3
2,9,1,3,5,1,1,4,2
2,9,2,3,1,3,2,4,2
2,10,1,1,5,2,1,5,1
2,10,2,3,4,3,2,1,1
3,1,1,2,2,2,1,4,1
3,1,2,1,2,2,2,5,3
3,2,1,3,1,2,1,5,3
3,2,2,1,5,2,1,5,2
3,3,1,3,3,3,2,3,1
3,3,2,3,3,2,2,3,1
3,4,1,3,1,1,2,2,1
3,4,2,1,3,1,2,1,1
3,5,1,1,5,2,2,3,1
3,5,2,3,4,1,2,4,3
3,6,1,4,2,3,1,1,1
3,6,2,1,3,3,1,5,3
3,7,1,1,1,2,1,4,1
3,7,2,1,2,2,2,5,3
3,8,1,1,1,1,2,4,2
3,8,2,4,1,3,2,3,1
3,9,1,3,4,2,1,3,1
3,9,2,3,1,3,2,5,1
3,10,1,1,2,1,2,5,2
3,10,2,1,4,2,2,4,3
4,1,1,2,3,2,1,4,1
4,1,2,1,4,3,2,5,2
4,2,1,2,1,1,2,5,2
4,2,2,1,2,2,2,3,1
4,3,1,4,2,2,1,3,1
4,3,2,4,1,2,2,5,1
4,4,1,3,5,1,2,2,1
4,4,2,3,1,3,1,5,1
4,5,1,3,1,3,2,4,3
4,5,2,3,1,1,2,2,1
4,6,1,4,3,1,2,4,3
4,6,2,3,4,1,1,1,1
4,7,1,3,3,1,2,1,1
4,7,2,1,5,1,2,5,1
4,8,1,1,3,1,1,5,3
4,8,2,1,2,3,1,4,3
4,9,1,2,2,3,2,4,2
4,9,2,4,1,3,1,4,2
4,10,1,2,2,3,1,5,3
4,10,2,4,1,3,1,3,1
5,1,1,1,5,2,1,2,1
5,1,2,2,3,2,2,4,1
5,2,1,4,3,1,1,5,2
5,2,2,3,3,3,1,4,2
5,3,1,2,2,1,2,5,3
5,3,2,3,5,2,2,1,1
5,4,1,4,1,3,2,1,1
5,4,2,3,2,2,1,1,1
5,5,1,1,5,3,2,4,3
5,5,2,2,2,1,2,4,1
