,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
B_ACS2_class0,-0.031893018,0.030765343,-1.036654057,0.299897111,0.032059517,-0.99480655,0.31983036,-0.09219309,0.028407055,0.167073327,-0.165009906,0.487199895
B_ACS2_class1,0.070356282,0.029680323,2.370468913,0.017765538,0.030705178,2.291349089,0.021943232,0.01218285,0.128529714,-0.187733061,-0.343247871,-0.028977895
B_SIGMA_PANEL_ASC2_class0,0.229255902,0.071281234,3.216216804,0.001298927,0.078144949,2.933726421,0.003349193,0.089544684,0.368967121,-1.200969648,-1.939383153,-0.37652403
B_SIGMA_PANEL_ASC2_class1,0.24482341,0.066828186,3.663475321,0.000248816,0.071538344,3.422268332,0.00062101,0.113840166,0.375806655,-0.653267157,-1.00349076,-0.286328991
Transit_2_class0,0.046853967,0.041358809,1.132865492,0.257270743,0.04233531,1.106734951,0.26840854,-0.034209298,0.127917232,-0.245447083,-0.672563558,0.198708013
Transit_2_class1,0.06067483,0.040203462,1.509194171,0.131249169,0.04105615,1.477849969,0.13944794,-0.018123955,0.139473615,-0.161899852,-0.372580475,0.051456802
Business_closures_2_class0,-0.063008916,0.050954423,-1.236574024,0.216245269,0.052258973,-1.205705206,0.227931177,-0.162879585,0.036861753,0.33007567,-0.219791089,0.852772186
Business_closures_2_class1,-0.008328148,0.049668864,-0.167673417,0.86684021,0.050211382,-0.165861758,0.868265743,-0.105679121,0.089022825,0.022222163,-0.241164987,0.283916197
Business_closures_3_class0,-0.182504203,0.050725338,-3.597890335,0.000320809,0.058743724,-3.106786404,0.00189133,-0.281925865,-0.083082541,0.956058301,0.360635038,1.48189192
Business_closures_3_class1,-0.264160959,0.048879868,-5.404289522,6.51E-08,0.058628982,-4.505637793,6.62E-06,-0.359965501,-0.168356418,0.704865922,0.43112753,0.96460989
Healthcare_restrictions_2_class0,-0.256584233,0.057854989,-4.434954314,9.21E-06,0.058945236,-4.352925706,1.34E-05,-0.369980012,-0.143188455,1.344130612,0.639545521,1.952678099
Healthcare_restrictions_2_class1,-0.188933899,0.054312324,-3.478656134,0.000503935,0.056763043,-3.3284667,0.000873254,-0.295386054,-0.082481744,0.504136067,0.210781898,0.78866987
Healthcare_restrictions_3_class0,-0.357107586,0.058644389,-6.089373493,1.13E-09,0.059615732,-5.990156856,2.10E-09,-0.472050588,-0.242164584,1.870727723,1.086114089,2.514480784
Healthcare_restrictions_3_class1,-0.469345776,0.054837135,-8.558903978,0,0.058553244,-8.01570918,1.11E-15,-0.576826561,-0.361864991,1.252364635,0.925904473,1.555168415
Mask_mandates_2_class0,0.089840061,0.063419429,1.41660156,0.156599452,0.065279783,1.376230996,0.168750129,-0.034462019,0.214142141,-0.470632101,-1.120284151,0.215647726
Mask_mandates_2_class1,-0.016957717,0.061496135,-0.275752563,0.782738121,0.064311021,-0.263682907,0.792024268,-0.137490142,0.103574708,0.045248612,-0.279623728,0.367793894
Mask_mandates_3_class0,0.140477515,0.051938207,2.704704759,0.006836512,0.054718601,2.567271675,0.010250227,0.03867863,0.2422764,-0.735899184,-1.268292457,-0.149539917
Mask_mandates_3_class1,0.095360281,0.050112996,1.902905219,0.057052914,0.054469724,1.750702463,0.079997175,-0.002861191,0.193581752,-0.254451727,-0.517214973,0.011545301
Mask_mandates_4_class0,0.083865306,0.064523119,1.299771425,0.193679322,0.068343129,1.227121256,0.21977702,-0.042600007,0.210330618,-0.439333016,-1.098942316,0.25734879
Mask_mandates_4_class1,0.130908707,0.061694168,2.121897605,0.033846338,0.068799997,1.902742924,0.057074098,0.009988138,0.251829277,-0.349306298,-0.670476186,-0.020967443
Number_of_infections_class0,-0.190892337,0.018579412,-10.27440134,0,0.022779134,-8.380140302,0,-0.227307984,-0.154476689,1,0.685059709,1.240202549
Number_of_infections_class1,-0.37476767,0.018702045,-20.03886016,0,0.024803643,-15.10938038,0,-0.411423679,-0.338111661,1,0.85087763,1.130866657
School_closures_2_class0,0.048461471,0.058094772,0.834179558,0.404179809,0.061542133,0.787451927,0.43101736,-0.065404282,0.162327225,-0.253868082,-0.858296331,0.364323095
School_closures_2_class1,0.240272417,0.055390416,4.337797634,1.44E-05,0.059228619,4.056694586,4.98E-05,0.131707201,0.348837633,-0.641123652,-0.934009615,-0.336652605
School_closures_3_class0,-0.133752191,0.058206775,-2.297880099,0.021568614,0.058864932,-2.272187958,0.02307516,-0.24783747,-0.019666911,0.700668204,0.053803768,1.300134428
School_closures_3_class1,-0.210757458,0.057198118,-3.684692179,0.000228979,0.061630932,-3.419670155,0.000626971,-0.322865769,-0.098649147,0.562368302,0.251701628,0.86303462
School_closures_4_class0,0.049819737,0.074203638,0.671392111,0.501970769,0.077239336,0.645004725,0.518924124,-0.095619393,0.195258867,-0.26098343,-1.026762378,0.527553196
School_closures_4_class1,0.015676759,0.071379371,0.219625904,0.826162515,0.076976448,0.203656565,0.838621887,-0.124226809,0.155580327,-0.041830607,-0.414587963,0.332787302
School_closures_5_class0,-0.228133989,0.074287283,-3.070969617,0.002133649,0.075035378,-3.040352387,0.002363015,-0.373737064,-0.082530914,1.195092445,0.336179652,1.961636323
School_closures_5_class1,-0.415153784,0.071343359,-5.819095004,5.92E-09,0.075410133,-5.505278517,3.69E-08,-0.554986768,-0.2753208,1.107763069,0.705343132,1.484935076
