,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
B_ACS2_class0,0.004461274350106117,0.02328291428508089,0.1916115094305351,0.8480465263481665,0.02451136671150477,0.18200838829652663,0.8555761429484745,-0.041173237648652425,0.05009578634886466,-0.019674430312484514,-0.2209073492524651,0.18475577293674691
B_ACS2_class1,0.07709307905797019,0.021294052037181727,3.6204043703545623,0.00029414295289842407,0.022125505332899663,3.4843533694724766,0.0004933276900140893,0.035356737065094006,0.11882942105084637,-0.22807601083511617,-0.3521160569447775,-0.10149699708581603
B_SIGMA_PANEL_ASC2_class0,0.3458527065516889,0.038104647918733206,9.076391606853269,0.0,0.04641825314531807,7.450791081451393,9.281464485866309e-14,0.27116759663097184,0.420537816472406,-1.5252267490058098,-1.8814180678836652,-1.1247865336891028
B_SIGMA_PANEL_ASC2_class1,0.2939094200001832,0.03933271754539965,7.47239037477996,7.882583474838611e-14,0.045522673509139425,6.456330380973254,1.072721911299368e-10,0.2168172936111999,0.37100154638916655,-0.8695162896542046,-1.1028351682151754,-0.6282635394988649
B_Transit_2_class0,0.009413166590118132,0.029853896050937585,0.315307810212011,0.7525279555457258,0.03222528978206692,0.29210494781513097,0.7702063837771487,-0.04910046966971954,0.0679268028499558,-0.041512508660822775,-0.30285639687991983,0.21706277120576178
B_Transit_2_class1,-0.0016709965939937727,0.028108760581910308,-0.05944753733002231,0.9525956506680175,0.02913222990465858,-0.05735903497475012,0.9542591946025094,-0.05676416733453798,0.053422174146550434,0.004943559680507596,-0.15892298797128598,0.1677246743774685
B_business_closures_2_class0,-0.0566867439098074,0.036730736876906055,-1.5433053820776574,0.12275669838897274,0.038525959963164845,-1.471390822292457,0.1411854539924684,-0.12867898818854326,0.015305500368928464,0.2499912144315073,-0.07574712399180777,0.5673159499967813
B_business_closures_2_class1,-0.06026770374594424,0.03449294596397331,-1.7472472142243745,0.08059446505798507,0.03700425424236884,-1.6286695943446254,0.1033829827816557,-0.12787387783533194,0.00733847034344344,0.17829898118651513,-0.023938103094441943,0.3792807026611962
B_business_closures_3_class0,-0.10263117171810945,0.03628317365431092,-2.8286161705679658,0.00467497304822917,0.0416156944157256,-2.4661650648637865,0.013656838361100432,-0.17374619208055886,-0.03151615135566005,0.45260830816390984,0.12532442074520989,0.766682960858477
B_business_closures_3_class1,-0.31496020759164145,0.03416949222751845,-9.217585251032434,0.0,0.041851314575956235,-7.525694492105332,5.240252676230739e-14,-0.38193241235757763,-0.24798800282570527,0.9317939897728741,0.7145934944347802,1.136951838068294
B_healthcare_restrictions_2_class0,-0.15568731675624756,0.041432421331666074,-3.757620524032914,0.00017153675260761503,0.041582200685644236,-3.7440855507678017,0.0001810519607334804,-0.23689486256631306,-0.07447977094618205,0.6865884103239775,0.3059326769885136,1.0465226882458003
B_healthcare_restrictions_2_class1,-0.14074481015585025,0.03862690364760807,-3.6436989990153075,0.00026874769031648427,0.04041523160001483,-3.482469469649126,0.0004968118675539035,-0.21645354130516206,-0.06503607900653843,0.41638646735012447,0.18656584715599997,0.6402157065202602
B_healthcare_restrictions_3_class0,-0.2845728596522031,0.04148649671541496,-6.859409258012031,6.9146910419704e-12,0.04284271611873016,-6.642269338469704,3.0889069080330955e-11,-0.3658863932144164,-0.20325932608998976,1.2549797337432367,0.8498197842088555,1.6289614382702329
B_healthcare_restrictions_3_class1,-0.38662653015392934,0.0391755403455215,-9.869079704937063,0.0,0.04088682948171994,-9.45601640075286,0.0,-0.46341058923115147,-0.3098424710767072,1.1438152134801072,0.8918814557598107,1.3806016536763506
B_mask_mandates_2_class0,-0.02858001429796619,0.04553109050357269,-0.6277032678521856,0.5301983442234541,0.048981281734483836,-0.5834884936840121,0.5595645006860743,-0.11782095168496866,0.06066092308903627,0.12603921111055902,-0.2721452088594679,0.5203584854036007
B_mask_mandates_2_class1,0.046276539527473716,0.04281284665903951,1.0809031199447907,0.27974021066746957,0.04429952041284144,1.0446284541278958,0.29619472341580755,-0.03763663992424373,0.13018971897919115,-0.13690682302030333,-0.3850320572567092,0.11326103819255667
B_mask_mandates_3_class0,0.06336099740585759,0.037402671975118935,1.6940232892453964,0.09026085763680913,0.03904184491127645,1.6228996746912705,0.10461085312839091,-0.00994823966537553,0.1366702344770907,-0.27942498715897296,-0.6055299354680942,0.04903959082982379
B_mask_mandates_3_class1,0.06194746163678644,0.03499450664050277,1.7702053145989554,0.07669294432578044,0.037927872588669066,1.6332965022481438,0.10240665208180721,-0.00664177137859899,0.13053669465217188,-0.18326846072467204,-0.3854766892859064,0.020726816745701093
B_mask_mandates_4_class0,0.14240768527831768,0.04575397321451098,3.112465984334509,0.0018553139323780332,0.049674058960560874,2.866842135678573,0.00414589759736117,0.052729897777876164,0.23208547277875918,-0.6280246091352449,-1.0232658287267686,-0.21172977284130923
B_mask_mandates_4_class1,0.02396896378494812,0.043140526975076754,0.5556020166094755,0.5784829525653343,0.045291706686785435,0.5292130842122017,0.5966576411300482,-0.06058646908620231,0.10852439665609855,-0.07091097814126235,-0.320466552239226,0.17989148362106683
B_number_of_infections_class0,-0.22675494432360727,0.013552904463339921,-16.7310959017656,0.0,0.016402031315262706,-13.824808645048938,0.0,-0.2533186370717535,-0.20019125157546103,1.0,0.8200219319302047,1.1538725476685427
B_number_of_infections_class1,-0.33801485204730003,0.013134226909279807,-25.735420469131707,0.0,0.017297431365899164,-19.54133217222505,0.0,-0.3637579367894884,-0.31227176730511164,1.0,0.8857060367323657,1.1027835093715308
B_school_closures_2_class0,0.049499199757816685,0.041982396124738953,1.179046560628499,0.23837963610354906,0.044689896894636524,1.1076149912477724,0.268028126311302,-0.03278629664667166,0.13178469616230504,-0.21829380570055057,-0.5795722827626204,0.1520790786325939
B_school_closures_2_class1,0.19811381690375746,0.03961613012300875,5.000837191533114,5.708190089492859e-07,0.04434180969076569,4.467878471478246,7.8999161947646e-06,0.12046620186266031,0.2757614319448546,-0.5861097987375846,-0.8182046442086225,-0.3493307093444556
B_school_closures_3_class0,-0.14083524062630284,0.04206686474814696,-3.347890114214101,0.0008142929151973011,0.04489884344206176,-3.1367231275798684,0.0017084738195851656,-0.22328629553267088,-0.05838418571993481,0.6210900540510975,0.2391913792308687,0.9872469393936816
B_school_closures_3_class1,-0.1902723180793564,0.03956651193167015,-4.808923222950495,1.5174547043361741e-06,0.042518683975443845,-4.475028394322973,7.640115876839104e-06,-0.26782268146542987,-0.11272195469328292,0.5629111174461964,0.3260034773750883,0.7929030668230371
B_school_closures_4_class0,0.060218471184717764,0.053860302269093954,1.118049261659496,0.263545954632848,0.056309179908038236,1.0694254699333932,0.2848779956022396,-0.04534772126270638,0.1657846636321419,-0.2655662982976838,-0.7334489450801751,0.20631644530828586
B_school_closures_4_class1,0.020782237744011067,0.050863133095819704,0.4085913800248986,0.6828395575991413,0.051981312355071085,0.3998020981473669,0.6893022852339645,-0.07890950312379555,0.12047397861181769,-0.061483208853505965,-0.3568608886880394,0.23503502009508428
B_school_closures_5_class0,-0.2434535386819895,0.05368415362333411,-4.534923664628123,5.762432275346896e-06,0.05551432467093823,-4.38541836048737,1.1576307015204179e-05,-0.34867447978372434,-0.13823259758025463,1.0736415887565003,0.5737828734973445,1.5417428069962318
B_school_closures_5_class1,-0.386113165050499,0.05046621344779725,-7.6509240276149955,1.9984014443252818e-14,0.053069406662810854,-7.27562619088171,3.448352714485736e-13,-0.4850269434081816,-0.28719938669281636,1.1422964485491551,0.828828692988343,1.4448885215537395
CLASS_1,-109.75665923324912,63.76013377578223,-1.7213994503088321,0.08517836395596157,61.97822832412642,-1.7708905562652857,0.07657890307100801,-234.7265214337823,15.213202967284047,484.0320441992781,-82.78521081918319,1036.1096940865732
CLASS_Age,4.162936715549004,1.7350098977105117,2.3993734681527417,0.016423154728714584,1.0945213505568177,3.8034312564402573,0.00014270560714457758,0.7623173160364014,7.563556115061607,-18.358747272156414,-33.29126631152113,-2.8090361150093095
