,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.015740382,0.016153256,0.974440178,0.329838028,0.016160532,0.974001476,0.330055806,-0.015920001,0.047400765,-0.049741615,-0.149718681,0.051420101
Business_closures_2,-0.025008346,0.028239068,-0.885593873,0.375836414,0.0295319,-0.846824805,0.39709278,-0.080356919,0.030340228,0.079029563,-0.096887884,0.254567921
Business_closures_2_65plus,0.057243532,0.066320605,0.863133445,0.388064101,0.069683857,0.821474791,0.411375877,-0.072744853,0.187231917,1.10649977,-6.040212754,4.756782898
Business_closures_3,-0.231317131,0.027777962,-8.327361401,0,0.03358262,-6.888001228,5.66E-12,-0.285761937,-0.176872325,0.730991643,0.548007113,0.906662336
Business_closures_3_65plus,0.075500386,0.064912554,1.163109152,0.24478522,0.079161334,0.953753325,0.340208521,-0.05172822,0.202728992,1.45939911,-6.797917611,4.811383131
Healthcare_restrictions_2,-0.192578069,0.031163674,-6.179568878,6.43E-10,0.031596677,-6.094883603,1.10E-09,-0.253658869,-0.131497268,0.608571264,0.409669671,0.803560719
Healthcare_restrictions_2_65plus,-0.094646424,0.07316691,-1.293568687,0.195814444,0.076997107,-1.229220521,0.218989137,-0.238053568,0.04876072,-1.829486103,-5.437108716,8.432435706
Healthcare_restrictions_3,-0.419116355,0.031887044,-13.143782,0,0.033532122,-12.49895131,0,-0.481614962,-0.356617749,1.32446115,1.102671064,1.535524209
Healthcare_restrictions_3_65plus,0.048666497,0.074790443,0.650704753,0.515237095,0.07777125,0.62576462,0.531469341,-0.097922772,0.195255765,0.940708331,-6.371248364,5.335103914
Mask_mandates_2,0.087764248,0.034792004,2.522540751,0.011651045,0.03596753,2.440096607,0.014683335,0.01957192,0.155956576,-0.277346221,-0.492317665,-0.058914085
Mask_mandates_2_65plus,-0.026606525,0.081573362,-0.326166835,0.744298132,0.081719847,-0.325582173,0.744740502,-0.186490314,0.133277264,-0.514295904,-5.843577816,6.309948762
Mask_mandates_3,0.123281977,0.028474077,4.329621464,1.49E-05,0.030283369,4.070946496,4.68E-05,0.067472785,0.179091169,-0.389586774,-0.566720732,-0.209835863
Mask_mandates_3_65plus,-0.082976249,0.067069244,-1.23717287,0.216022911,0.068244161,-1.215873244,0.224033212,-0.214431968,0.048479469,-1.603905236,-5.060725437,7.263393692
Mask_mandates_4,0.136509685,0.035284088,3.868873831,0.000109339,0.038422632,3.552845715,0.000381088,0.067352872,0.205666498,-0.43138802,-0.649880303,-0.20890552
Mask_mandates_4_65plus,-0.122286556,0.082426357,-1.483585598,0.137918893,0.08429988,-1.450613654,0.146887471,-0.283842217,0.039269104,-2.363761316,-6.519250521,9.649582303
Number_of_infections,-0.316442921,0.010515218,-30.09380538,0,0.013820882,-22.89600066,0,-0.337052748,-0.295833094,1,0.903032711,1.087967496
Number_of_infections_65plus,0.051733885,0.024309811,2.128107232,0.033328194,0.030306691,1.707012001,0.087819822,0.004086655,0.099381115,1,-3.653256147,2.140049156
SIGMA_PANEL_ASC2,0.358567749,0.027443594,13.06562628,0,0.031806994,11.273236,0,0.304778304,0.412357194,-1.13311983,-1.316151506,-0.941752206
School_closures_2,0.1328919,0.03147435,4.22222855,2.42E-05,0.033919062,3.917912035,8.93E-05,0.071202174,0.194581627,-0.419955358,-0.616201554,-0.221647419
School_closures_2_65plus,-0.045908615,0.074008453,-0.620315834,0.535049872,0.076408362,-0.600832344,0.547951659,-0.190965184,0.099147953,-0.887399338,-5.136484397,6.468417644
School_closures_3,-0.213680545,0.031967927,-6.684216482,2.32E-11,0.033346752,-6.407836882,1.48E-10,-0.276337682,-0.151023408,0.67525778,0.46794263,0.87525404
School_closures_3_65plus,-0.045612609,0.074573458,-0.611646702,0.540771532,0.076194004,-0.598637782,0.549414455,-0.191776586,0.100551368,-0.881677633,-5.136510449,6.248795995
School_closures_4,0.07837916,0.04066426,1.927470461,0.053921026,0.042426012,1.84743171,0.064684597,-0.00132279,0.158081109,-0.247688143,-0.499491153,0.007365524
School_closures_4_65plus,-0.029136228,0.095453767,-0.305239163,0.760184007,0.097244788,-0.299617373,0.764469031,-0.216225611,0.157953155,-0.563194275,-6.720080121,7.390682426
School_closures_5,-0.304117073,0.040650967,-7.481176783,7.37E-14,0.042281247,-7.192717765,6.35E-13,-0.383792969,-0.224441177,0.961048747,0.695797629,1.217146709
School_closures_5_65plus,-0.019201018,0.096090353,-0.199822533,0.841619378,0.096834796,-0.198286345,0.842821035,-0.207538109,0.169136074,-0.371149733,-6.825652834,7.449419756
Transit_2,0.051895038,0.022641506,2.292031201,0.021903843,0.02310959,2.245606166,0.024729245,0.007517686,0.096272389,-0.163994939,-0.304378635,-0.021448635
Transit_2_65plus,0.018977159,0.052595918,0.360810493,0.718241118,0.053519434,0.354584452,0.722900926,-0.084110841,0.122065159,0.366822619,-4.208311621,3.769860454
