,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.057528145,0.022985478,2.502803979,0.012321377,0.023308698,2.468097763,0.013583322,0.012476609,0.102579682,-0.222579641,-0.396146719,-0.036266318
Business_closures_2_Yes,-0.005336469,0.058206273,-0.091682025,0.926950679,0.062132317,-0.085888781,0.93155483,-0.119420765,0.108747827,0.0206471,-0.428114693,0.466461713
Business_closures_2_No,-0.046667311,0.073906217,-0.631439587,0.527753139,0.077125065,-0.605086186,0.545121733,-0.191523497,0.098188874,0.180558461,-0.394518613,0.744543953
Business_closures_3_Yes,-0.111993553,0.058017073,-1.930355101,0.053562854,0.065376073,-1.713066394,0.086700326,-0.225707016,0.00171991,0.433309377,-0.032674596,0.872832938
Business_closures_3_No,-0.15052141,0.073569544,-2.045974487,0.040758881,0.083995458,-1.792018452,0.07313001,-0.294717717,-0.006325104,0.582375832,-0.00846458,1.140208915
Healthcare_restrictions_2_Yes,-0.127829751,0.065127775,-1.962753236,0.049674854,0.065799418,-1.94271857,0.052050171,-0.25548019,-0.000179312,0.494580522,-0.026942746,0.991541517
Healthcare_restrictions_2_No,-0.062030243,0.082448298,-0.752353232,0.451838664,0.083210576,-0.745461051,0.455993049,-0.223628907,0.09956842,0.239998512,-0.404219109,0.86812096
Healthcare_restrictions_3_Yes,-0.324365637,0.065918337,-4.920719337,8.62E-07,0.067508961,-4.804778987,1.55E-06,-0.453565578,-0.195165696,1.254988956,0.671654061,1.776127335
Healthcare_restrictions_3_No,-0.084343138,0.083765989,-1.006890018,0.313987629,0.086512901,-0.97491978,0.329600054,-0.248524477,0.0798382,0.326328362,-0.325095276,0.961808382
Mask_mandates_2_Yes,0.009813954,0.072370732,0.135606669,0.892132233,0.075338726,0.1302644,0.896357245,-0.132032681,0.151660589,-0.037970742,-0.595931297,0.520517133
Mask_mandates_2_No,-0.065919102,0.09152212,-0.720253228,0.471369097,0.093803128,-0.702738848,0.482218513,-0.245302458,0.113464253,0.255044728,-0.452924211,0.957204139
Mask_mandates_3_Yes,0.040154146,0.059804506,0.671423422,0.501950828,0.062878286,0.638601145,0.523082436,-0.077062685,0.157370977,-0.155358656,-0.611553245,0.309198921
Mask_mandates_3_No,0.00071688,0.075731485,0.009466071,0.992447281,0.080019286,0.008958835,0.992851979,-0.147716832,0.149150591,-0.002773648,-0.588259608,0.579175457
Mask_mandates_4_Yes,0.115870198,0.07297393,1.587830034,0.112324778,0.078071001,1.484164376,0.137765318,-0.027158705,0.258899102,-0.448308337,-1.000962288,0.130153157
Mask_mandates_4_No,-0.11606614,0.092530736,-1.254352284,0.209713988,0.0982934,-1.180813156,0.237676957,-0.297426383,0.065294103,0.449066447,-0.281613897,1.150034707
Number_of_infections_Yes,-0.258460949,0.021589526,-11.97158986,0,0.027394401,-9.434809362,0,-0.30077642,-0.216145479,1,0.735262309,1.21004315
Number_of_infections_No,-0.083802207,0.027516134,-3.045566139,0.002322427,0.034966856,-2.396618313,0.01654715,-0.137733831,-0.029870584,0.32423547,0.095700961,0.531870823
SIGMA_PANEL_ASC2,-0.368785903,0.039287158,-9.386932642,0,0.047744903,-7.724089416,1.13E-14,-0.445788732,-0.291783074,1.426853473,1.002220316,1.774224807
School_closures_2_Yes,0.116374782,0.065032636,1.789482771,0.0735371,0.069508418,1.674254502,0.094080592,-0.011089185,0.24383875,-0.450260601,-0.941969883,0.063717649
School_closures_2_No,0.005806984,0.083027362,0.069940601,0.944240938,0.087645025,0.066255713,0.947174242,-0.156926646,0.168540614,-0.022467547,-0.661699923,0.61500528
School_closures_3_Yes,-0.076229378,0.06634163,-1.149042879,0.2505383,0.066348913,-1.148916755,0.250590308,-0.206258972,0.053800217,0.294935764,-0.22435502,0.804702961
School_closures_3_No,-0.088543616,0.084415819,-1.048898382,0.29422489,0.086188974,-1.027319534,0.304270027,-0.253998622,0.076911389,0.342580248,-0.318012563,0.985647885
School_closures_4_Yes,0.065169131,0.084486054,0.771359629,0.440493798,0.084470822,0.771498724,0.440411379,-0.100423534,0.230761797,-0.252143046,-0.899861244,0.402825774
School_closures_4_No,-0.019838536,0.107903901,-0.183853745,0.854128192,0.107445806,-0.184637606,0.853513288,-0.231330182,0.19165311,0.076756417,-0.75778945,0.902214578
School_closures_5_Yes,-0.246401776,0.084766291,-2.906836827,0.003651036,0.085636879,-2.877285796,0.004011121,-0.412543706,-0.080259846,0.953342377,0.254677189,1.59759078
School_closures_5_No,-0.117889871,0.107532569,-1.096317815,0.272939716,0.109927393,-1.072433969,0.283525157,-0.328653706,0.092873964,0.456122564,-0.385083071,1.274288909
Transit_2_Yes,0.008949724,0.047028585,0.190303921,0.849070981,0.047081279,0.19009093,0.849237877,-0.083226303,0.101125751,-0.034626988,-0.395422529,0.330352849
Transit_2_No,0.014327885,0.059738675,0.239842692,0.810452209,0.060858512,0.235429428,0.813875448,-0.102759918,0.131415687,-0.055435394,-0.515406393,0.408508883
