,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0437345384842957,0.0205315160806195,2.1301173431404985,0.0331619268383354,0.0215392929789865,2.030453763127812,0.0423104364987088,0.0034927669662814,0.0839763100023101,-0.15395623507692147,-0.2958927339464236,-0.0023106716631758617
Business_closures_2,-0.0764012666624258,0.0700010513525658,-1.091430274062953,0.2750835972198058,0.0726243836490469,-1.0520057152103408,0.2927969275064268,-0.2136033273134549,0.0608007939886033,0.26895108026985765,-0.23150802374281948,0.7529655353262057
Business_closures_2_No,0.0396917317924474,0.0811874303507768,0.4888901104636042,0.6249194975721908,0.0841696033005688,0.4715684788332517,0.6372348302452635,-0.1194356316950751,0.19881909527997,-0.13972457015048703,-0.7083131273057002,0.43724982019354053
Business_closures_2_Prefer not to answer,0.5126294666404728,0.306519810781337,1.6724187103396355,0.0944417851320316,0.2660972310883504,1.9264742610954415,0.0540451827012544,-0.0881493624909477,1.1134082957718934,-1.8045806680181884,-3.9344848422863787,0.4299620092366099
Business_closures_3,-0.2126144757319343,0.068472738371046,-3.105096725937853,0.0019021680948418,0.0767271304973758,-2.771046882030939,0.005587638107535,-0.3468210429391846,-0.078407908524684,0.7484547760415043,0.22649279071923978,1.2232420476183354
Business_closures_3_No,-0.0275173776265219,0.0796757539652154,-0.3453670189118688,0.7298184686040494,0.0908816376052582,-0.3027825900985951,0.7620555520986245,-0.1836818553983443,0.1286471001453003,0.09686787617732533,-0.4696464619491392,0.6545407562498498
Business_closures_3_Prefer not to answer,0.3935716114256375,0.3034130983854101,1.2971477286906832,0.1945803619301984,0.3734970961184596,1.0537474468096293,0.2919985598744898,-0.2011180614097662,0.9882612842610412,-1.385467999165146,-3.4867800992871696,0.7914155432313938
Healthcare_restrictions_2,-0.2467040784928031,0.0769053535335205,-3.2078921317912266,0.0013371163905471,0.0733514713672186,-3.3633146533316447,0.0007701253083183,-0.3974385714185033,-0.0959695855671028,0.8684584865691863,0.2823637866633276,1.4028066516563404
Healthcare_restrictions_2_No,0.0381059868987027,0.0891579971923889,0.4273984174013695,0.6690891599265749,0.0869899542962038,0.4380504301559991,0.6613497267123682,-0.1366436875983795,0.2128556613957851,-0.13414236162389992,-0.7572646724661594,0.49786711186592725
Healthcare_restrictions_2_Prefer not to answer,0.2655440839740182,0.3414751198523436,0.7776381602526167,0.4367823578382979,0.2935706691199816,0.904532066401671,0.3657133389640399,-0.4037471509365751,0.9348353188846116,-0.9347798978207986,-3.305943333291051,1.4894205952728312
Healthcare_restrictions_3,-0.4380668452322945,0.0776743695362818,-5.639786300778053,1.7026133614095332e-08,0.0838952514599453,-5.221592850716276,1.7739064728239384e-07,-0.590308609523407,-0.2858250809411821,1.5421020671844095,0.8783497472371962,2.1045047828031676
Healthcare_restrictions_3_No,0.0345475866409626,0.0905814831530069,0.3813978910304015,0.7029080256861739,0.0967594481729712,0.357046131342171,0.7210572709006255,-0.1429921203389308,0.2120872936208562,-0.12161592541204574,-0.748556905541444,0.5158412997001538
Healthcare_restrictions_3_Prefer not to answer,0.6435177906252387,0.3490829480222857,1.8434523779263952,0.0652629886683353,0.3057790622570275,2.1045188178526084,0.0353332148777478,-0.0406847874984411,1.3277203687489187,-2.2653394704337844,-4.652784847443579,0.2643065896520387
Mask_mandates_2,0.181889043179927,0.0847229336711025,2.146869038860563,0.0318037091030904,0.0816186813757473,2.228522197541588,0.0258457127917943,0.0158320931845661,0.347945993175288,-0.6402937646130763,-1.2230137877410265,-0.014401292118573772
Mask_mandates_2_No,-0.1715667315433575,0.0987208075024011,-1.7378983811410236,0.0822287209973569,0.0970968484034895,-1.7669649876832836,0.0772340920847303,-0.3650595142480637,0.0219260511613486,0.6039567117497523,-0.12176228170588921,1.28390316917466
Mask_mandates_2_Prefer not to answer,-1.1493256033996335,0.406353005385161,-2.8283920339416393,0.0046782478152851,0.4264305834164392,-2.695223204188516,0.0070341493613104,-1.9457774939545491,-0.3528737128447179,4.045906254171556,0.9755255752122385,6.86128991442793
Mask_mandates_3,0.1816391502293023,0.0693776613207795,2.618121550529968,0.0088415304642273,0.0698192652959714,2.6015620396363985,0.0092800278446811,0.0456589340405744,0.3176193664180302,-0.639414080519365,-1.1211863954177401,-0.12156560135279004
Mask_mandates_3_No,-0.0732862722000524,0.0808948917674011,-0.9059443754591334,0.3649652949733266,0.0828756215719458,-0.8842922781149983,0.3765384556195992,-0.2318402600641587,0.0852677156640538,0.25798554053094686,-0.3194407752515241,0.8183404632882343
Mask_mandates_3_Prefer not to answer,-0.0220668629484573,0.3023976398109376,-0.0729729999290134,0.9418276031483744,0.2808780995588264,-0.0785638431159911,0.9373795476241462,-0.6147662369778951,0.5706325110809803,0.07768073603252545,-2.036309939414911,2.199915814912404
Mask_mandates_4,0.0485047749092076,0.085887057799638,0.5647506871449963,0.5722433527152053,0.0939312930706553,0.5163856828067108,0.6055850633248097,-0.1198338583780829,0.2168434081964982,-0.170748629963401,-0.7678266862099626,0.4359156567428991
Mask_mandates_4_No,0.08407521174178,0.1001174042602666,0.8397661961272676,0.4010394903307082,0.1094758184308568,0.7679797506595543,0.4424992151724862,-0.1121549006083426,0.2803053240919028,-0.29596523735370744,-0.9849892405124856,0.4168186183158396
