,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0618745243718221,0.0230962447983325,2.6789863422424953,0.0073845405845358,0.0232378062549547,2.6626663331711566,0.0077524244229469,0.0166058845670903,0.1071431641765539,-0.17572566228506484,-0.3048178313641412,-0.039368620808301086
Business_closures_2,-0.1181096602122719,0.0703339163762878,-1.6792703477563071,0.0930993672137063,0.0686028386987365,-1.7216439210473533,0.0851340417498529,-0.2559641363097961,0.0197448158852522,0.33543527766521813,-0.07328899419467494,0.7288469420963707
Business_closures_2_No,0.1166499534114573,0.0819757102367938,1.422981918357328,0.1547413969932651,0.0816006264859752,1.4295227675918147,0.1528540358604686,-0.0440224386526585,0.2773223454755732,-0.33128966285978173,-0.7874904167372039,0.14057620809804222
Business_closures_2_Prefer not to answer,0.0961718561613226,0.2681822029933859,0.3586064067185488,0.719889553307451,0.2123457482453388,0.4529021982121727,0.6506191679876623,-0.4294652617057138,0.6218089740283591,-0.2731312004206479,-1.7723365252190773,1.2417752215657998
Business_closures_3,-0.2120110138349124,0.0706316717020268,-3.0016423047343577,0.0026852749799781,0.0831615561738337,-2.549387284092459,0.0107912388261692,-0.3504490903708851,-0.0735729372989398,0.6021181770058899,0.18244823708513735,0.9969144015668788
Business_closures_3_No,0.0051641870863869,0.0819073691115643,0.0630491144130502,0.9497273944420324,0.0961885572124816,0.0536881645389399,0.9571836125321448,-0.155374256372279,0.1657026305450529,-0.014666459340616562,-0.4763160022862574,0.4500886220423957
Business_closures_3_Prefer not to answer,0.1538433089056486,0.2826054812564032,0.5443748232401382,0.5861835673502456,0.2883839655113943,0.5334669305654242,0.5937103968174384,-0.4000634343569016,0.707750052168199,-0.4369200025379492,-2.004831671951888,1.166807714840218
Healthcare_restrictions_2,-0.1440363646711391,0.076613668537272,-1.8800348217376697,0.060103332322972,0.077598979847819,-1.8561631216494316,0.063430310837502,-0.2941991550041923,0.006126425661914,0.40906796184595334,-0.0349224133954576,0.838392848616504
Healthcare_restrictions_2_No,-0.0259282815031844,0.0900415090602281,-0.2879592065237513,0.7733779650921966,0.0904143698942647,-0.2867716883224019,0.7742871422847715,-0.2024096392612316,0.1505530762548626,0.07363716303790475,-0.4339045907974402,0.577604108765447
Healthcare_restrictions_2_Prefer not to answer,0.2155826471256877,0.3133719511162462,0.6879449368642339,0.4914874569600784,0.3442319934666978,0.6262713844654418,0.5311369522475178,-0.3986263770621548,0.8297916713135304,-0.6122617317537095,-2.354640732739856,1.1794236503503583
