,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.025704954067945405,0.02222403986399452,1.1566283279391685,0.24742424343413116,0.02227118762525205,1.1541797635793791,0.2484264772792164,-0.01785416406548385,0.06926407220137466,-0.020427616384686556,-0.09047078957974418,-0.24463019027419075,0.06462917271105299
Business_closures_2,-0.030745760306029987,0.03584725535181103,-0.8576879876656076,0.39106477481013613,0.03650433577930094,-0.8422495478869597,0.39964828486133275,-0.10100638079557961,0.03951486018351963,0.024433523410582955,0.108212339293179,-0.14186413499109965,0.35544666863209173
Business_closures_3,-0.22197880008516116,0.035345627271313525,-6.280233715510233,3.3806446531059464e-10,0.0419167768092625,-5.295702985352388,1.1855941117744351e-07,-0.29125622953693564,-0.15270137063338665,0.17640559721237975,0.7812734175904293,0.5203012362188497,1.03062118726942
Healthcare_restrictions_2,-0.22885669562963157,0.039398234103336115,-5.8088059233663145,6.291997367569024e-09,0.03997652296182,-5.7247774111871506,1.0356944191158846e-08,-0.30607723447217033,-0.1516361567870928,0.18187143120473032,0.8054807606150644,0.5168357273165884,1.0805518094187432
Healthcare_restrictions_3,-0.44557501284193135,0.04031170957758875,-11.053240299430225,0.0,0.042178971988951125,-10.563913529202436,0.0,-0.5245859636140053,-0.3665640620698574,0.35409654531486523,1.5682394577426406,1.240902200810455,1.8684823240938457
Mask_mandates_2,0.039324646196710784,0.044076568205645615,0.8921893831034202,0.3722914318523387,0.045094327801738644,0.8720530522065925,0.38317943624127326,-0.04706542748635462,0.1257147198797762,-0.031251127111394966,-0.1384064636706382,-0.4394386743706075,0.17160298835711274
Mask_mandates_3,0.13324973322253625,0.03597787142740209,3.703658052461889,0.0002125126735126326,0.03897625015197661,3.4187417389555814,0.0006291140727385791,0.06273310522482815,0.20376636122024433,-0.10589298959402346,-0.4689838598453756,-0.7189465850848349,-0.21161645403605078
Mask_mandates_4,0.10326070850745706,0.044936613093112546,2.297919255585461,0.021566385135841637,0.049198813395973214,2.098845508251804,0.035830521709349306,0.01518494684495647,0.19133647016995764,-0.08206084070119772,-0.36343491634101793,-0.6762915062945289,-0.04819086406079465
Number_of_infections,-0.28412434761927374,0.013181599170882345,-21.554618975738066,0.0,0.017094640551654695,-16.620668142201538,0.0,-0.3099602819942031,-0.2582884132443444,0.22579239641410362,1.0,0.8628221604547834,1.1205211021328014
SIGMA_PANEL_ASC2,-0.3238671133560228,0.040998149664301015,-7.899554394720132,2.886579864025407e-15,0.04808836075050044,-6.734833716548602,1.6411760839218914e-11,-0.4042234866980528,-0.2435107400139928,0.2573758013247223,1.1398780712380352,0.828030514630431,1.4322844895713258
School_closures_2,0.13660708183100906,0.04005885443190961,3.4101594708158256,0.000649249048700673,0.04263186301788027,3.2043422961298815,0.0013537142927395607,0.058091727144466226,0.2151224365175519,-0.10856106008589288,-0.4808003361051703,-0.7587709827629063,-0.1968221455227323
School_closures_3,-0.17870258609635897,0.04061930895689749,-4.399449195110293,1.0852598006927394e-05,0.04203953947311697,-4.250821686822567,2.129876877687842e-05,-0.25831643165187806,-0.0990887405408399,0.1420141761809273,0.6289590722996404,0.33630700143716286,0.9109204813377784
School_closures_4,0.02687346031449288,0.051421995987313736,0.5226063243659932,0.6012482385255411,0.05417861765878951,0.4960159833486107,0.6198831341832962,-0.07391365182064204,0.1276605724496278,-0.02135622327052215,-0.09458344749286775,-0.4495523906875401,0.2635866107271539
School_closures_5,-0.3451331284687154,0.05157715828169005,-6.691588679309579,2.2076118710856463e-11,0.053358123000704104,-6.468239680473038,9.91511317494087e-11,-0.4462243587008279,-0.2440418982366029,0.2742758120232341,1.2147256346055684,0.8301284081865867,1.576610411892472
Transit_2,0.059446282047588075,0.028712545446663695,2.070394008013509,0.038415462511401266,0.029173037439497153,2.0377131510860162,0.04157862820755964,0.0031696929721272346,0.11572287112304891,-0.047241704535014986,-0.2092262861162677,-0.40720685628222797,-0.008163572126870827
