,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0257049540679454,0.0222240398639945,1.1566283279391685,0.2474242434341311,0.022271187625252,1.1541797635793791,0.2484264772792164,-0.0178541640654838,0.0692640722013746,-0.0204276163846865,-0.09047078957974419,-0.24389632495829977,0.06482250190308617
Business_closures_2,-0.0307457603060299,0.035847255351811,-0.8576879876656076,0.3910647748101361,0.0365043357793009,-0.8422495478869597,0.3996482848613327,-0.1010063807955796,0.0395148601835196,0.0244335234105829,0.10821233929317872,-0.14235816621944006,0.3569202496807219
Business_closures_3,-0.2219788000851611,0.0353456272713135,-6.280233715510233,3.3806446531059464e-10,0.0419167768092625,-5.295702985352388,1.1855941117744353e-07,-0.2912562295369356,-0.1527013706333866,0.1764055972123797,0.7812734175904292,0.5204475705405001,1.03021930801134
Healthcare_restrictions_2,-0.2288566956296315,0.0393982341033361,-5.8088059233663145,6.291997367569024e-09,0.03997652296182,-5.7247774111871506,1.0356944191158846e-08,-0.3060772344721703,-0.1516361567870928,0.1818714312047303,0.8054807606150644,0.5158901961818134,1.083001313573042
Healthcare_restrictions_3,-0.4455750128419313,0.0403117095775887,-11.053240299430223,0.0,0.0421789719889511,-10.563913529202436,0.0,-0.5245859636140053,-0.3665640620698574,0.3540965453148652,1.5682394577426406,1.241418264490874,1.8683140249326018
Mask_mandates_2,0.0393246461967107,0.0440765682056456,0.8921893831034202,0.3722914318523387,0.0450943278017386,0.8720530522065925,0.3831794362412732,-0.0470654274863546,0.1257147198797762,-0.0312511271113949,-0.1384064636706379,-0.44115443218100747,0.1665269932271058
Mask_mandates_3,0.1332497332225362,0.035977871427402,3.703658052461889,0.0002125126735126,0.0389762501519766,3.4187417389555814,0.0006291140727385,0.0627331052248281,0.2037663612202443,-0.1058929895940234,-0.4689838598453755,-0.7164117116994345,-0.21338157082438103
Mask_mandates_4,0.103260708507457,0.0449366130931125,2.297919255585461,0.0215663851358416,0.0491988133959732,2.098845508251804,0.0358305217093493,0.0151849468449564,0.1913364701699576,-0.0820608407011977,-0.3634349163410178,-0.6733200760212226,-0.047987851821502725
Number_of_infections,-0.2841243476192737,0.0131815991708823,-21.554618975738062,0.0,0.0170946405516546,-16.620668142201538,0.0,-0.3099602819942031,-0.2582884132443444,0.2257923964141036,1.0,0.8622239103185354,1.1211565737180424
SIGMA_PANEL_ASC2,-0.3238671133560228,0.040998149664301,-7.899554394720132,2.886579864025407e-15,0.0480883607505004,-6.734833716548602,1.6411760839218914e-11,-0.4042234866980528,-0.2435107400139928,0.2573758013247223,1.1398780712380354,0.8281112909397741,1.4333283829165668
School_closures_2,0.136607081831009,0.0400588544319096,3.4101594708158256,0.0006492490487006,0.0426318630178802,3.2043422961298815,0.0013537142927395,0.0580917271444662,0.2151224365175519,-0.1085610600858928,-0.4808003361051702,-0.7569346700006971,-0.19758322030972547
School_closures_3,-0.1787025860963589,0.0406193089568974,-4.399449195110293,1.0852598006927394e-05,0.0420395394731169,-4.250821686822567,2.129876877687842e-05,-0.258316431651878,-0.0990887405408399,0.1420141761809273,0.6289590722996403,0.3356639212609041,0.9101022049304404
School_closures_4,0.0268734603144928,0.0514219959873137,0.5226063243659932,0.6012482385255411,0.0541786176587895,0.4960159833486107,0.6198831341832962,-0.073913651820642,0.1276605724496278,-0.0213562232705221,-0.09458344749286748,-0.4476707494899975,0.26467824465239786
School_closures_5,-0.3451331284687154,0.05157715828169,-6.691588679309579,2.2076118710856463e-11,0.0533581230007041,-6.468239680473038,9.915113174940869e-11,-0.4462243587008279,-0.2440418982366029,0.2742758120232341,1.2147256346055686,0.8294051910388357,1.5795290586779427
Transit_2,0.059446282047588,0.0287125454466636,2.070394008013509,0.0384154625114012,0.0291730374394971,2.037713151086016,0.0415786282075596,0.0031696929721272,0.1157228711230489,-0.0472417045350149,-0.20922628611626748,-0.40719226459218816,-0.00969396781119325
