,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0582269776998343,0.0230309136510271,2.528209630851421,0.0114645875862122,0.0232691814684535,2.5023216987143986,0.0123381756089087,0.013086386943821,0.1033675684558475,-0.1891784494405585,-0.3363075402188902,-0.04001509889651539
Business_closures_2,-0.032796518623116,0.0358069893794077,-0.915925052385918,0.3597062059052822,0.0367616353439417,-0.8921398168572189,0.3723179954001399,-0.1029782178067552,0.0373851805605231,0.10655532513045309,-0.12456393955248858,0.33438432382308225
Business_closures_3,-0.207409865212282,0.0354247098332622,-5.854948881402931,4.77156758549313e-09,0.0412070078561456,-5.033363886462069,4.819470489358935e-07,-0.276842296485476,-0.1379774339390881,0.6738710860420701,0.4353119026168519,0.9025450904143012
Healthcare_restrictions_2,-0.1561303640792139,0.0398356061024729,-3.919367102827173,8.878179955207344e-05,0.0394220653237956,-3.960481593159244,7.479875880100906e-05,-0.2342081520400609,-0.0780525761183668,0.5072648685178041,0.2462099534917515,0.7618728735859686
Healthcare_restrictions_3,-0.3826453658805274,0.0407697233787636,-9.385527645739248,0.0,0.0423197259711035,-9.041773241674637,0.0,-0.4625540237029041,-0.3027367080581508,1.2432082148598167,0.9508019239621442,1.5158345379820393
Mask_mandates_2,-0.0025468434931632,0.0442035830780343,-0.057616222844813,0.9540543271779176,0.0444411607274965,-0.0573082127350344,0.9542996782903456,-0.0891858663261104,0.084092179339784,0.008274650720979477,-0.272537187404479,0.2918374217806284
Mask_mandates_3,0.0635297258622512,0.0364982333468249,1.740624683352732,0.0817493880690991,0.0389636836762301,1.6304856180989828,0.1029989023733997,-0.0080068114975255,0.1350662632220281,-0.20640698704921157,-0.43839531350060473,0.03036222189430743
Mask_mandates_4,0.0495889312186686,0.0448145257675923,1.1065370071265792,0.2684941553960382,0.0474875025656023,1.0442522461602026,0.2963687003835988,-0.0382475392858124,0.1374254017231497,-0.1611135849386345,-0.4460942772586499,0.126322032435194
Number_of_infections,-0.3077886401544364,0.0134682943742079,-22.852829883482265,0.0,0.0169200712509091,-18.190741373970212,0.0,-0.3341864971278841,-0.2813907831809888,1.0,0.8705320779256165,1.1147170695765658
SIGMA_PANEL_ASC2,0.3740967571316828,0.038593490653703,9.693260464269205,0.0,0.0462548786684392,8.08772540110321,6.661338147750939e-16,0.2984535154504248,0.4497399988129407,-1.215433932012486,-1.4734078688004313,-0.9402214848813562
School_closures_2,0.1235053729699747,0.0404590462120027,3.0526021874765608,0.0022686647280067,0.0421714102560133,2.928651714993665,0.0034043564725436,0.0442056423944494,0.2028051035455001,-0.4012668333308354,-0.6605322062418993,-0.13859584698859223
School_closures_3,-0.115902716633667,0.040942958184986,-2.8308339644146407,0.0046426814744442,0.0425043323140793,-2.7268447784856713,0.0063943111071869,-0.1961509146762396,-0.0356545185910942,0.3765659336079184,0.11118315604317386,0.6359556732829912
School_closures_4,0.0185747202312482,0.0525527233086111,0.3534492422432576,0.7237516749542325,0.0530064505446638,0.3504237699446962,0.7260206900801003,-0.0844286174536297,0.1215780579161261,-0.06034894667304201,-0.3957895341929101,0.2751199393947896
School_closures_5,-0.3117969978092658,0.0522090910807259,-5.972082473666579,2.3424404638205942e-09,0.0532636530714639,-5.853841781954518,4.803456077340229e-09,-0.4141268163274887,-0.2094671792910428,1.0130230851041746,0.6570451397369943,1.3515829711446803
Transit_2,-0.0008935776508071,0.0290145690790846,-0.0307975503055553,0.9754309940677705,0.0302025559210441,-0.0295861599641805,0.9763971032313594,-0.0577621330458129,0.0559749777441987,0.0029032184240416975,-0.18257384090019932,0.18783453148080523
