,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0153262361679361,0.016032195903919,0.9559661234048268,0.3390893499318435,0.0161991954565797,0.9461109478564252,0.344092000403015,-0.016096867803745,0.0467493401396174,-0.04728422831691907,-0.14463546308100222,0.05022081742108632
Business_closures_2,0.0921091682896501,0.0359129997893761,2.564786256504755,0.0103239380762281,0.0377763418962027,2.4382765420414843,0.01475747954637,0.0217196887024728,0.1624986478768273,-0.28417355022892377,-0.5021967721531196,-0.06489523196198052
Business_closures_2_Male,-0.2270463123191562,0.0512170233424891,-4.433024363811489,9.29203610811058e-06,0.0535098028214083,-4.243078844392955,2.204739314159987e-05,-0.3274316780704349,-0.1266609465678774,-6.271553877318781,-25.51957327068478,27.370672769338547
Business_closures_2_Non-binary or Self-define or Prefer not to answer,0.4748829199368648,0.350467868520514,1.3549970270928515,0.1754185042133325,0.2820186246761497,1.6838707744291244,0.0922066455761463,-0.2120341023633425,1.1617999422370722,-4.981792627233751,-54.18809280859908,38.97386687993584
Business_closures_3,-0.1306786575778146,0.0350231628304706,-3.731206636315624,0.0001905648328024,0.0431491223643179,-3.0285357017105623,0.0024574203888221,-0.199324056725537,-0.0620332584300922,0.40316744524562353,0.18663222774199373,0.6160985170687352
Business_closures_3_Male,-0.1803671543279926,0.0503511157748523,-3.5821878334238684,0.0003407286548824,0.0609583380529362,-2.958859445468504,0.0030877990157556,-0.2790553412467032,-0.081678967409282,-4.982165596579203,-19.915479818288038,23.257372739060507
Business_closures_3_Non-binary or Self-define or Prefer not to answer,-0.0265982345134638,0.3347962048800295,-0.079446045462179,0.9366778453721056,0.2516553040931211,-0.1056931210304296,0.9158258384024908,-0.6827987960783216,0.6296023270513939,0.27903064741563016,-24.689396873954095,24.85909404856779
Healthcare_restrictions_2,-0.2340677156856663,0.0395748591874328,-5.91455586934837,3.327722764012719e-09,0.0411786514181252,-5.684200614268755,1.3142593235926371e-08,-0.3116344396930348,-0.1565009916782979,0.7221415087714372,0.469144998343089,0.9633167729913559
Healthcare_restrictions_2_Male,0.053980881554092,0.0564809260342926,0.9557364821057872,0.3392053860275759,0.0576703034064858,0.9360256209094452,0.3492599964141032,-0.0567217334731215,0.1646834965813056,1.4910790822964983,-9.511992849363324,7.158990111601677
Healthcare_restrictions_2_Non-binary or Self-define or Prefer not to answer,-0.0768369720085065,0.3684309889034665,-0.2085518708325559,0.8347980858051631,0.3498478006496502,-0.2196297128803556,0.8261595488360451,-0.7989617102593009,0.6452877662422877,0.8060636518614626,-26.364395254424323,29.382548135265452
