,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0598436907677199,0.023148968290259,2.585155848733953,0.0097334989659567,0.0233742766446193,2.560237122097022,0.0104600765588258,0.0144717129188122,0.1052156686166276,-0.1920065478527046,-0.33822358782137024,-0.04135367959265618
Business_closures_2,0.0086292703690828,0.0493176657653269,0.1749732116305821,0.8611006828636492,0.0511393656335874,0.1687402700868726,0.8660009419868819,-0.088033354530958,0.1052918952691237,-0.027686735106066573,-0.3386980065446115,0.28265213513985815
Business_closures_2_Male,-0.0827306321767782,0.0721183981190504,-1.1471501632663763,0.2513195646758277,0.0744706547696312,-1.1109158692467327,0.2666045640741581,-0.224082692490117,0.0586214281365605,0.26543855972371694,-0.19929083545018028,0.7202847039782543
Business_closures_2_Non-binary or Self-define or Prefer not to answer,0.0103672753740937,0.4188398546180798,0.0247523612182207,0.98025248964324,0.3062963909137781,0.0338472005601011,0.9729989968850764,-0.8105588396773427,0.8312933904255302,-0.03326306799733386,-2.6852757167285035,2.6238612428314982
Business_closures_3,-0.1728307663352354,0.0490073699608567,-3.5266280658047773,0.0004208875603197,0.0572675540076749,-3.0179526492797795,0.0025448866502097,-0.2688852114585147,-0.0767763212119562,0.554521928394597,0.2319148739969767,0.8640278653584558
Business_closures_3_Male,-0.0674242013269076,0.0714085809465665,-0.944203069619318,0.3450658869141723,0.0836283687513646,-0.8062359978270826,0.4201067860842906,-0.207385019982178,0.0725366173283627,0.21632837100161567,-0.24212502043993644,0.666346137850033
Business_closures_3_Non-binary or Self-define or Prefer not to answer,-0.1434454195996514,0.4254546744426492,-0.3371579353019606,0.7359978454093041,0.2777916595562947,-0.5163777048913958,0.6055906342478639,-0.977336581507244,0.6904457423079411,0.46023999304314883,-2.228589781003212,3.1426548070518634
Healthcare_restrictions_2,-0.2108838142677849,0.055209181913064,-3.819723585106845,0.0001336013084443,0.0541078008934836,-3.897475239899878,9.72007566439892e-05,-0.3190938108173905,-0.1026738177181794,0.6766139029214,0.30865779222157524,1.0246035104646265
Healthcare_restrictions_2_Male,0.1262288646193019,0.0803969929964283,1.5700694754206757,0.1163989490454753,0.0793224947438843,1.5913375521895563,0.1115336299814482,-0.0313492416536975,0.2838069708923014,-0.40500123277811007,-0.9084970748900827,0.11157877383240489
Healthcare_restrictions_2_Non-binary or Self-define or Prefer not to answer,-0.1831546521545983,0.4601892682793065,-0.3979985296906898,0.6906312695541885,0.42729327679002,-0.4286392089539101,0.6681858069714539,-1.085125617982039,0.7188163136728424,0.5876457824078024,-2.3177750617365422,3.47945018749525
Healthcare_restrictions_3,-0.4547328245605391,0.0562868662039922,-8.078844235394415,6.661338147750939e-16,0.0580610973054531,-7.831970900726158,4.884981308350689e-15,-0.5650550823203638,-0.3444105668007144,1.4589955719488343,1.0429228601256775,1.834735196085877
Healthcare_restrictions_3_Male,0.1597819308222812,0.082263853239761,1.9423103164957625,0.0520995448619145,0.0855524954921386,1.867647809723605,0.0618111777119732,-0.0014552215276504,0.3210190831722128,-0.5126551613520206,-1.0268504878861089,0.022743622803612973
