,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.016889150537263,0.0161027536534044,1.0488361742832952,0.2942535252001681,0.016191166639712,1.0431089317454758,0.2968978444705223,-0.0146722466234096,0.0484505476979356,-0.05438682196297004,-0.15688206813312117,0.04741589460973414
Business_closures_2,-0.0228095573115627,0.0267911642055512,-0.8513835806671117,0.3945563096083502,0.0280728192161914,-0.8125139529416064,0.41649678358633,-0.0753202391544432,0.0297011245313176,0.07345184885533976,-0.0966332929452148,0.24232671150393298
Business_closures_2_No,0.0634181079637139,0.0893446712232971,0.7098141063747885,0.4778194202477592,0.0915984598764483,0.6923490640481814,0.4887181450522173,-0.1116974476339484,0.2385336635613762,1.4159643695456083,-15.9513698563315,17.12565834131266
Business_closures_3,-0.2252761205131031,0.0263341187887934,-8.554534226866567,0.0,0.0318233484372445,-7.078957167481812,1.4523937608146298e-12,-0.2768909933391382,-0.1736612476870681,0.7254392239457326,0.5493464184701676,0.894647454197632
Business_closures_3_No,0.0708420912621543,0.0873388668458884,0.8111175908333791,0.4172981448293553,0.106799445399431,0.6633189057977236,0.5071263307432936,-0.1003420877557869,0.2420262702800955,1.5817229544076483,-16.317597734252846,18.31857475011796
Healthcare_restrictions_2,-0.2109882390435019,0.0295944560517232,-7.129316337990814,1.0087486401744172e-12,0.0304258789948542,-6.934499380582739,4.07651690181865e-12,-0.2689933729048795,-0.1529831051821242,0.6794290670701251,0.4853442613310457,0.8681721922597845
Healthcare_restrictions_2_No,0.0178351693839425,0.0970290215125587,0.1838127305203641,0.8541603687951491,0.0956603692922253,0.1864426148038309,0.8520976764605863,-0.1723417127806726,0.2080120515485577,0.39821377810455816,-15.053660977658463,15.120266932572049
Healthcare_restrictions_3,-0.4308991250552899,0.0302870491258422,-14.227174237572964,0.0,0.0318518962301897,-13.528209496264656,0.0,-0.4902617413419408,-0.3715365087686391,1.387591042348507,1.1700217890651574,1.593574079922962
Healthcare_restrictions_3_No,0.2208999289047796,0.0994317282113223,2.221624152356086,0.0263087162428021,0.1035423103007371,2.133426695455984,0.0328897390931641,0.0260137416105879,0.4157861161989714,4.932131194189738,-37.76480773149543,45.184293445803235
Mask_mandates_2,0.0956510532305572,0.0330073555338842,2.8978708437386027,0.0037570527416805,0.0339030721171509,2.821309316749763,0.0047828061836752,0.030956636384144,0.1603454700769703,-0.3080176703466064,-0.5159546894894895,-0.09622824384391104
Mask_mandates_2_No,-0.16172852220024,0.1087735702296785,-1.486836571225396,0.1370579799588374,0.1108173973809156,-1.459414550626254,0.1444510435614092,-0.3749247198504099,0.0514676754499298,-3.610984816920655,-33.57698212666193,29.480492383469866
Mask_mandates_3,0.1188229200158975,0.0270062844851919,4.399824791931311,1.0833831429746256e-05,0.0286185060256454,4.151960969221065,3.29638490697004e-05,0.0658906024249213,0.1717552376068738,-0.382636236308432,-0.5535080235107122,-0.20877779268923707
Mask_mandates_3_No,-0.116613548755787,0.0902440755821318,-1.2922017096807217,0.1962872997813656,0.0906954076993828,-1.2857712613444765,0.1985229027329009,-0.2934919368967655,0.0602648393851913,-2.6036826916839195,-24.10716689057385,21.47618569526678
Mask_mandates_4,0.1345265080523658,0.0334370343167656,4.023278702827806,5.739351159617101e-05,0.0356792802432343,3.770437832132991,0.0001629613950806,0.0689899207915051,0.2000630953132266,-0.4332052832735161,-0.6459696548787781,-0.21907307772487
Mask_mandates_4_No,-0.2388937648993129,0.1109663008034341,-2.152849677511462,0.031330494470511,0.1247632903365716,-1.9147760872196744,0.0555210653245001,-0.4563877144740438,-0.0213998153245821,-5.333887592445652,-49.48359974647414,40.94810704939252
Number_of_infections,-0.3105375517025465,0.009979639522975,-31.11711109280347,0.0,0.0130159751318228,-23.85818569546203,0.0,-0.3300976451675775,-0.2909774582375154,1.0,0.9064999612735566,1.0852235084603594
Number_of_infections_No,0.0447879263968098,0.0322811988845547,1.387430700978059,0.1653104687783075,0.0404163183179467,1.1081644311209302,0.2677908089812311,-0.0184832234169173,0.1080590762105371,1.0,-8.225467561981688,9.646679728312915
SIGMA_PANEL_ASC2,-0.3534356301206419,0.0281886969440194,-12.538203905719266,0.0,0.0332286332055158,-10.636478122186888,0.0,-0.4086854761309201,-0.2981857841103636,1.1381413557970794,0.9410811289510755,1.3267084781107823
School_closures_2,0.1434260288278861,0.0298752046373281,4.800838373126321,1.5800275579014311e-06,0.0319886975064231,4.483647038116732,7.337799897033648e-06,0.084870627738723,0.2019814299170492,-0.4618637199963149,-0.6502698933601417,-0.26841171083062
School_closures_2_No,-0.1911683554309662,0.0985855149236422,-1.9391120042232617,0.0524877013030888,0.1024164393786104,-1.8665788089376945,0.0619604291454856,-0.3843959646813051,0.0020592538193726,-4.268301098319723,-38.97975657829891,32.56448721924805
School_closures_3,-0.225920896206307,0.0302494632037324,-7.468591911357642,8.104628079763644e-14,0.0316536161814301,-7.137285513016536,9.519052213136092e-13,-0.2852098440856227,-0.1666319483269913,0.7275155451174197,0.5288951445880157,0.9218004174533931
