,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,-0.028985458,0.012435374,-2.33088745,0.019759295,0.015668811,-1.849882406,0.0643305,-0.053358791,-0.004612124,0.105670845,0.014243001,0.194350839
Business_closures_2,-0.018806289,0.036173625,-0.519889541,0.603140566,0.037659978,-0.499370691,0.617518263,-0.089706594,0.052094016,0.068561155,-0.194390398,0.328533954
"Business_closures_2_35,000 - 75,000",-0.035664129,6.75E-18,-5.28696E+15,0,6.69E-18,-5.32811E+15,0,-0.035664129,-0.035664129,0.123114697,0.123114697,0.123114697
"Business_closures_2_> 150,000",0,1.42E-17,0,1,1.45E-17,0,1,-2.78E-17,2.78E-17,,,
Business_closures_3,-0.210908066,0.035516111,-5.938377269,2.88E-09,0.04201355,-5.02000102,5.17E-07,-0.280519644,-0.141296489,0.768897071,0.49264194,1.028035584
"Business_closures_3_35,000 - 75,000",-0.226014808,4.82E-18,-4.68E+16,0,5.89E-18,-3.84E+16,0,-0.226014808,-0.226014808,0.780216583,0.780216583,0.780216583
"Business_closures_3_> 150,000",0,1.7976931348623157e+308,0,1,1.7976931348623157e+308,0,1,#NAME?,inf,,,
Healthcare_restrictions_2,-0.217062935,0.039572517,-5.485194083,4.13E-08,0.040297219,-5.386548819,7.18E-08,-0.294625068,-0.139500802,0.79133557,0.48757723,1.078098933
"Healthcare_restrictions_2_35,000 - 75,000",-0.217010463,1.7976931348623157e+308,0.00E+00,1,1.7976931348623157e+308,0.00E+00,1,#NAME?,inf,0.749133049,,
"Healthcare_restrictions_2_> 150,000",0,5.35E-18,0,1,8.12E-18,0,1,-1.05E-17,1.05E-17,,,
Healthcare_restrictions_3,-0.428795254,0.040466156,-10.59639193,0,0.042539813,-10.07985762,0,-0.50810892,-0.349481587,1.563237578,1.212609539,1.879001718
"Healthcare_restrictions_3_35,000 - 75,000",-0.422840035,1.7976931348623157e+308,0.00E+00,1,1.7976931348623157e+308,0.00E+00,1,#NAME?,inf,1.459668996,,
"Healthcare_restrictions_3_> 150,000",0,1.7976931348623157e+308,0,1,1.7976931348623157e+308,0,1,#NAME?,inf,,,
Mask_mandates_2,0.047187211,0.043953234,1.073577678,0.283012007,0.045683091,1.032925099,0.301638952,-0.038961128,0.13333555,-0.172028074,-0.484238036,0.14476376
"Mask_mandates_2_35,000 - 75,000",0.046789653,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0.046789653,0.046789653,-0.161520671,-0.161520671,-0.161520671
"Mask_mandates_2_> 150,000",0,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0,0,,,
Mask_mandates_3,0.136904418,0.036007285,3.802131103,0.000143457,0.039557757,3.460874178,0.000538424,0.06633014,0.207478697,-0.499105644,-0.757697321,-0.2307692
"Mask_mandates_3_35,000 - 75,000",0.135958296,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0.135958296,0.135958296,-0.469336138,-0.469336138,-0.469336138
"Mask_mandates_3_> 150,000",0,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0,0,,,
Mask_mandates_4,0.113050895,0.044836523,2.521401901,0.011688826,0.049645529,2.277161653,0.022776574,0.025171309,0.20093048,-0.412144037,-0.731688784,-0.081977638
"Mask_mandates_4_35,000 - 75,000",0.111933619,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0.111933619,0.111933619,-0.386401521,-0.386401521,-0.386401521
"Mask_mandates_4_> 150,000",0,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0,0,,,
Number_of_infections,-0.274299479,0.014303994,-19.17642527,0,0.018399407,-14.90806047,0,-0.302335308,-0.24626365,1,0.844437833,1.136571359
"Number_of_infections_35,000 - 75,000",-0.289682138,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,-0.289682138,-0.289682138,1,1,1
"Number_of_infections_> 150,000",0,0,1.7976931348623157e+308,0,0,1.7976931348623157e+308,0,0,0,,,
SIGMA_PANEL_ASC2,-0.229411416,0.051117689,-4.487906621,7.19E-06,0.075266902,-3.04797207,0.002303913,-0.329602087,-0.129220745,0.836353817,0.45065381,1.204690994
