,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0814765320697536,0.013501144599636,6.034787011461993,1.5917249740482475e-09,0.0175464593671476,4.643474239726247,3.4259872603303876e-06,0.055014288654467,0.1079387754850402,-0.34684756460312033,-0.46352176323458016,-0.21702236995547097
Business_closures_2,-0.0854709517842366,0.0376056914673964,-2.272819577279638,0.0230370547783109,0.0395517928439477,-2.1609880523359255,0.0306962623439084,-0.1591781070603337,-0.0117637965081394,0.3638519057891812,0.038348645093264855,0.6775042938908817
"Business_closures_2_$35,000 - 75,000",-0.0153759754015421,6.150186979626257e-18,-2500082591387578.5,0.0,4.007367819032991e-18,-3836926405535815.0,0.0,-0.0153759754015421,-0.0153759754015421,0.06545589859981496,0.055448148887529386,0.07307782069455104
"Business_closures_2_> $150,000",-0.0153759754015421,2.1456827080644198e-17,-716600611253121.2,0.0,2.3536732077733505e-17,-653275711800633.5,0.0,-0.0153759754015421,-0.0153759754015421,0.06545589859981496,0.05550314358178074,0.07309312957972625
Business_closures_3,-0.1548253400870438,0.0369918677964482,-4.185388554559806,2.8467871488579988e-05,0.0433376080307245,-3.572540043679367,0.0003535354020314,-0.2273294009680824,-0.0823212792060053,0.6590952116379566,0.323678813510943,0.9703999888287292
"Business_closures_3_$35,000 - 75,000",-0.1894575036552171,2.7629792710645505e-17,-6857000544279178.0,0.0,2.946356974840537e-17,-6430229102346668.0,0.0,-0.1894575036552171,-0.189457503655217,0.8065251682820863,0.6830351434125052,0.9010078801816374
"Business_closures_3_> $150,000",-0.1894575036552171,2.643294489263395e-18,-7.167476209130717e+16,0.0,4.300537786673085e-18,-4.4054374837102e+16,0.0,-0.1894575036552171,-0.1894575036552171,0.8065251682820863,0.6845971326980478,0.9011456360924288
Healthcare_restrictions_2,-0.1549630504043237,0.0414091974279017,-3.74223747451596,0.0001823890324776,0.042383917976324,-3.6561756865159847,0.0002560059346619,-0.2361250773630111,-0.0738010234456363,0.6596814477841927,0.29017808434613257,1.0101482476185988
"Healthcare_restrictions_2_$35,000 - 75,000",-0.1636591276739913,1.7976931348623157e+308,-9.10384116733727e-310,1.0,1.7976931348623157e+308,-9.10384116733727e-310,1.0,-inf,inf,0.6967008587233147,,
"Healthcare_restrictions_2_> $150,000",-0.1636591276739913,1.7976931348623157e+308,-9.10384116733727e-310,1.0,1.7976931348623157e+308,-9.10384116733727e-310,1.0,-inf,inf,0.6967008587233147,,
Healthcare_restrictions_3,-0.2965176184796995,0.0422682093163345,-7.015145029224365,2.297051437949449e-12,0.0446758517142833,-6.637089324586952,3.1993740989832986e-11,-0.3793633087397153,-0.2136719282196837,1.2622826624917247,0.8451982030620734,1.6355624115943945
"Healthcare_restrictions_3_$35,000 - 75,000",-0.3755673554308176,1.0051936835426937e-17,-3.7362685577885064e+16,0.0,1.127099903549972e-17,-3.332156752457447e+16,0.0,-0.3755673554308176,-0.3755673554308176,1.5987993016699773,1.3529673975259497,1.7859290181759655
"Healthcare_restrictions_3_> $150,000",-0.3755673554308176,1.7976931348623157e+308,-2.089162761694486e-309,1.0,1.7976931348623157e+308,-2.089162761694486e-309,1.0,-inf,inf,1.5987993016699773,,
Mask_mandates_2,-0.0122490072164887,0.0456632050684054,-0.2682467688840322,0.7885093773004912,0.0478160304126858,-0.2561694710073424,0.7978199808787945,-0.1017488891505634,0.0772508747175859,0.05214431952268044,-0.3354400897507872,0.43551142464026255
"Mask_mandates_2_$35,000 - 75,000",-0.0316214457545496,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.0316214457545496,-0.0316214457545496,0.1346132582055094,0.11433638385784131,0.1502353428161901
"Mask_mandates_2_> $150,000",-0.0316214457545496,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.0316214457545496,-0.0316214457545496,0.1346132582055094,0.11411378927299037,0.15030550810540572
Mask_mandates_3,0.0119109883790771,0.0380509787222073,0.3130271225356325,0.7542600560970454,0.041875502152035,0.2844381026365391,0.7760746626102619,-0.0626689299164493,0.0864909066746036,-0.05070536516897993,-0.36920834708209804,0.2709099974355487
"Mask_mandates_3_$35,000 - 75,000",0.0495730521931727,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0495730521931727,0.0495730521931727,-0.21103368032926298,-0.23566824745354237,-0.1790140522310088
"Mask_mandates_3_> $150,000",0.0495730521931727,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0495730521931727,0.0495730521931727,-0.21103368032926298,-0.23567778754328608,-0.17897163659495716
Mask_mandates_4,0.0191588238698787,0.0463022423098482,0.4137774525404309,0.6790370981757934,0.0512540996971218,0.3738008078006423,0.7085525184580024,-0.0715935710574238,0.1099112187971814,-0.08155957588178253,-0.47064849476132387,0.31356510869542464
"Mask_mandates_4_$35,000 - 75,000",0.0385005731948379,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0385005731948379,0.0385005731948379,-0.1638978698433217,-0.18314456636518509,-0.13873375922522882
"Mask_mandates_4_> $150,000",0.0385005731948379,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0385005731948379,0.0385005731948379,-0.1638978698433217,-0.18299597175815926,-0.13892602858906317
Number_of_infections,-0.2349058790797132,0.0158514797583112,-14.8191766738085,0.0,0.0199335130153873,-11.784469646588738,0.0,-0.2659747794060032,-0.2038369787534232,1.0,0.7926405568628988,1.1715922110017072
