,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0155819186518823,0.0161909341802106,0.962385399041854,0.3358560452944095,0.0163747954565532,0.9515794376317782,0.3413103138728146,-0.0161523123413304,0.0473161496450951,-0.07340703751275544,-0.22390875561897333,0.0810115624872333
Business_closures_2,-0.0235102918726563,0.0458420834615517,-0.5128539127671772,0.6080535139338756,0.0478244813862787,-0.4915953334185372,0.6230054430384095,-0.1133607754572977,0.0663401917119851,0.11075791858427081,-0.31873049122985075,0.5378728403193888
Business_closures_2_News apps or websites,0.0559669162395409,0.0752964441862094,0.743287639202906,0.4573075535554673,0.0793528391902055,0.7052919191131972,0.4806285883013079,-0.0916141143654294,0.2035479468445114,-0.2638764115312057,-0.9669341197206986,0.48086975415410355
Business_closures_2_Other,0.037442024480863,0.0980156942739538,0.3820002986074109,0.7024611431446748,0.1022178329362888,0.3662964025484697,0.7141439137003178,-0.1546687362960865,0.2295527852578126,-0.44272942823355693,-3.7614414456213585,4.063037438667141
Business_closures_2_Radio or podcasts,-0.1506386223658327,0.1457188860135586,-1.0337618306512195,0.3012475196195603,0.1524705291480048,-0.98798517462746,0.3231599089541059,-0.4362476389524077,0.1349703942207421,1.292610790968257,-5.992954538882689,4.496452597589917
Business_closures_2_TV (including cable),0.0043168198387579,0.0617995755914427,0.0698519334064107,0.9443115112094258,0.0645862033723855,0.0668381111344842,0.946710582932738,-0.1168103483204699,0.1254439879979857,-0.03665744485447926,-1.1389986475488294,1.077296858379902
Business_closures_3,-0.1497224643301839,0.0450291363292548,-3.3250130145825407,0.0008841440776519,0.0523785491186188,-2.8584691032795786,0.0042569056181522,-0.2379795715355234,-0.0614653571248443,0.7053484748016138,0.25027616121358054,1.1240619904487383
Business_closures_3_News apps or websites,-0.0822645152809911,0.0738656685816926,-1.1137043346464757,0.2654060491210401,0.0893708084198286,-0.9204852986731984,0.3573192120534756,-0.2270412257011088,0.0625121951391265,0.387866020628905,-0.3491276658424464,1.0776265042420525
Business_closures_3_Other,-0.0346141381946199,0.0973529804068978,-0.355552937875618,0.722175393445637,0.1122897691234726,-0.3082572745924757,0.757886573989945,-0.2254259797921397,0.1561977034028997,0.4092913731076161,-3.9720682538239322,3.697813868930542
Business_closures_3_Radio or podcasts,-0.3003655059971527,0.1457227190346214,-2.061212609722102,0.0392827610564567,0.1725158042137917,-1.741089793865622,0.0816678400741068,-0.5859820353050108,-0.0147489766892946,2.5773980682302295,-8.653308045011302,5.393690050756185
Business_closures_3_TV (including cable),-0.098870093554575,0.0606968038336519,-1.6289176251445188,0.103330458410646,0.0729593415876999,-1.3551396079380649,0.1753730814783991,-0.2178358290685328,0.0200956419593827,0.839582177994457,-0.457048484203761,1.8551514567643985
Healthcare_restrictions_2,-0.1404882007283621,0.0512475768544169,-2.741362799015029,0.006118490769938,0.0507747825962213,-2.766889261655201,0.0056593975553196,-0.2409334513630193,-0.040042950093705,0.6618454922892696,0.155713484509731,1.1370002163261488
Healthcare_restrictions_2_News apps or websites,-0.1469713512189106,0.0828120543850684,-1.7747579420685229,0.0759378635384262,0.0882182634015511,-1.665996875838823,0.0957140366926447,-0.3092829778136446,0.0153402753758234,0.6929499669331213,-0.16777475906392403,1.4554817681795096
