,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.027657692,0.014893089,1.857082354,0.063299438,0.016157239,1.711783273,0.086936616,-0.001532762,0.056848145,-0.073407038,-0.223908756,0.081011562
Business_closures_2,-0.051780495,0.042650405,-1.214068088,0.224721725,0.044699964,-1.158401281,0.246700317,-0.135375288,0.031814298,0.110757919,-0.318730491,0.53787284
Business_closures_2_News apps or websites,0.081969524,0.07416451,1.105239211,0.269055951,0.078745771,1.040938749,0.297903976,-0.063392915,0.227331964,-0.263876412,-0.96693412,0.480869754
Business_closures_2_Other,-0.073365907,0.096964592,-0.75662575,0.44927411,0.10053072,-0.729785953,0.465521032,-0.263416508,0.116684693,-0.442729428,-3.761441446,4.063037439
Business_closures_2_Radio or podcasts,-0.105171296,0.12832823,-0.819549185,0.412473152,0.144074526,-0.729978431,0.465403369,-0.356694627,0.146352035,1.292610791,-5.992954539,4.496452598
Business_closures_2_TV (including cable),-0.01871929,0.058558143,-0.319670154,0.749218387,0.061331193,-0.305216476,0.760201285,-0.13349325,0.096054669,-0.036657445,-1.138998648,1.077296858
Business_closures_3,-0.045268249,0.042523313,-1.06455133,0.287079015,0.048114216,-0.940849773,0.34678185,-0.128613943,0.038077444,0.705348475,0.250276161,1.12406199
Business_closures_3_News apps or websites,-0.196995087,0.074097523,-2.65859207,0.007846791,0.085338274,-2.308402534,0.020976758,-0.342226232,-0.051763942,0.387866021,-0.349127666,1.077626504
Business_closures_3_Other,-0.386037373,0.096621988,-3.995336678,6.46E-05,0.111941532,-3.448562532,0.000563579,-0.57541647,-0.196658277,0.409291373,-3.972068254,3.697813869
Business_closures_3_Radio or podcasts,-0.454636331,0.132428532,-3.433069337,0.000596789,0.166357121,-2.732893716,0.006278059,-0.714196253,-0.195076409,2.577398068,-8.653308045,5.393690051
Business_closures_3_TV (including cable),-0.206642907,0.058150137,-3.553609971,0.000379982,0.068443321,-3.019182922,0.002534574,-0.320617176,-0.092668638,0.839582178,-0.457048484,1.855151457
Healthcare_restrictions_2,-0.05256137,0.048952422,-1.073723581,0.282946589,0.048241416,-1.089548657,0.27591201,-0.148508117,0.043385377,0.661845492,0.155713485,1.137000216
Healthcare_restrictions_2_News apps or websites,-0.101973633,0.083607796,-1.219666565,0.222591301,0.084384371,-1.20844217,0.226877227,-0.265844912,0.061897646,0.692949967,-0.167774759,1.455481768
Healthcare_restrictions_2_Other,-0.17553341,0.10863328,-1.615834573,0.106130084,0.108454773,-1.618494092,0.105556159,-0.388454639,0.037387819,1.029936777,-4.981515975,4.279454346
Healthcare_restrictions_2_Radio or podcasts,-0.288504974,0.147317967,-1.95838281,0.05018511,0.137479521,-2.09853055,0.035858304,-0.577248189,0.000238241,-0.858151786,-4.685126694,5.497402232
Healthcare_restrictions_2_TV (including cable),-0.128568161,0.066072266,-1.945871836,0.051670137,0.065944724,-1.949635287,0.051219604,-0.258069802,0.00093348,0.832558481,-0.588951134,1.972205002
