,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0149412270667177,0.016117619121008,0.9270120452991087,0.353920280334282,0.0161376501696594,0.9258613806617786,0.3545180234850238,-0.016649306410458,0.0465317605438935,-0.0944389252323399,-0.29932289168021553,0.14729527640398948
Business_closures_2,0.1121374034050565,0.0953409472577504,1.176172532688369,0.2395259381708283,0.0914723590317484,1.2259157257126778,0.2202303903278983,-0.0747308532201343,0.2990056600302474,-0.708786220076188,-1.9088711141782921,0.7665460170138018
Business_closures_2_No,-0.136896548253741,0.0989418835738436,-1.3836056410991056,0.1664792400813435,0.0956412469987876,-1.4313546984124572,0.1523285847813211,-0.3308226400584747,0.0570295435509925,0.8477858456802264,-0.7224092228682434,2.0584933616086176
Business_closures_3,-0.1287800157432383,0.0925145818205448,-1.3919969502001248,0.1639233214913922,0.1002645577509402,-1.284402171933288,0.1990012734056916,-0.3101085961115061,0.0525485646250295,0.8139790810947739,-0.6795576028578018,1.9649663639890864
Business_closures_3_No,-0.0932037861213657,0.0961201393908869,-0.9696592900509498,0.3322163488716492,0.1051771765284898,-0.8861598038441275,0.375531420529466,-0.2815992593275041,0.0951916870847726,0.5772011905737855,-0.8598967426224964,1.7777791066667488
Healthcare_restrictions_2,-0.2195601637435091,0.1050875272453297,-2.089307546755191,0.0366800474905089,0.1102648529199656,-1.991207151955066,0.0464581179165595,-0.4255317171443553,-0.0135886103426628,1.387772623706511,-0.4685633216372129,2.6916195273499524
Healthcare_restrictions_2_No,0.0113479516347785,0.1090845884637387,0.104028917325482,0.9171464003585608,0.1142348120681838,0.0993388217595631,0.9208692555348784,-0.2024578417541494,0.2251537450237064,-0.07027666435823442,-1.4920369113908742,1.4147914600469862
Healthcare_restrictions_3,-0.2619096897489449,0.1037684719696822,-2.5239813671484574,0.0116034078647724,0.1126807625830966,-2.3243514131864265,0.0201066673609464,-0.465295894809522,-0.0585234846883677,1.6554510213503926,-0.3305078038689164,2.9460700043396346
Healthcare_restrictions_3_No,-0.160343500647332,0.1080321584085829,-1.484220097139086,0.137750539834637,0.1170562769364441,-1.369798398204573,0.1707498422287372,-0.3720865311281545,0.0513995298334904,0.9929903421937558,-0.7679505546087069,2.3235036747772355
Mask_mandates_2,-0.0265840130325878,0.1144447500623887,-0.2322868722077316,0.816315208076805,0.1106922857251166,-0.2401613884693306,0.810205145323545,-0.2508957231548698,0.1977276970896941,0.1680294133774671,-1.4198403883834723,1.6774091887304938
Mask_mandates_2_No,0.1196428217812555,0.1190288684152542,1.0051580206900688,0.3148207655015373,0.1157042685492911,1.034039826545263,0.3011175449567704,-0.1136537603126426,0.3529394038751537,-0.7409353423242245,-2.2200881263200296,1.056589118687492
Mask_mandates_3,0.0174086546044815,0.0939882155292422,0.1852216738710746,0.8530551699210924,0.089335206554292,0.1948689131188358,0.8454955713565755,-0.1668082478328333,0.2016255570417965,-0.11003477982410619,-1.381070267514286,1.193437891156524
Mask_mandates_3_No,0.0982788651943817,0.0977333274160403,1.0055819012077536,0.3146167336970884,0.0937580778174555,1.0482175774308002,0.2945383738871392,-0.0932784565410573,0.2898361869298208,-0.6086306185520275,-1.8187232452971744,0.8673025091208318
