,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.032822361,0.016118037,2.036374519,0.041712762,0.016219925,2.023582788,0.043013097,0.001231007,0.064413714,-0.094438925,-0.298699917,0.149612385
Business_closures_2,-0.023419718,0.078325263,-0.299005922,0.764935527,0.078502907,-0.298329302,0.765451842,-0.176937233,0.130097798,-0.70878622,-1.910192786,0.769426003
Business_closures_2_No,-0.031867982,0.08263644,-0.385640793,0.699762717,0.083365066,-0.382270223,0.70226094,-0.193835405,0.13009944,0.847785846,-0.729256358,2.064027546
Business_closures_3,-0.047641396,0.078249419,-0.608840247,0.542630334,0.085050347,-0.560155218,0.57537357,-0.201010257,0.105727466,0.813979081,-0.678040447,1.966388742
Business_closures_3_No,-0.179049001,0.08252386,-2.16966344,0.030032352,0.090636036,-1.975472542,0.048214548,-0.340795766,-0.017302236,0.577201191,-0.858992632,1.773678946
Healthcare_restrictions_2,-0.122108889,0.088192779,-1.384567885,0.166184637,0.085254605,-1.432284975,0.152062281,-0.294966736,0.050748957,1.387772624,-0.455138849,2.689323666
Healthcare_restrictions_2_No,-0.022818513,0.093029954,-0.245281355,0.806238587,0.090331921,-0.252607416,0.800571598,-0.205157223,0.159520197,-0.070276664,-1.516090514,1.408937699
Healthcare_restrictions_3,-0.180425898,0.091099443,-1.980537894,0.04764312,0.093296737,-1.933892916,0.053126295,-0.358980806,-0.001870991,1.655451021,-0.315436972,2.943645353
Healthcare_restrictions_3_No,-0.190689104,0.09586179,-1.989208673,0.046678175,0.09835565,-1.938771233,0.0525292,-0.378578213,-0.002799996,0.992990342,-0.767591054,2.305449654
Mask_mandates_2,0.102166799,0.098101701,1.041437594,0.297672502,0.10371353,0.985086507,0.324581581,-0.090112534,0.294446133,0.168029413,-1.435185012,1.685978327
Mask_mandates_2_No,-0.091264345,0.103458633,-0.882133681,0.37770452,0.109089487,-0.836600731,0.402817035,-0.294043265,0.111514576,-0.740935342,-2.220373031,1.060798505
Mask_mandates_3,0.018333994,0.079012599,0.232038864,0.816507828,0.081194442,0.225803556,0.821354211,-0.136530701,0.173198688,-0.11003478,-1.370121106,1.191377339
Mask_mandates_3_No,0.052202862,0.083491214,0.625249767,0.531807143,0.086041953,0.606714056,0.544040692,-0.111439918,0.215845643,-0.608630619,-1.828910064,0.859967805
Mask_mandates_4,0.089770639,0.098822218,0.908405421,0.363664063,0.10403167,0.862916442,0.38818341,-0.103920909,0.283462187,0.601022438,-1.144765058,2.103681171
Mask_mandates_4_No,-0.011630709,0.104235669,-0.111580892,0.911155723,0.109808565,-0.105918049,0.915647373,-0.215932621,0.192671203,-1.409208139,-2.872305096,0.660879761
Number_of_infections,-0.126243538,0.028053406,-4.50011454,6.79E-06,0.030411081,-4.151234863,3.31E-05,-0.181228213,-0.071258863,1,0.129602036,1.466010142
Number_of_infections_No,-0.177094199,0.029752272,-5.952291625,2.64E-09,0.03297147,-5.37113452,7.82E-08,-0.235408651,-0.118779746,1,0.099278776,1.474551754
SIGMA_PANEL_ASC2,0.37211211,0.026769961,13.90036068,0,0.031379729,11.85835952,0,0.319642987,0.424581233,-2.256983209,-2.978826831,-0.610944932
School_closures_2,-0.025088495,0.087882675,-0.285477142,0.775278615,0.090628303,-0.276828475,0.781911815,-0.197338538,0.147161548,0.043173653,-1.36685175,1.443043568
School_closures_2_No,0.18075873,0.092863059,1.946508458,0.051593693,0.096049713,1.881928893,0.059845671,-0.001252866,0.362770326,-0.882116177,-2.194366591,0.82129452
School_closures_3,-0.227865289,0.089579579,-2.543719146,0.010967923,0.090753016,-2.510828837,0.012044808,-0.403441263,-0.052289315,1.604213695,-0.360932667,2.893975973
School_closures_3_No,0.080028147,0.094564892,0.846277572,0.397397916,0.09623752,0.831569094,0.405652213,-0.105319041,0.265375335,-0.222353633,-1.602902577,1.2751563
School_closures_4,0.234939206,0.112823473,2.082361044,0.037309504,0.109334571,2.148809868,0.031649475,0.013805198,0.456073214,0.589189447,-1.365509276,2.308328496
School_closures_4_No,-0.211284648,0.119307933,-1.770918691,0.076574224,0.116368812,-1.815646686,0.069424587,-0.445128196,0.0225589,-1.123830391,-2.829679945,1.066119152
School_closures_5,-0.153505465,0.114121532,-1.345105188,0.178591268,0.119354514,-1.286130368,0.198397567,-0.377183667,0.070172738,1.162822865,-0.981770335,2.836743653
School_closures_5_No,-0.157695909,0.120468392,-1.309023106,0.190526524,0.125835501,-1.253190929,0.21013623,-0.393813957,0.07842214,0.831121827,-1.256688891,2.572849654
Transit_2,0.094110145,0.064342139,1.462651801,0.143562681,0.070329052,1.338140396,0.180850675,-0.032000447,0.220220737,-0.460870747,-1.396026124,0.665310453
Transit_2_No,-0.086692229,0.067818769,-1.278292583,0.201146282,0.073766082,-1.175231581,0.239902079,-0.219617017,0.046232558,0.110541103,-0.94165267,1.116555043
