,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0127249250634366,0.0161148041102192,0.7896419327472411,0.4297369118842193,0.0162581125895072,0.7826815685634502,0.4338141283853844,-0.0188600909925929,0.0443099411194663,-0.046161237861618507,-0.16004613825586603,0.06913261366469588
Business_closures_2,0.0032726490437117,0.0395912809214975,0.0826608527822281,0.934121213255028,0.0413436488160468,0.079157237869182,0.9369075570543096,-0.0743262615624234,0.0808715596498469,-0.011871938749443214,-0.2947591323321969,0.27290426034558113
Business_closures_2_No,-0.0326186923608439,0.0517832111993372,-0.6299086442376031,0.5287543569163791,0.0542318954913021,-0.6014669423840343,0.5475290233811838,-0.1341137863115449,0.068876401589857,0.5992328659546248,-2.5267038201708396,2.751120689191719
Business_closures_3,-0.1943373834320923,0.0387663971158874,-5.0130370086016525,5.357758694479742e-07,0.0477621722468574,-4.068855629674149,4.7244608422536416e-05,-0.2703195217792318,-0.1183552450849528,0.70498286923433,0.4102288408383632,0.985199163836018
Business_closures_3_No,-0.0405777017059277,0.0508476942508234,-0.7980244198638478,0.4248563191661914,0.0618645221269557,-0.6559123114643295,0.5118805462999672,-0.1402391824375417,0.0590837790256863,0.7454465745623727,-2.5610976845928155,2.8217004838070556
Healthcare_restrictions_2,-0.1795030680566586,0.0434804227167385,-4.128365292721862,3.65351375464229e-05,0.0449521944716864,-3.9931992234488183,6.518775320163428e-05,-0.2647246965814662,-0.094281439531851,0.651169557395877,0.3262169481751429,0.9626812875965804
Healthcare_restrictions_2_No,-0.0498623323086947,0.0570890325903885,-0.8734135094993627,0.3824377301167529,0.0585712178470926,-0.8513111753774107,0.3945965186475935,-0.1617568361858564,0.0620321715684668,0.9160130627550387,-2.8079481151935948,3.197593599435261
Healthcare_restrictions_3,-0.3917657123296437,0.0443179745038894,-8.839883065848637,0.0,0.0471217023558554,-8.313912544396063,0.0,-0.478628942357267,-0.3049024823020205,1.4211785250380933,1.0548496121747575,1.7562718242285116
Healthcare_restrictions_3_No,-0.0325316055309676,0.0582998273816054,-0.5580051775801984,0.5768408486409526,0.0614267601406388,-0.5295998919116905,0.5963893693162663,-0.1467992671989142,0.0817360561369789,0.5976330075030235,-2.8391583743676043,3.103023173748795
Mask_mandates_2,0.041315778058813,0.0486291694537152,0.8496089594566699,0.3955425290969745,0.0495156217347513,0.834398854570307,0.4040562625020216,-0.0539973940704687,0.1366289501880949,-0.14987808956853965,-0.4981724546236068,0.19849451471323748
Mask_mandates_2_No,0.0682050584476469,0.063782597094195,1.0693364891824773,0.2849180741359556,0.0653013514664231,1.0444662616625449,0.2962697207631235,-0.0568088318569752,0.1932189487522691,-1.2529843990695386,-3.740671796143456,3.1998235597649494
Mask_mandates_3,0.1071935057321504,0.0396686997408067,2.7022187879246675,0.0068878421956692,0.0404142472944995,2.65236922392811,0.0079929084177157,0.0294428542401691,0.1849441572241316,-0.38885768604960363,-0.6702214401075597,-0.09717752765480625
Mask_mandates_3_No,0.0011053765072354,0.0521698958696137,0.0211880144441542,0.9830956752256684,0.0545395876809593,0.0202674159126675,0.9838300487803088,-0.1011476193972075,0.1033583724116782,-0.020306697922223053,-2.51996845218108,2.5482311428695725
Mask_mandates_4,0.1229371512707241,0.0494271046330778,2.4872416093021874,0.0128737934721887,0.0517479064783124,2.3756932335465013,0.0175160183532936,0.0260600261898915,0.2198142763515566,-0.44596970540469744,-0.7979749610165483,-0.08526850105044259
Mask_mandates_4_No,-0.016114559377341,0.0646827997142805,-0.2491320636787971,0.8032586279813572,0.0689904029411114,-0.2335768264913021,0.8153135199162469,-0.1428928468173308,0.1106637280626487,0.2960380352607793,-3.1783747834677127,3.250426495071911
Number_of_infections,-0.275662561337354,0.0144176433338629,-19.11980723575681,0.0,0.0188120071578077,-14.653543294179691,0.0,-0.3039211422717254,-0.2474039804029826,1.0,0.8432152253085687,1.1361025625133632
Number_of_infections_No,-0.0544340843336084,0.019035535395547,-2.859603536359799,0.0042417093024667,0.0248372801719335,-2.1916282280827084,0.0284063619720198,-0.0917437337088807,-0.0171244349583362,1.0,-1.390035367346956,1.7258813067026422
SIGMA_PANEL_ASC2,0.3561443589607849,0.028307078115552,12.581459573714088,0.0,0.0332330021748859,10.716586996462276,0.0,0.3006624858543029,0.411626232067267,-1.291957664591739,-1.5218257251829685,-1.0362022278724607
School_closures_2,0.0598862576880559,0.0435022397552541,1.3766246985207915,0.1686283107273043,0.0467128843745802,1.2820072767898734,0.1998400935773752,-0.0253781322322421,0.145150647608354,-0.21724479884944367,-0.5263635958882922,0.0959354727880842
School_closures_2_No,0.1139684956042442,0.0575293537199172,1.9810494684001163,0.0475857262765497,0.0614139957297085,1.855741419363679,0.06349042400023,0.0012109623132065,0.226726028895282,-2.0936973038026907,-4.19877157730193,3.493921724753146
School_closures_3,-0.258171292424506,0.0444776820486416,-5.804513197026877,6.455327605792149e-09,0.0464879460560304,-5.553510411351369,2.7998898088910096e-08,-0.3453475492398437,-0.1709950356091683,0.9365482609318052,0.5947213119484753,1.259013097964801
School_closures_3_No,0.066415044354974,0.0584577759005122,1.1361199315554549,0.2559063744067347,0.0608224874205359,1.0919488362218783,0.2748555904068723,-0.0481621964100299,0.180992285119978,-1.2201003317689387,-3.477367650957084,2.9100283511944385
School_closures_4,-0.0004436949590431,0.0567154296252231,-0.007823179018039,0.9937580699150774,0.0582436394331068,-0.0076179126744424,0.993921843880102,-0.1116059370244804,0.1107185471063942,0.0016095582834700177,-0.402001963661359,0.40945679273333524
School_closures_4_No,0.1254273453712257,0.0744968010121941,1.6836608239150417,0.0922472365966877,0.0771145044713418,1.6265078305448806,0.1038416689290471,-0.0205863846126748,0.2714410753551263,-2.304206030224064,-5.07269990358359,4.095347369009657
School_closures_5,-0.2734972424438925,0.0569565420136508,-4.801858272546515,1.571999430405313e-06,0.0589186059639988,-4.641950330783589,3.451358372652535e-06,-0.3851320647906482,-0.1618624200971368,0.9921450381837975,0.557933757071527,1.4018367869318207
School_closures_5_No,-0.059791477226041,0.0746459506737121,-0.8010009476253833,0.4231310972506299,0.077110215389542,-0.7754028039474289,0.4381016787866438,-0.2060975405465169,0.0865145860944348,1.098419822029134,-3.679670253474422,4.082453955724043
Transit_2,0.0661118961186193,0.03151291851749,2.0979299674172185,0.0359113323124793,0.0316276578171295,2.0903190650688352,0.0365891477882223,0.0043465758243388,0.1278772164128998,-0.2398290714483785,-0.4666228426053621,-0.0092961904903954
Transit_2_No,-0.0187215178407273,0.0413616347552243,-0.4526300266302377,0.6508151734939176,0.0420459048751118,-0.445263763411337,0.656129151649274,-0.0997903219609671,0.0623472862795123,0.34393005907823015,-1.9837404992618226,2.139118006835076
