,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.029777133,0.016115237,1.847762669,0.064636684,0.01623256,1.834407724,0.066593494,-0.001808731,0.061362997,-0.046161238,-0.160046138,0.069132614
Business_closures_2,0.029663022,0.037528465,0.790413953,0.429286056,0.041038288,0.722813354,0.469794562,-0.043892769,0.103218814,-0.011871939,-0.294759132,0.27290426
Business_closures_2_No,-0.147517786,0.050317718,-2.931726491,0.003370835,0.053580754,-2.75318609,0.005901834,-0.246140512,-0.048895059,0.599232866,-2.52670382,2.751120689
Business_closures_3,-0.146624887,0.037149747,-3.946861028,7.92E-05,0.044175711,-3.319129105,0.000902987,-0.21943839,-0.073811384,0.704982869,0.410228841,0.985199164
Business_closures_3_No,-0.113383163,0.049975659,-2.268767745,0.023282453,0.059249212,-1.913665343,0.05566293,-0.211335455,-0.015430872,0.745446575,-2.561097685,2.821700484
Healthcare_restrictions_2,-0.070090227,0.042283134,-1.6576403,0.09739009,0.04175268,-1.678700068,0.093210513,-0.152965169,0.012784716,0.651169557,0.326216948,0.962681288
Healthcare_restrictions_2_No,-0.135077785,0.056593992,-2.386786649,0.016996352,0.056513867,-2.390170612,0.016840548,-0.24600201,-0.02415356,0.916013063,-2.807948115,3.197593599
Healthcare_restrictions_3,-0.29148284,0.04280104,-6.810181319,9.75E-12,0.043952157,-6.631821108,3.32E-11,-0.375372877,-0.207592802,1.421178525,1.054849612,1.756271824
Healthcare_restrictions_3_No,-0.116035436,0.057246948,-2.026927887,0.042669788,0.059535277,-1.949019834,0.051293056,-0.228239455,-0.003831417,0.597633008,-2.839158374,3.103023174
Mask_mandates_2,0.054084303,0.046879227,1.153694443,0.248625463,0.048522394,1.114625627,0.265010884,-0.037798981,0.145967588,-0.14987809,-0.498172455,0.198494515
Mask_mandates_2_No,-0.068373149,0.062693491,-1.090594057,0.275451546,0.064937555,-1.05290611,0.292384026,-0.19125239,0.054506093,-1.252984399,-3.740671796,3.19982356
Mask_mandates_3,0.063413534,0.038325058,1.654623321,0.09800093,0.040053728,1.583211793,0.113373199,-0.011703579,0.138530648,-0.388857686,-0.67022144,-0.097177528
Mask_mandates_3_No,0.001607925,0.051326701,0.031327259,0.975008552,0.053960227,0.029798333,0.976227888,-0.098992408,0.102208258,-0.020306698,-2.519968452,2.548231143
Mask_mandates_4,0.12034778,0.047219313,2.548698271,0.01081258,0.049046559,2.45374562,0.014137695,0.027797928,0.212897633,-0.445969705,-0.797974961,-0.085268501
Mask_mandates_4_No,-0.073981577,0.063233438,-1.169975552,0.242010807,0.066691783,-1.109305721,0.267298318,-0.197919116,0.049955962,0.296038035,-3.178374783,3.250426495
Number_of_infections,-0.272441243,0.014037138,-19.40860312,0,0.017986072,-15.14734521,0,-0.299954034,-0.244928452,1,0.843215225,1.136102563
Number_of_infections_No,-0.021848254,0.018748875,-1.165310158,0.243893469,0.023784593,-0.918588532,0.358310833,-0.058596049,0.014899541,1,-1.390035367,1.725881307
SIGMA_PANEL_ASC2,0.373554656,0.02689747,13.88809646,0,0.031490025,11.86263461,0,0.320835615,0.426273697,-1.291957665,-1.521825725,-1.036202228
School_closures_2,0.167996778,0.042553982,3.947850982,7.89E-05,0.044736723,3.755232119,0.000173181,0.084590974,0.251402583,-0.217244799,-0.526363596,0.095935473
School_closures_2_No,-0.049532564,0.057075525,-0.867842453,0.385480586,0.060319911,-0.821164411,0.411552625,-0.161400593,0.062335466,-2.093697304,-4.198771577,3.493921725
School_closures_3,-0.077349334,0.042937271,-1.801449702,0.071632028,0.044536165,-1.736775817,0.082426749,-0.161506385,0.006807717,0.936548261,0.594721312,1.259013098
School_closures_3_No,-0.136720982,0.057745184,-2.367660348,0.017900961,0.060721433,-2.251609936,0.024346933,-0.249901542,-0.023540422,-1.220100332,-3.477367651,2.910028351
School_closures_4,0.072620431,0.054940305,1.321806128,0.186232717,0.055167101,1.316372072,0.188049191,-0.035062566,0.180303429,0.001609558,-0.402001964,0.409456793
School_closures_4_No,-0.047427279,0.073690232,-0.643603342,0.519832683,0.074957918,-0.632718743,0.526917328,-0.191860134,0.097005575,-2.30420603,-5.072699904,4.095347369
School_closures_5,-0.225416173,0.054762781,-4.116229477,3.85E-05,0.057394522,-3.927485821,8.58E-05,-0.332751223,-0.118081122,0.992145038,0.557933757,1.401836787
School_closures_5_No,-0.128451327,0.073548311,-1.746489145,0.080725992,0.076543255,-1.678153452,0.093317146,-0.272606017,0.015703363,1.098419822,-3.679670253,4.082453956
Transit_2,0.088343712,0.030616782,2.885466946,0.003908335,0.031700622,2.786813225,0.005322915,0.02833482,0.148352605,-0.239829071,-0.466622843,-0.00929619
Transit_2_No,-0.124018042,0.040973129,-3.026814058,0.002471459,0.042714555,-2.903414083,0.003691182,-0.204325374,-0.04371071,0.343930059,-1.983740499,2.139118007
