,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0242375897784706,0.0222275366010804,1.090430766731592,0.2755234352051792,0.0224407109059793,1.0800722793506747,0.2801099949331695,-0.0193283819596469,0.0678035615165882,-0.09642887016324522,-0.2698412421197248,0.08477879460392579
Business_closures_2,0.0729235459933819,0.0622522750758181,1.171419773888858,0.2414300878523863,0.0651061091148989,1.1200722479773255,0.2626829757013171,-0.0490909131552216,0.1949380051419855,-0.29012518211218696,-0.7769580825180689,0.2186172599167896
Business_closures_2_Rural,-0.1830865920592319,0.1092978802471732,-1.6751156714584785,0.0939115387367608,0.1118516546980527,-1.636869767849928,0.1016576840514822,-0.3973104373436914,0.0311372532252275,0.728407130233423,-0.1776221568242876,1.5754625419806554
Business_closures_2_Suburban,-0.1482044963229033,0.0801004855785588,-1.8502321833935853,0.0642800922435016,0.0823076290774265,-1.8006167591522737,0.0717633058042053,-0.3052014480568786,0.008792455411072,0.5896292603410905,-0.07379786397189725,1.2128382211158866
Business_closures_3,-0.115524185354179,0.0613929982671513,-1.881715971118989,0.059874590075724,0.0705024733720483,-1.6385834401092108,0.1013000434751281,-0.2358544619577956,0.0048060912494375,0.45961115655682705,-0.047966085306373474,0.9395910641425096
Business_closures_3_Rural,-0.0979172551064694,0.1063681203092672,-0.9205507704918848,0.3572850145815058,0.1242482158703714,-0.788077755648635,0.4306512256773476,-0.3063987709126333,0.1105642606996943,0.3895622611696374,-0.47474286538663374,1.227546463480633
Business_closures_3_Suburban,-0.1817719553588622,0.0792712226427267,-2.293038372551708,0.0218457958586826,0.0931204291098365,-1.952009425820626,0.05093708553993,-0.3371435517386068,-0.0264003589791178,0.7231768687738289,0.05584338499823338,1.3437347748674815
Healthcare_restrictions_2,-0.223234892749489,0.0693832979259322,-3.2174154216162463,0.0012935115849737,0.0727696178933602,-3.0676936228609444,0.0021571766022974,-0.3592261566843162,-0.0872436288146617,0.8881365138033441,0.2863352960369018,1.4299580767740312
Healthcare_restrictions_2_Rural,-0.0082082810318215,0.1183923944128726,-0.0693311514859359,0.944726030088476,0.1205026178123635,-0.0681170349726574,0.9456924699052256,-0.2402573740810518,0.2238408120174087,0.03265651713372999,-0.9030496985848149,0.9723243334707946
Healthcare_restrictions_2_Suburban,-0.0015426238530507,0.0888224915996085,-0.0173674913332144,0.9861434434004814,0.0913339558464847,-0.0168899270676896,0.9865244286578728,-0.1756347073882833,0.1725494596821819,0.006137304764877386,-0.6933942992131716,0.7059489253123132
