,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.015793100553506,0.0161558809060105,0.977544997105693,0.3282994124129226,0.0162384859784675,0.9725722320694123,0.3307659490029828,-0.0158724260222746,0.0474586271292866,-0.07843731084237439,-0.23645828908821404,0.08747921557077397
Business_closures_2,-0.0396643234060037,0.0611982218219117,-0.6481286910823624,0.5169017184567397,0.0636471232919496,-0.623191141319354,0.5331589224186026,-0.1596128381769508,0.0802841913649433,0.1969950646365329,-0.4255292336989315,0.7963814726065012
Business_closures_2_No,0.0284746563933353,0.0673412338683107,0.422841322584302,0.6724110363315039,0.0701805770580277,0.4057341445025664,0.6849379513319023,-0.1035141619885537,0.1604634747752244,-0.2191833235795154,-1.2837013345614405,0.8992861112358853
Business_closures_3,-0.2623604182558024,0.0607815313035911,-4.316449629170523,1.5855884220483674e-05,0.0742529809427721,-3.533331792537829,0.0004103571232032,-0.381492219610841,-0.1432286169007638,1.3030275853525999,0.5758771729629156,1.9128948550258769
Business_closures_3_No,0.0528256552400833,0.066736273535053,0.7915583601223528,0.428618234584746,0.0814392248686381,0.6486512528243162,0.5165638194662305,-0.0779774408886205,0.1836287513687872,-0.4066248430129304,-1.444302178877849,0.7447991449594866
Healthcare_restrictions_2,-0.0790229052339191,0.0668756094788215,-1.181640150269502,0.237348515250809,0.0670360760415854,-1.1788116175669023,0.2384731972264333,-0.2100990998124093,0.0520532893445709,0.39247164674857976,-0.3006541073909584,1.049663712718509
Healthcare_restrictions_2_No,-0.1592810450883354,0.0737448614365551,-2.159893475769421,0.0307809169527675,0.0742745447280392,-2.144490358999207,0.0319936171031107,-0.3038209735039835,-0.0147411166726873,1.2260639202603811,-0.2615302180014418,2.3401957940580984
Healthcare_restrictions_3,-0.2986665049200399,0.0679028920292142,-4.398435707149898,1.0903391611583046e-05,0.0698603587649983,-4.275192830382069,1.9097193302508583e-05,-0.4317561732972997,-0.16557683654278,1.483343780738362,0.6619678101552687,2.170642889317552
Healthcare_restrictions_3_No,-0.1371022298946206,0.0749852303588401,-1.82838979407706,0.067491071988488,0.0775712527945187,-1.7674360662679458,0.0771552273045828,-0.2840732813979473,0.009868821608706,1.0553427582535915,-0.3945443467774923,2.181617959134975
Mask_mandates_2,0.0281103379306078,0.074470241480421,0.3774707503533257,0.7058237973118318,0.0753429890295126,0.3730982576175305,0.7090753154283114,-0.1178513353710173,0.1740720112322331,-0.1396115542149064,-0.8847233720199497,0.6100058658634755
Mask_mandates_2_No,0.0656090369775008,0.0821860316248902,0.7982991231034332,0.4246969267918106,0.0834102523388453,0.7865824060928513,0.4315263619014164,-0.0954755850072839,0.2266936589622856,-0.5050247694980364,-1.7770440490205979,0.9234884812428147
Mask_mandates_3,0.0281071823174514,0.0605925799692749,0.4638716874525549,0.6427396785787023,0.0624344648188804,0.4501869664293449,0.6525756333699919,-0.0906542744223273,0.1468686390572302,-0.13959588168694345,-0.7346833339563889,0.4695432086044822
Mask_mandates_3_No,0.0999805767755657,0.0669798255438276,1.4926968824387936,0.1355165498118447,0.0693758588297622,1.4411436263571569,0.1495441107219635,-0.0312998812903363,0.2312610348414679,-0.7695992818439961,-1.7835447142293215,0.48123461190390127
Mask_mandates_4,0.0647353232245204,0.0763321645443257,0.8480739883503363,0.3963967668314194,0.0798418742203128,0.8107941334880501,0.4174839040258107,-0.0848757192823579,0.2143463657313989,-0.32151157735243224,-1.0757475693231986,0.46094894890131816
Mask_mandates_4_No,0.057885485386099,0.0840413470630701,0.6887738881988413,0.490965570141586,0.0884098801903879,0.6547400048664747,0.5126351637756161,-0.1068355548575183,0.2226065256297165,-0.44557282443303714,-1.7526649404947987,0.9954960107041558
Number_of_infections,-0.2013467874395058,0.0216312601805576,-9.308139505458762,0.0,0.0271523809962114,-7.415437617334535,1.212363542890671e-13,-0.2437440573933989,-0.1589495174856128,1.0,0.6456065018326499,1.262326209906355
Number_of_infections_No,-0.1299125130886395,0.0240455880096686,-5.40275883610758,6.562366294815547e-08,0.0304576971437618,-4.265342598800103,1.9959568699379204e-05,-0.17704186558759,-0.082783160589689,1.0,0.2835460318856675,1.4196325818507791
SIGMA_PANEL_ASC2,0.3591536627601465,0.0280376427441696,12.809695381215027,0.0,0.0328953970097239,10.91805223247435,0.0,0.3041998829815741,0.4141074425387189,-1.7837566088212529,-2.182809715578625,-1.2152833703309969
School_closures_2,0.0368147891295428,0.0675418826346865,0.5450660789048895,0.5857080714803251,0.0697076494085507,0.5281312659644342,0.5974082314161657,-0.0955673008344428,0.1691968790935285,-0.1828426944264195,-0.8513453610431089,0.4976665924600596
