,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0299342896959786,0.0160246031462491,1.86802065691001,0.0617591916861668,0.0162269415588953,1.8447277687747088,0.0650771493037958,-0.0014739324706697,0.0613425118626269,-0.1529814012009099,-0.31226833047339925,0.02184542122434438
Business_closures_2,-0.0331778120513055,0.0583891051207225,-0.5682192248486885,0.5698861189495557,0.0634487963664474,-0.5229068784802111,0.6010390576667544,-0.1476204580879218,0.0812648339853106,0.16955766206375056,-0.43942468091237685,0.7593200515138022
Business_closures_2_No,-0.0236990631610584,0.0645811646758878,-0.3669655584565016,0.713644708830308,0.0697920835165241,-0.3395666380334873,0.734182905731726,-0.1502781459257987,0.1028800196036817,0.21694832881907447,-1.1241207850573862,1.4557626620788535
Business_closures_3,-0.0629352044164759,0.0584242107733765,-1.0772110326076505,0.2813859975632198,0.0645541168479079,-0.974921623740184,0.3295991390060679,-0.177446657532294,0.051576248699342,0.3216350163736004,-0.30008977178892376,0.9111243703136713
Business_closures_3_No,-0.1793513487554273,0.0645421046804893,-2.7788270872679486,0.0054555557156443,0.0725616477921719,-2.471709976448138,0.0134468557150613,-0.3058538739291865,-0.0528488235816681,1.6418360134957852,-0.2699098068147281,2.8171585031490496
Healthcare_restrictions_2,-0.1282427288818926,0.0666388865984258,-1.9244428505340896,0.0542990976786537,0.0656189972684937,-1.954353681406635,0.050659404425646,-0.2588549466148073,0.002369488851022,0.6553939497958398,-0.07109648088417309,1.3192210668684714
Healthcare_restrictions_2_No,-0.0172578882885787,0.0734807825485788,-0.2348626088347575,0.8143153716947285,0.0726258077069506,-0.2376274885398225,0.812170028337613,-0.1612802220837933,0.1267644455066358,0.15798388306359604,-1.329403877886961,1.5836303703819181
Healthcare_restrictions_3,-0.2967728030953999,0.0668298043103751,-4.440725304493023,8.965618124356922e-06,0.0678324619385097,-4.375085241111036,1.213850349945922e-05,-0.4277592195437353,-0.1657863866470646,1.5166793572507977,0.6827532156803116,2.209882185400337
Healthcare_restrictions_3_No,-0.0705121456028606,0.0738435791417649,-0.9548852645331758,0.3396357223186381,0.0754183455708239,-0.934946862983676,0.3498156844089615,-0.2152455607207198,0.0742212695149985,0.6454893193889725,-0.9971228312438235,2.0070663677072913
Mask_mandates_2,-0.0727538499988116,0.0738605604256768,-0.9850162194750895,0.3246161040208812,0.0769967467476999,-0.9448951166366631,0.3447124248912345,-0.2175205484331381,0.0720128484355149,0.3718139307335636,-0.41412900026984334,1.1161486363244684
Mask_mandates_2_No,0.1106620096505442,0.0814297609598986,1.358987283593298,0.1741506183162893,0.0847916752023599,1.3051046507389237,0.1918572153510902,-0.0489403218308571,0.2702643411319456,-1.0130332112408136,-2.4916056680803607,0.883809907831214
Mask_mandates_3,0.0427461886633486,0.0595548830795427,0.7177612725098615,0.4729044960645947,0.0624159419601683,0.6848601065834711,0.4934322019701422,-0.0739813821725552,0.1594737594992525,-0.21845755834306713,-0.8227188407005551,0.40511333657825344
Mask_mandates_3_No,0.0266378724660357,0.0658833072159911,0.4043189935609402,0.6859781601865029,0.0691213046815995,0.3853786121188033,0.6999569262554504,-0.1024934096773069,0.1557691546093785,-0.2438510702101522,-1.5039537323708523,1.1189870989988904
Mask_mandates_4,0.0742501426133595,0.0742793199157567,0.9996071948096686,0.3175006399110067,0.0778198231378966,0.9541289046852296,0.3400183965323384,-0.0713373244215236,0.2198376096482428,-0.37946084479449294,-1.1228226908511392,0.40147931217650323
Mask_mandates_4_No,0.0024738042637607,0.0819595939718802,0.0301832176549029,0.9759209328051994,0.0860724537001335,0.0287409520400008,0.9770711948418748,-0.1581669999211246,0.163114608448646,-0.02264594584186999,-1.6453845754342706,1.6104531100720223
Number_of_infections,-0.1956727383916821,0.0212854067132672,-9.192811818329917,0.0,0.0254568726855704,-7.686440546273149,1.5099033134902132e-14,-0.237392135549686,-0.1539533412336783,1.0,0.6402905208462023,1.265160325059114
Number_of_infections_No,-0.1092382840193362,0.0236446689102007,-4.619996348192002,3.837467982048537e-06,0.0287165000825569,-3.804024992784202,0.0001423638071835,-0.1555818350833295,-0.0628947329553428,1.0,0.07552488908214272,1.4781749284009884
