,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.059142826,0.023124658,2.557565443,0.010540772,0.023435014,2.523694908,0.011612866,0.013818496,0.104467156,-0.174560612,-0.309096587,-0.038479562
Business_closures_2_Yes,-0.014290139,0.041861002,-0.341371171,0.732824176,0.042990298,-0.332403817,0.739584356,-0.096337704,0.067757425,0.042177482,-0.202008029,0.286439569
Business_closures_2_No,-0.088515836,0.081964882,-1.079923919,0.280176061,0.084373815,-1.049091315,0.294136093,-0.249167005,0.072135332,0.26125533,-0.217875095,0.736667246
Business_closures_3_Yes,-0.189359297,0.041649179,-4.546531375,5.45E-06,0.047779247,-3.963212232,7.39E-05,-0.270991687,-0.107726907,0.558895761,0.304902297,0.800217232
Business_closures_3_No,-0.061373669,0.081035693,-0.757365882,0.448830691,0.095145605,-0.645049968,0.518894805,-0.220203628,0.097456289,0.181144967,-0.29089618,0.650685626
Healthcare_restrictions_2_Yes,-0.174598402,0.046451395,-3.758733235,0.000170776,0.047533192,-3.67318909,0.000239542,-0.265643136,-0.083553668,0.515328839,0.23622165,0.782673362
Healthcare_restrictions_2_No,0.03655336,0.09149065,0.399531098,0.689501915,0.0900555,0.40589814,0.684817445,-0.142768314,0.215875034,-0.107887588,-0.641067886,0.424349461
Healthcare_restrictions_3_Yes,-0.365151035,0.047744461,-7.648029327,2.04E-14,0.049631661,-7.357219788,1.88E-13,-0.458730178,-0.271571892,1.077746741,0.774698702,1.363501894
Healthcare_restrictions_3_No,-0.049182993,0.09193937,-0.534950296,0.592684227,0.094333128,-0.521375623,0.60210513,-0.229384159,0.131018172,0.145164071,-0.387530958,0.674988045
Mask_mandates_2_Yes,-0.004578896,0.051724548,-0.088524628,0.929459711,0.0522817,-0.087581244,0.93020951,-0.10595901,0.096801218,0.013514656,-0.2857249,0.314075068
Mask_mandates_2_No,-0.098222477,0.100789203,-0.974533721,0.329791604,0.101531901,-0.967405086,0.333341568,-0.295769315,0.099324361,0.289904573,-0.3048458,0.872801199
Mask_mandates_3_Yes,0.080471541,0.042818823,1.879349674,0.060196763,0.044416942,1.811730794,0.070027803,-0.003453352,0.164396435,-0.237512517,-0.484942737,0.01399459
Mask_mandates_3_No,-0.14460299,0.083558662,-1.730556543,0.083530888,0.092017004,-1.571481183,0.116070922,-0.308377969,0.019171988,0.426797096,-0.064930015,0.91387286
Mask_mandates_4_Yes,0.115891478,0.052571117,2.204470502,0.027491272,0.055429835,2.090777982,0.036547971,0.012852087,0.218930868,-0.342054795,-0.645439475,-0.033063839
Mask_mandates_4_No,-0.266393941,0.101438912,-2.626151385,0.00863564,0.107771696,-2.471835832,0.013442123,-0.465214209,-0.067573672,0.786264241,0.187183443,1.369837822
Number_of_infections_Yes,-0.338809686,0.015908842,-21.29694265,0,0.020613394,-16.43638543,0,-0.369991015,-0.307628356,1,0.860206017,1.122745273
Number_of_infections_No,0.101063691,0.029969981,3.372163963,0.0007458,0.03643958,2.773459264,0.005546378,0.042322527,0.159804854,-0.298290441,-0.471943523,-0.120072182
SIGMA_PANEL_ASC2,-0.37794902,0.038873056,-9.722647529,0,0.048647118,-7.769196604,7.99E-15,-0.45414021,-0.301757831,1.115520117,0.856838116,1.355001835
School_closures_2_Yes,0.08808303,0.047371802,1.859397947,0.062970753,0.049370439,1.784124932,0.074403367,-0.0047657,0.180931761,-0.2599779,-0.533644608,0.015784711
School_closures_2_No,0.114487967,0.091425474,1.252254563,0.21047712,0.097401093,1.175427949,0.239823547,-0.064705962,0.293681897,-0.337912321,-0.868764658,0.196979238
School_closures_3_Yes,-0.125172723,0.04809326,-2.602708188,0.009249064,0.050236673,-2.491660299,0.012714758,-0.219435513,-0.030909932,0.369448478,0.084034209,0.647544129
School_closures_3_No,-0.033995311,0.092569597,-0.367240562,0.713439586,0.095980649,-0.354189215,0.723197086,-0.215431721,0.147441099,0.100337482,-0.437037452,0.639356838
School_closures_4_Yes,0.061570255,0.061443704,1.002059627,0.316314795,0.062640681,0.982911661,0.325650918,-0.058859405,0.181999916,-0.181725193,-0.536391298,0.176705464
School_closures_4_No,-0.05097708,0.119088568,-0.428060231,0.668607269,0.114907824,-0.443634545,0.657306826,-0.284390674,0.182436514,0.150459335,-0.545803422,0.842434529
School_closures_5_Yes,-0.37665184,0.061294565,-6.144946778,8.00E-10,0.06366217,-5.91641532,3.29E-09,-0.496789187,-0.256514492,1.111691477,0.731018329,1.470443565
School_closures_5_No,0.191575049,0.117535133,1.629938599,0.103114475,0.119688762,1.600610163,0.10946329,-0.038793811,0.421943909,-0.565435575,-1.243174146,0.124482405
Transit_2_Yes,0.027296792,0.034017852,0.802425501,0.422306867,0.035159198,0.776376959,0.437526445,-0.039378197,0.093971781,-0.080566739,-0.278252136,0.117215417
Transit_2_No,-0.023441656,0.065481293,-0.357990122,0.720350706,0.066889459,-0.350453665,0.725998258,-0.15178499,0.104901678,0.06918827,-0.312039228,0.450306028
