,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0292924145031313,0.0159771534044707,1.833393831903421,0.0667440242299861,0.0162428406808985,1.8034046555402683,0.0713246870088837,-0.0020228061696312,0.060607635175894,-0.09987790470024199,-0.20647953531802005,0.007645648442442213
Business_closures_2,-0.0489801747354094,0.0276947674438873,-1.7685714398811505,0.0769654204165595,0.0290309236562377,-1.6871724549792348,0.0915701962496029,-0.1032619189254286,0.0053015694546097,0.16700696434230344,-0.019467781206811502,0.3521610915604272
Business_closures_2_No,-0.0215403246199893,0.0641138104732334,-0.3359701203375224,0.7368933986351671,0.0693359871888877,-0.3106658676584262,0.7560546477860031,-0.1472033931475268,0.1041227439075482,-0.440797230227319,-5.017488843095717,5.7965449053627776
Business_closures_3,-0.2402139060939805,0.0275113744302751,-8.731439670627099,0.0,0.0332339728190387,-7.22796240467432,4.902744876744691e-13,-0.2941361999773198,-0.1862916122106412,0.819053738911238,0.6221855321058923,1.0071543035927424
Business_closures_3_No,0.1773179933823774,0.0637994043792994,2.779304840029364,0.005447537641517,0.0704846758495727,2.515695663562483,0.0118797715579916,0.0522711607989506,0.3023648259658043,3.6286027128804177,-14.637739200323278,6.991492342860913
Healthcare_restrictions_2,-0.1643735335622363,0.0310010606928639,-5.302190631176472,1.1442126557348332e-07,0.0312505389844365,-5.259862354505242,1.441632755394551e-07,-0.2251356125202496,-0.103611454604223,0.5604619625540289,0.3473423186595944,0.7691567561357969
Healthcare_restrictions_2_No,0.1259965258730313,0.0731478258317467,1.722491741078486,0.0849804776168021,0.0713238930302833,1.7665402226366775,0.0773052596708709,-0.0173732127571923,0.269366264503255,2.5783696672591985,-11.187389846486823,6.786186083443144
Healthcare_restrictions_3,-0.4067409390363273,0.0315278148575024,-12.901019016848812,0.0,0.0332414435386705,-12.23595896379036,0.0,-0.468535456157032,-0.3449464219156225,1.3868584558782127,1.1463818369415337,1.612030258283813
Healthcare_restrictions_3_No,0.289504184108555,0.073002005526288,3.9657017916350887,7.31803099902617e-05,0.0733388340051996,3.947488230969548,7.897539902734785e-05,0.1464202532770305,0.4325881149400795,5.924360228807649,-22.082742102296777,10.199251984027388
Mask_mandates_2,0.031792552951179,0.0344503373828073,0.9228517154390874,0.3560844860428662,0.0355182275441832,0.895105278314645,0.370730812633163,-0.0357301083191233,0.0993152142214814,-0.10840258912408236,-0.339471950424278,0.1211637726646143
Mask_mandates_2_No,-0.066355474009084,0.0798553513394881,-0.8309458651930262,0.4060042118592819,0.0841294777720214,-0.7887303685504582,0.4302696144686977,-0.2228719626344807,0.0901610146163126,-1.3578861818304206,-6.452179384241632,8.505782318951113
Mask_mandates_3,0.0463677216120553,0.0281310394155887,1.6482761595492523,0.0992960146189709,0.0298908262389299,1.551235862181211,0.1208451708368612,-0.0087691156424986,0.1015045588666093,-0.15809932226109782,-0.34607959961799617,0.03230119837304074
Mask_mandates_3_No,0.1046744478726432,0.0660130619449717,1.585662667183951,0.1128158522142879,0.0671360557892503,1.5591390742588636,0.1189634671599568,-0.0247111535395013,0.2340600492847878,2.1420385956030183,-9.777098204004178,5.8197369675518615
Mask_mandates_4,0.0729359869706401,0.0346677151666723,2.103859069453669,0.035390742297698,0.036567804143637,1.9945410636129568,0.0460929570508594,0.0049872652439623,0.1408847086973179,-0.2486887366383869,-0.48041114553331377,-0.013790010840316003
Mask_mandates_4_No,0.038814226881523,0.0814064970706425,0.4767951979046715,0.6335079655730576,0.0876918721870937,0.4426205749001633,0.6580402001536783,-0.1207425073769362,0.1983709611399823,0.7942871801900722,-7.516973454521245,6.60241838102705
Number_of_infections,-0.2932822288477616,0.0103743632013511,-28.269901791135062,0.0,0.0133126446399474,-22.0303506012401,0.0,-0.3136159807224098,-0.2729484769731134,1.0,0.8964397402580497,1.0938972310224564
Number_of_infections_No,0.0488667422181418,0.0238683754767723,2.047342613061243,0.040624456672563,0.0286851885867059,1.7035531096626284,0.088464607950383,0.0020847262836681,0.0956487581526155,1.0,-4.193019520100396,2.288188345067014
SIGMA_PANEL_ASC2,0.3590838253253004,0.0278199289421865,12.90743143418963,0.0,0.0326260484671768,11.006047075745432,0.0,0.3045567645986148,0.413610886051986,-1.2243627127905368,-1.4243461148788616,-1.0132699125716131
School_closures_2,0.1710991135573071,0.0313755014395605,5.453271046102642,4.9451604589023646e-08,0.03354716426104,5.10025563490065,3.39195046716867e-07,0.1096031307357684,0.2325950963788456,-0.583394071401858,-0.7951338323643706,-0.36625970222064586
School_closures_2_No,-0.1717732281476942,0.0729746816491702,-2.353874306345088,0.0185788921924796,0.0743048005930595,-2.311737960087316,0.0207921281407237,-0.3148036041800679,-0.0287428521153205,-3.515135659768277,-7.469750566672648,14.082389156255527
School_closures_3,-0.1431095811141035,0.0317150304059849,-4.512358313460658,6.411076126200399e-06,0.0331476900447446,-4.317331944425869,1.5792656621993473e-05,-0.2052710407098339,-0.0809481215183731,0.48795858404495934,0.2695713104474006,0.7007798335803519
School_closures_3_No,-0.0510874360652616,0.0741729940022087,-0.6887606028649775,0.4909739319038153,0.0800597995062706,-0.6381159630715821,0.5233981960337162,-0.1964665043095908,0.0942916321790674,-1.0454438693131332,-5.974552759499314,7.503212370237072
School_closures_4,0.0691194058641729,0.0405201796618517,1.7058020581593425,0.0880449398055389,0.0411244694138628,1.680736720724064,0.0928140646811408,-0.0103001462730563,0.1485389580014023,-0.23567539750269606,-0.5041821235600884,0.03846398592303735
School_closures_4_No,-0.114262960967185,0.0941900175933299,-1.213111154310652,0.2250873259493535,0.0975665918687978,-1.171127931995817,0.2415473579291216,-0.2988753954501117,0.0703494735157415,-2.3382561591094735,-7.909110570207702,11.70327437058327
School_closures_5,-0.3043846524578643,0.0404184156650467,-7.530840767741712,5.0404125317982113e-14,0.0423014390669873,-7.195609869816704,6.217248937900878e-13,-0.3836047471613559,-0.2251645577543726,1.0378557666235746,0.7539628733028347,1.3142757218829502
School_closures_5_No,0.0547823313286154,0.0944803771960413,0.5798276102872157,0.5620308763159143,0.096058451943087,0.570302042355138,0.5684728559170182,-0.1303992079756256,0.2399638706328565,1.1210555245133047,-8.938328125700714,7.565843858168333
Transit_2,0.0299048266562037,0.022557745739112,1.3257010253623371,0.1849387476616875,0.0236418255636183,1.2649119068970425,0.2059029085671291,-0.0143083549924558,0.0741180083048633,-0.10196603719800168,-0.2525232908904155,0.04891050521896459
