,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0574506362788219,0.0231227722562982,2.484591191835715,0.0129700284060148,0.0232817543788232,2.4676248767179825,0.0136012770819839,0.0121300026564773,0.1027712699011666,-0.19056681120579094,-0.3416866726040266,-0.031309034600604274
Business_closures_2,-0.0664234828308904,0.0617788609192825,-1.075181410639416,0.2822935164274374,0.0626275703380101,-1.0606108854677454,0.2888667735206329,-0.1875100502326842,0.0546630845709032,0.2203302196834252,-0.18754431885973621,0.6228043203507246
Business_closures_2_No,0.048729238377207,0.0757368071476044,0.6434023325308394,0.5199630703095144,0.0772896422528045,0.6304756621569023,0.5283834213131888,-0.0997149036320976,0.1971733803865117,-4.604661397252672,-46.381341020422695,28.19874404457432
Business_closures_3,-0.2619324561641329,0.0614878102088391,-4.2599086757927696,2.045104465109304e-05,0.0691530909881473,-3.7877187038396816,0.0001520368389915,-0.3824485641734576,-0.1414163481548083,0.8688438658929158,0.4239032560871468,1.273259044703007
Business_closures_3_No,0.0803992578419073,0.0752348037122771,1.0686444820057055,0.2852298968018505,0.0859973658457236,0.9349037270064872,0.3498379162019329,-0.0670609574341558,0.2278594731179706,-7.5973146981414805,-63.38032228127928,33.93948522562803
Healthcare_restrictions_2,-0.2502325500803655,0.0683597486441235,-3.660524724616239,0.0002516992634435,0.0687436409706989,-3.640082872349224,0.0002725503064482,-0.3842176574228476,-0.1162474427378834,0.8300346561398693,0.3434747708709765,1.2759218698929518
Healthcare_restrictions_2_No,0.1428191198817257,0.0841793454246994,1.6966052558519953,0.0897713154876873,0.0838791179340031,1.7026778940867882,0.0886283639855889,-0.0221723971506852,0.3078106369141367,-13.495669335488538,-103.84575315251139,52.0312861377631
Healthcare_restrictions_3,-0.4952289867266232,0.0698419704879634,-7.090707539701661,1.3342660309945133e-12,0.0743644748192177,-6.659483415038423,2.747913008249725e-11,-0.6321192488830316,-0.3583387245702149,1.64270084597752,1.080791465393859,2.1339434392543293
Healthcare_restrictions_3_No,0.1716905334515003,0.0860069257836573,1.9962407897635177,0.0459077195184867,0.0903312505581598,1.9006770346986084,0.057344328393285,0.0031169589155319,0.3402641079874687,-16.22386883082565,-120.62340330698552,59.22910337943317
Mask_mandates_2,0.0109217071133663,0.0748323552887438,0.1459489958751736,0.8839616525524112,0.0769175080498084,0.1419924720688296,0.8870859518571763,-0.1357497092525714,0.1575931234793042,-0.036227882445316925,-0.5280326184223925,0.45675146225233204
Mask_mandates_2_No,-0.0210642123810238,0.0927796650497815,-0.2270347965766167,0.820396684804455,0.0944066435001105,-0.2231221405620582,0.8234404469990855,-0.2029123558785956,0.1607839311165481,1.990459298042315,-35.385415394184754,43.66445582122725
Mask_mandates_3,0.066727662531615,0.0626889066912486,1.0644253673183013,0.2871360471676754,0.0650600530650119,1.0256318491615233,0.3050651490768086,-0.0561425945832323,0.1895979196464624,-0.22133919990288337,-0.6315632464056273,0.1963467930653986
Mask_mandates_3_No,-0.0049857266246734,0.0771320009024399,-0.0646388861476525,0.9484615227657044,0.0811509984770734,-0.0614376497916042,0.9510106687804298,-0.1561644483934556,0.1461929951441087,0.4711254205981357,-31.126756239190307,33.335241944577696
Mask_mandates_4,0.0751810231355792,0.0769127459105094,0.9774845800337808,0.3283293080567673,0.0828385988552332,0.907560294047993,0.364110580392722,-0.0755679588490193,0.2259300051201778,-0.24937944590558875,-0.752506794640994,0.25936079179757215
Mask_mandates_4_No,-0.037088052668776,0.0947124963560907,-0.3915856312068472,0.6953644063723265,0.1011808057538958,-0.3665522565513663,0.7139530265855891,-0.2227245455267138,0.1485484401891618,3.5046294608837516,-37.644402657881955,49.321755307241624
Number_of_infections,-0.3014724123015398,0.0229435444976137,-13.139748844512434,0.0,0.0289638694112151,-10.408568275922644,0.0,-0.3464417595168627,-0.2565030650862169,1.0,0.7635607975282,1.1921002376034895
Number_of_infections_No,-0.0105825888536084,0.0281878478639775,-0.3754308915201854,0.7073400341402283,0.035595397658019,-0.2973021668497745,0.7662358274892136,-0.0658307706670044,0.0446655929597875,1.0,-10.994436266073002,14.859353861429218
SIGMA_PANEL_ASC2,0.3792948744445113,0.0382612216533466,9.913297538719217,0.0,0.0457460559484691,8.291313132475715,2.220446049250313e-16,0.304302880003952,0.4542868688850706,-1.2581412393553664,-1.5434431678136713,-0.9158809760192904
School_closures_2,0.0748602385516564,0.0700147637630586,1.0692064720091845,0.2849766430712641,0.0754285961431058,0.992464958642858,0.3209707649007622,-0.0623686984239385,0.2120891755272513,-0.2483153864068312,-0.7045398389157922,0.22295942888633058
School_closures_2_No,0.0732387027279361,0.0858864273844419,0.8527389595576903,0.3938040806521521,0.0909558539091705,0.8052115348295565,0.4206976212597841,-0.09509869494557,0.2415761004014422,-6.920679215744409,-63.234496430421956,37.5922526762544
