,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2_class0,-0.021174455,1.7976931348623157e+308,-1.17786815985274e-310,1,1.7976931348623157e+308,-1.17786815985274e-310,1,#NAME?,inf,0.09664449,,
ACS2_class1,-0.004974012,0.025744312,-0.193208181,0.846795932,0.027217914,-0.182747717,0.854995973,-0.055432863,0.04548484,0.022083964,-0.205189485,0.248094218
ACS2_class2,0.069635526,0.019997534,3.482205626,0.000497302,0.020426985,3.408996778,0.000652022,0.030440359,0.108830693,-0.317830606,-0.635661211,-0.635661211
SIGMA_PANEL_ASC2_class0,0.305847522,1.7976931348623157e+308,0.00E+00,1,1.7976931348623157e+308,0.00E+00,1,#NAME?,inf,-1.395949867,,
SIGMA_PANEL_ASC2_class1,0.413336357,0.038637809,10.69771733,0,0.045645092,9.055439148,0,0.337606252,0.489066462,-1.83515956,-2.221152786,-1.391642234
SIGMA_PANEL_ASC2_class2,0.285511168,0.037525413,7.608474999,2.78E-14,0.043468115,6.568289599,5.09E-11,0.211961358,0.359060978,-1.30313064,-2.60626128,-2.60626128
Transit_2_class0,0.135955631,2.44E-07,557436.8531,0,5.25E-08,2587455.963,0,0.135955153,0.135956109,-0.620528963,-1.241057925,-1.241057925
Transit_2_class1,0.014600425,0.032006646,0.456168532,0.648268792,0.033728664,0.432878824,0.665102805,-0.048132601,0.07733345,-0.064823983,-0.345787198,0.217445552
Transit_2_class2,0.009409224,0.026408554,0.356294558,0.721619984,0.027692776,0.339771793,0.734028392,-0.042351542,0.061169991,-0.0429456,-0.085891199,-0.085891199
Business_closures_2_class0,0.008260494,3.24E-07,25503.04979,0,6.98E-08,118362.0173,0,0.008259859,0.008261128,-0.037702561,-0.075405122,-0.075405122
Business_closures_2_class1,-0.05768972,0.039109449,-1.475083954,0.140189974,0.041223874,-1.399425005,0.161685573,-0.134344239,0.018964799,0.256134839,-0.089520013,0.59686645
Business_closures_2_class2,-0.058365962,0.03241184,-1.80076053,0.071740633,0.0342741,-1.702917451,0.088583518,-0.121893169,0.005161244,0.266394042,0.532788084,0.532788084
Business_closures_3_class0,-0.084236238,1.7976931348623157e+308,-4.68579627272867e-310,1,1.7976931348623157e+308,-4.68579627272867e-310,1,#NAME?,inf,0.384471204,,
Business_closures_3_class1,-0.071221319,0.038948026,-1.82862464,0.067455859,0.044456446,-1.602047095,0.109145196,-0.14755945,0.005116811,0.316213377,-0.034218439,0.655633772
Business_closures_3_class2,-0.304535582,0.032274204,-9.435882022,0,0.039683574,-7.674096549,1.67E-14,-0.367793022,-0.241278142,1.389961907,2.779923814,2.779923814
Healthcare_restrictions_2_class0,-0.184050357,2.59E-07,-710174.6681,0,5.58E-08,-3296313.473,0,-0.184050865,-0.184049849,0.840043004,1.680086009,1.680086009
Healthcare_restrictions_2_class1,-0.161369106,0.044600253,-3.618120861,0.00029675,0.043707784,-3.691999298,0.000222498,-0.248785602,-0.07395261,0.716457802,0.302272598,1.106843035
Healthcare_restrictions_2_class2,-0.148934856,0.036296817,-4.103248371,4.07E-05,0.036761333,-4.051399773,5.09E-05,-0.220076618,-0.077793094,0.679768767,1.359537533,1.359537533
Healthcare_restrictions_3_class0,-0.318498014,1.61E-07,-1982277.287,0,3.46E-08,-9200963.771,0,-0.318498329,-0.318497699,1.453689269,2.907378538,2.907378538
Healthcare_restrictions_3_class1,-0.30345153,0.044664158,-6.794072519,1.09E-11,0.045372124,-6.688060908,2.26E-11,-0.39099328,-0.21590978,1.347285249,0.898132588,1.756290163
