,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.032770664,0.016096654,2.035868144,0.041763597,0.01619298,2.023757545,0.042995104,0.001221223,0.064320106,-0.109419344,-0.214578904,-0.002245982
Business_closures_2,-0.059008279,0.027832175,-2.120146112,0.033993725,0.029535695,-1.997863233,0.04573149,-0.113559343,-0.004457215,0.197025213,0.013195333,0.378129526
Business_closures_2_65plus,0.042499677,0.063483557,0.669459603,0.503202342,0.066273736,0.641274804,0.521344156,-0.081928095,0.16692745,0.551017155,-1.794930306,2.316581996
Business_closures_3,-0.226561521,0.027611074,-8.205458594,2.22E-16,0.033084268,-6.848013811,7.49E-12,-0.280679225,-0.172443817,0.756475753,0.564850148,0.942346007
Business_closures_3_65plus,0.097819205,0.063320223,1.544833556,0.122386528,0.072235389,1.35417289,0.175681226,-0.026288432,0.221926842,1.268246344,-1.683975045,2.895909694
Healthcare_restrictions_2,-0.159872895,0.031209112,-5.122635112,3.01E-07,0.031173942,-5.12841446,2.92E-07,-0.221042755,-0.098703035,0.533806305,0.322996879,0.739555402
Healthcare_restrictions_2_65plus,0.07152213,0.07179056,0.996260926,0.319123384,0.0727358,0.983313996,0.325452924,-0.069187368,0.212231629,0.927299296,-1.98221169,2.833803397
Healthcare_restrictions_3,-0.385386325,0.031666755,-12.17006068,0,0.032963465,-11.69131708,0,-0.447453164,-0.323319486,1.286782545,1.056675842,1.505268747
Healthcare_restrictions_3_65plus,0.154972948,0.071948293,2.153948925,0.031244178,0.07510875,2.063314174,0.039082788,0.013954294,0.295991603,2.009256513,-1.952520366,3.84080729
Mask_mandates_2,-0.008625618,0.034569325,-0.24951654,0.802961248,0.035718204,-0.241490823,0.809174728,-0.076381496,0.059130259,0.028800439,-0.199324867,0.257004587
Mask_mandates_2_65plus,0.127274131,0.079358441,1.603788194,0.108760748,0.082403586,1.544521756,0.122461985,-0.028268414,0.282816676,1.650135583,-2.138795483,3.697554701
Mask_mandates_3,0.052324763,0.028375574,1.844007171,0.065182095,0.030189665,1.733201157,0.083059921,-0.003291363,0.107940889,-0.174709342,-0.360274951,0.013104959
Mask_mandates_3_65plus,0.057560769,0.064619229,0.890768436,0.373053412,0.065853329,0.874075317,0.382077238,-0.069092919,0.184214457,0.746287346,-1.816256882,2.502122855
Mask_mandates_4,0.055153257,0.034809834,1.584415987,0.113099086,0.037101246,1.486560786,0.137130851,-0.013074017,0.123380531,-0.184153519,-0.412300184,0.046022272
Mask_mandates_4_65plus,0.122231764,0.080789533,1.512965351,0.13028846,0.084233032,1.451114383,0.146748012,-0.03611572,0.280579248,1.584760241,-2.150466379,3.670537412
Number_of_infections,-0.299496078,0.010471292,-28.60163546,0,0.013389376,-22.36818793,0,-0.32001981,-0.278972346,1,0.898138884,1.092523582
Number_of_infections_65plus,0.077129499,0.02334879,3.30336177,0.000955331,0.028553214,2.701254587,0.006907844,0.031365871,0.122893127,1,-0.72569172,1.634570411
SIGMA_PANEL_ASC2,0.371569163,0.026885402,13.82048011,0,0.031822126,11.67644052,0,0.318873775,0.42426455,-1.240647842,-1.429709236,-1.03977073
School_closures_2,0.148868754,0.031495147,4.726720345,2.28E-06,0.033522345,4.440881251,8.96E-06,0.087138265,0.210599243,-0.497064119,-0.703692174,-0.284853767
School_closures_2_65plus,-0.048393915,0.072406892,-0.668360621,0.503903425,0.075269392,-0.642942821,0.520261203,-0.190311423,0.093523593,-0.627437178,-2.636510534,2.085361967
School_closures_3,-0.170364961,0.03195515,-5.331377307,9.75E-08,0.033828309,-5.036165535,4.75E-07,-0.232997055,-0.107732868,0.568838706,0.352159336,0.77910297
School_closures_3_65plus,0.085729601,0.072700203,1.179220933,0.238310213,0.075317301,1.138245798,0.25501786,-0.056762797,0.228221998,1.111502109,-1.95285531,3.041906589
School_closures_4,0.030947104,0.040661295,0.761094911,0.44660038,0.041715393,0.741862946,0.458170378,-0.048749033,0.110643242,-0.103330583,-0.369502616,0.1654288
School_closures_4_65plus,0.064770357,0.093484216,0.692848053,0.488404912,0.09395458,0.689379453,0.49058451,-0.118458706,0.24799942,0.839761149,-2.681706254,3.465270128
School_closures_5,-0.329606888,0.040685656,-8.101304567,4.44E-16,0.042714994,-7.71642131,1.20E-14,-0.409350773,-0.249863003,1.100538244,0.818853347,1.370193843
School_closures_5_65plus,0.171097075,0.092936389,1.841012726,0.065619694,0.093638727,1.827204194,0.067669074,-0.011058248,0.353252398,2.218309168,-2.514828611,4.597994473
Transit_2,0.011758803,0.022609438,0.520083841,0.60300514,0.023718463,0.495765828,0.620059637,-0.032555695,0.056073302,-0.039261961,-0.188338464,0.110581989
Transit_2_65plus,0.031357052,0.051704102,0.606471275,0.544201852,0.055044665,0.569665608,0.568904521,-0.069982987,0.132697091,0.406550707,-1.456717597,1.864940102
