,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.029814126079769,0.0160805281965215,1.8540514164340856,0.0637318044017536,0.0162332745146361,1.8366057971167904,0.0662681109036555,-0.0017037091854132,0.0613319613449513,-0.11921044767059188,-0.24521342646244884,0.009028120965423242
Business_closures_2,-0.0047251346102707,0.0345641446273808,-0.1367062503993699,0.8912629888169992,0.0370998814470946,-0.1273625258616776,0.8986534746796551,-0.0724708580799372,0.0630205888593957,0.01889323908697116,-0.2529344333114151,0.2920055626510985
Business_closures_2_No,-0.0987510178787325,0.0500101023538664,-1.974621391093747,0.0483111296811682,0.0528345121263021,-1.8690627376792248,0.0616140864195386,-0.1967708184923108,-0.0007312172651541,1.4107427473052767,-1.0446908527026841,2.7996924997277466
Business_closures_3,-0.1534527567474761,0.0344315779399465,-4.456744823461736,8.321355655427354e-06,0.0407484137650689,-3.7658584118683303,0.0001659778363083,-0.2209386495097714,-0.0859668639851808,0.6135739742700786,0.32718429222551726,0.888726834573361
Business_closures_3_No,-0.114724625437491,0.0497084384708673,-2.307950701463449,0.021001878601105,0.0588596498674824,-1.9491217786001744,0.0512808834027287,-0.212153164840391,-0.0172960860345909,1.638939392726108,-0.9777234800355583,3.0322236413269392
Healthcare_restrictions_2,-0.1368453535733292,0.0391824669721523,-3.49251499836872,0.0004784947235554,0.0391894292997765,-3.4918945240702857,0.0004796075976716,-0.2136429888387479,-0.0600477183079105,0.5471700165709972,0.22701946582395693,0.8563270032461145
Healthcare_restrictions_2_No,-0.0181057930208817,0.0561978641407068,-0.322179379905771,0.7473168047914873,0.0562851648970679,-0.3216796655742743,0.7476953842297454,-0.1282536067366672,0.0920420206949037,0.25865673830102703,-1.684154267499158,2.0136426252526016
Healthcare_restrictions_3,-0.3332351748788218,0.0393838186610955,-8.461220526794703,0.0,0.0413805504329788,-8.052942055919228,8.881784197001252e-16,-0.410427459454569,-0.2560428903030746,1.3324259202032633,0.9805144440949851,1.659522066071138
Healthcare_restrictions_3_No,-0.047556198953141,0.0568355680324053,-0.8367330634581935,0.4027426297787158,0.0593292165758326,-0.8015645865196326,0.4228048696189992,-0.1589539122966554,0.0638415143903733,0.6793809745327111,-1.4942430247601646,2.3498583994609774
Mask_mandates_2,0.0310607480452409,0.0434200400174637,0.7153551224906334,0.4743896355130403,0.0456849089267973,0.6798907730123912,0.4965736244547256,-0.0540425303889879,0.1161640264794698,-0.12419500975979365,-0.4660397938738539,0.21659352680559896
Mask_mandates_2_No,-0.0293339174718435,0.0622388487689512,-0.471312018972903,0.637417933980889,0.064504523290358,-0.4547575266900446,0.6492836896689578,-0.151322061058988,0.0926542261153008,0.41906009894777113,-1.7820028798865917,2.3215446336690753
Mask_mandates_3,0.0612905434432969,0.0353260335173794,1.7349964697605675,0.0827414305031954,0.0363616825251071,1.6855805118747391,0.0918766254232279,-0.0079484822507669,0.1305295691373607,-0.24506749258054705,-0.5220712146713897,0.03750854221187444
Mask_mandates_3_No,0.0054275808466504,0.0509695754322101,0.1064866795657172,0.9151962234829598,0.053750492419725,0.1009773232265056,0.9195684615946234,-0.0944727870004814,0.1053279486937823,-0.07753763433839113,-1.7178626176151286,1.623801869033603
Mask_mandates_4,0.1279321730490848,0.0435094161510734,2.9403330213597596,0.003278596603446,0.0457427029511355,2.7967777327401873,0.0051615027879023,0.0426537173929809,0.2132106287051887,-0.5115310634914707,-0.8530500210179282,-0.160091627899014
Mask_mandates_4_No,-0.1000437174801599,0.0628306724216652,-1.5922751360792853,0.1113228971306878,0.0666437251390897,-1.50117235000538,0.133310989557144,-0.2231918354266237,0.0231044004663038,1.4292100666943044,-1.3574242098679272,3.1974414040378285
Number_of_infections,-0.2500965868541392,0.0129314604283218,-19.34016565572056,0.0,0.0165161268413828,-15.142568790855794,0.0,-0.27544224929365,-0.2247509244146285,1.0,0.8450819494021368,1.1334823433380172
Number_of_infections_No,-0.0699993092768765,0.0186481314916947,-3.753690245483934,0.0001742501702892,0.0235765190531133,-2.969026475841561,0.0029874485529042,-0.1065496470005983,-0.0334489715531547,1.0,-0.31739049141107123,1.5722621890241746
SIGMA_PANEL_ASC2,-0.3696150647246599,0.0270371197085378,-13.670652373815614,0.0,0.0320740298762742,-11.523811200228096,0.0,-0.4226078193533941,-0.3166223100959257,1.4778892801932797,1.1990233290990424,1.7223924914059883
School_closures_2,0.1381891937219922,0.0393656988148386,3.510396052461352,0.0004474397102944,0.0419062200591214,3.297581922851411,0.0009752122120543,0.0610324240449084,0.215345963399076,-0.5525433012110101,-0.8601679645132856,-0.23111118112768736
