,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0318666412496832,0.0160935492980556,1.980087838891654,0.0476936594114625,0.0161482072088149,1.9733857039119396,0.0484516351406729,0.0003232846254942,0.0634099978738722,-0.1046375830896823,-0.20886834219675882,0.0020735473445416402
Business_closures_2,-0.1270414242830924,0.0494952913185263,-2.566737580460309,0.010266027166254,0.0502511073733016,-2.5281318347740434,0.0114671283786917,-0.2240521952674041,-0.0300306532987808,0.41715433657087464,0.0873320606714943,0.7392142689684726
Business_closures_2_No,0.0983859725712844,0.0574687238419501,1.7119916015860108,0.0868982161864655,0.0592438801482493,1.6606942746674864,0.0967748638628145,-0.0142527261589378,0.2110246713015067,3.496503556455731,-27.62505574489428,34.68963247336988
Business_closures_2_Prefer not to answer,0.265568466520844,0.219588305099932,1.2093925785345758,0.2265120585018163,0.2089244337847923,1.2711221072131718,0.2036852116969074,-0.1648246114750228,0.6959615445167109,-17.79023289317112,-91.50036336237429,19.88275575256768
Business_closures_3,-0.1644546738575804,0.0497228212228673,-3.307428456652985,0.0009415675915684,0.0590693129234391,-2.7840966098714093,0.0053677043390982,-0.2619114034544004,-0.0669979442607604,0.5400048114713139,0.20554886560677443,0.8624704110495045
Business_closures_3_No,-0.0632130391376298,0.0575228681484004,-1.0989201542341327,0.2718028948470545,0.0683295076661767,-0.925120658653896,0.3549031482039901,-0.1759578607084947,0.0495317824332349,-2.2465053745233563,-24.088440302106935,20.258569269346648
Business_closures_3_Prefer not to answer,0.1952883413765209,0.2198562561276401,0.8882546479056933,0.3744037890528202,0.2784733998148943,0.7012818513593478,0.483127137454419,-0.2356299206336537,0.6262066033866956,-13.082219888243875,-70.44261120398961,20.694537180974777
Healthcare_restrictions_2,-0.1229233796945833,0.054952586228925,-2.2368989001263957,0.0252929484693926,0.0568334280894864,-2.162871109957253,0.0305510943628064,-0.2306304487032764,-0.0152163106858902,0.403632289191582,0.03956411643809693,0.7589511872812233
Healthcare_restrictions_2_No,-0.0339939364610779,0.0640959449770451,-0.5303601729134703,0.5958622339820279,0.0655447073660196,-0.5186373976963002,0.6040136247420196,-0.1596219886160864,0.0916341156939305,-1.2080982342068172,-19.14935433151978,16.936654388080377
Healthcare_restrictions_2_Prefer not to answer,0.1788854437186241,0.2567516284442352,0.6967256441665641,0.4859745070146983,0.2845545821535968,0.6286507227005939,0.5295777454730766,-0.324347748032077,0.6821186354693253,-11.9834020455994,-70.68644702679612,22.4877453507141
Healthcare_restrictions_3,-0.3600058140353722,0.0559430753950061,-6.435216717948057,1.2329737231198123e-10,0.0580495135932709,-6.201702507927716,5.585558682241754e-10,-0.4696542418095842,-0.2503573862611601,1.1821182528695102,0.7769006822454267,1.554504320980791
Healthcare_restrictions_3_No,-0.0077503258167405,0.0651333276207493,-0.1189917067014946,0.9052819261931236,0.0678028143516948,-0.1143068453846095,0.908994556237246,-0.1354116479534093,0.1199109963199281,-0.275436030906637,-16.390015465235503,16.347567128288173
Healthcare_restrictions_3_Prefer not to answer,0.5421435715981769,0.2391488857464916,2.2669709286158795,0.0233920016964461,0.2198158392182974,2.4663535326941486,0.0136496539143093,0.0734117555350534,1.0108753876613004,-36.31779226887298,-178.28706514569123,29.90580611725396
Mask_mandates_2,0.0862649415352377,0.0616580184681887,1.3990871532750342,0.1617868496300412,0.0641507119431205,1.3447230579720584,0.1787146855323049,-0.0345847746624122,0.2071146577328876,-0.283260319683354,-0.6801407077064671,0.12177753259483737
Mask_mandates_2_No,-0.0902920894768463,0.0716243483438734,-1.2606340101462112,0.2074407392929789,0.0744531255521467,-1.2127373942629995,0.2252302380856914,-0.2306758122308383,0.0500916332771456,-3.2088579675000997,-33.01030983494577,26.983026982237902
Mask_mandates_2_Prefer not to answer,-0.0921371775752361,0.2554641680289716,-0.3606657571044839,0.7183493259746476,0.2572441280816611,-0.3581701874492838,0.7202159562319106,-0.5928469469120204,0.4085725917615482,6.1722005954131625,-28.80913786325974,52.29159568272232
Mask_mandates_3,0.2167234816697264,0.050241182880697,4.313662004821003,1.605723756625821e-05,0.0533385653876589,4.063166680517252,4.84114342147457e-05,0.1182507632235601,0.3151962001158926,-0.7116351278761354,-1.038577943279576,-0.3624685188467088
Mask_mandates_3_No,-0.2030790922186731,0.0584660304817086,-3.473454423799255,0.0005138046177173,0.0618105477327903,-3.285508698233717,0.0010179839923634,-0.3176725119628221,-0.0884856724745241,-7.217154535621645,-69.98323073565257,55.47233112002591
Mask_mandates_3_Prefer not to answer,-0.2964579966920631,0.2153310536533625,-1.3767544980729898,0.1685881631186918,0.2486122862220634,-1.1924511101083046,0.2330844098945923,-0.7185068618526536,0.1255908684685273,19.859499410035582,-19.23425474829375,95.56832715368955
Mask_mandates_4,0.1411462201369457,0.0629803370073,2.241115669491981,0.0250185834600984,0.0673722396255885,2.095020455329159,0.0361691741509433,0.0177047596026377,0.2645876806712537,-0.4634689681179083,-0.8701702307953899,-0.044474008350472494
Mask_mandates_4_No,-0.0849192028228484,0.07284319469537,-1.165780869139254,0.2437030539496951,0.0776688849288024,-1.0933490663692704,0.2742405673912409,-0.2276918644257737,0.0578534587800769,-3.017912888611686,-30.4043037388422,27.264680104159233
Mask_mandates_4_Prefer not to answer,0.19983215957659,0.2680714528774618,0.7454436398639406,0.4560035705667216,0.2272547232559314,0.8793311607061366,0.3792217451121069,-0.3255878880632353,0.7252522072164154,-13.386606870111372,-77.54596457370758,23.54680162194733
Number_of_infections,-0.3045429788106926,0.0182617721645028,-16.676529313111324,0.0,0.0241824584588021,-12.593549135193149,0.0,-0.3403360522531182,-0.268749905368267,1.0,0.8165428690779605,1.1543829232385574
Number_of_infections_No,0.028138387672917,0.0212490666368203,1.3242175834753565,0.1854307927737615,0.0277230398367869,1.0149820452077198,0.3101143863247957,-0.0135097829352508,0.0697865582810849,1.0,-8.301921298082794,9.546106598989182
Number_of_infections_Prefer not to answer,-0.0149277678440502,0.0825230051156532,-0.1808921987648114,0.8564521923225512,0.0962841414007793,-0.1550386972026263,0.8767908101744339,-0.1766728578707305,0.14681732218263,1.0,-11.221281967244277,14.658416599057643
SIGMA_PANEL_ASC2,0.3714269427536854,0.0269318282312922,13.791375006696414,0.0,0.0313974967649174,11.829826611168128,0.0,0.3186405594203525,0.4242133260870183,-1.2196207714398453,-1.4303132649807113,-0.9754133889991208
School_closures_2,0.1318353716953861,0.0560031007885227,2.354072718102147,0.0185689780977056,0.0607038665790889,2.171778819453328,0.0298723500203366,0.0220692941498816,0.2416014492408906,-0.4328957843987481,-0.7918353822193737,-0.06079995199729854
School_closures_2_No,0.0107542522170319,0.065098426338131,0.1651998799659575,0.8687866597404814,0.0700227926161385,0.1535821668236835,0.8779391989107315,-0.1168386634057049,0.1383471678397688,0.3821914866637079,-16.45253121941689,16.549135090366754
School_closures_2_Prefer not to answer,0.0497158319826907,0.2494777073923696,0.1992796570977762,0.842043991315093,0.255293710638295,0.1947397445020849,0.845596695908136,-0.4392604745063537,0.5386921384717352,-3.3304263907417395,-45.91697438682229,32.791424319453604
School_closures_3,-0.1855460280425359,0.057145827908484,-3.246886690305333,0.0011667483078989,0.0595283530214944,-3.116935353066786,0.0018274164006573,-0.2975518507431647,-0.0735402053419072,0.6092605673167512,0.22227188615944327,0.9738604734913836
School_closures_3_No,0.0434437311324843,0.0662382870664804,0.6558703894151402,0.5119075216594526,0.0692967205501844,0.6269233347200402,0.5307094905134311,-0.0863833115178172,0.1732707737827859,1.5439310751375632,-18.96288550778703,20.671347548554657
School_closures_3_Prefer not to answer,0.0589419684020757,0.2606039890263716,0.226174467329858,0.8210657282168776,0.280218415505449,0.2103429508576662,0.8334000151055774,-0.4518418500896125,0.5697257868937641,-3.9484783671504085,-48.35704710391112,32.296444053706125
School_closures_4,0.0442191884887942,0.0716274813659792,0.6173494815887386,0.5370042357867353,0.0749357268199597,0.5900948768407239,0.5551270433486208,-0.0961706749885249,0.1846090519661135,-0.1451985156954853,-0.6054940872566249,0.3174667648190868
School_closures_4_No,-0.0058454529213335,0.0835771763360714,-0.0699407802176566,0.9442407946645,0.0867600749760241,-0.0673749178173125,0.9462832364888694,-0.1696567185400335,0.1579658126973665,-0.20773944084080223,-20.68847578446853,20.670733798319116
School_closures_4_Prefer not to answer,0.6470597263701582,0.3219955037811243,2.0095303157089908,0.0444809229893816,0.2853423810743467,2.267660779775876,0.0233498900642259,0.0159485389591546,1.2781709137811617,-43.346046986392444,-210.27367309743198,37.89871409758744
School_closures_5,-0.3365517768494969,0.0722211537227502,-4.660016622574117,3.1618384861431537e-06,0.0789841870883609,-4.261001970850075,2.035124383059639e-05,-0.4781052381460875,-0.1949983155529064,1.1051043703709924,0.6028973343325548,1.5790071351809631
School_closures_5_No,0.0458385376583831,0.0839620090244853,0.5459437928053326,0.5851045742240877,0.0903059296485774,0.5075916701900116,0.611739733506443,-0.1187270000296082,0.2104040753463744,1.62903923960442,-22.619964330255172,24.935371143384188
School_closures_5_Prefer not to answer,0.5859817597739353,0.3141007967085607,1.8655850794216229,0.0620994387310003,0.2908868888974605,2.014466042092731,0.0439606266479124,-0.0296558017748437,1.2016193213227142,-39.254479698215,-189.97453635094033,35.564430853605565
Transit_2,-0.060397663213981,0.0401645133969321,-1.503756876551488,0.1326439784780588,0.0415060708766069,-1.4551525099433442,0.1456270448358028,-0.1391201094719679,0.0183247830440059,0.19832229739738927,-0.06791781841335387,0.4571661024093367
Transit_2_No,0.1000103696033177,0.0466691640018087,2.142964669335875,0.0321159354434876,0.0484319318438501,2.0649675905095446,0.0389260669294264,0.0085388081597726,0.1914819310468628,3.5542324160803633,-28.396020685885762,34.152788150780864
