,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0152941874311233,0.0160072083046717,0.9554562632048516,0.3393470131237541,0.0161941004774336,0.9444295749822996,0.3449501741891443,-0.0160799408460332,0.0466683157082799,-0.049927642779516335,-0.15169796066514127,0.05321586061316058
Business_closures_2,-0.0174128283924947,0.0255034851431336,-0.6827627006571226,0.4947568023845061,0.0267006907275862,-0.6521489863370591,0.5143050653474368,-0.0673996592730365,0.0325740024880471,0.05684391404752403,-0.10619148637616571,0.21989866182887768
Business_closures_3,-0.2178648337642766,0.0250587871514517,-8.694149179987553,0.0,0.0303870422205247,-7.169662390409325,7.51843032276156e-13,-0.266980056581122,-0.1687496109474312,0.7112164437233265,0.5407197668215252,0.8753474500869054
Healthcare_restrictions_2,-0.2085873039454111,0.0281279714395419,-7.4156540009914,1.2101430968414206e-13,0.0287914675190832,-7.244761101779798,4.3320902420873613e-13,-0.2637181279669133,-0.1534564799239089,0.6809300884162106,0.49304165936640526,0.8634398066316276
Healthcare_restrictions_3,-0.4086332037831087,0.0287842928544873,-14.196395438611724,0.0,0.0302543423070511,-13.50659682619746,0.0,-0.4650504177779039,-0.3522159897883134,1.3339768927386486,1.128729392842643,1.5293956040721686
Mask_mandates_2,0.0830170734727146,0.0313930802459211,2.644438609476715,0.0081826548380166,0.0322124004596017,2.5771774933950664,0.0099610786746395,0.0214866361907091,0.14454751075472,-0.2710079765670907,-0.4718908095503115,-0.06869844382146048
Mask_mandates_3,0.1084660112991458,0.0257198677743544,4.217207189816835,2.4734669055170855e-05,0.0271200333684303,3.999479271489695,6.348200734551668e-05,0.0580550704614111,0.1588769521368805,-0.3540856479136918,-0.5186843845823811,-0.18617490183488072
Mask_mandates_4,0.1148725098091485,0.031810383077416,3.611163987858512,0.0003048258338218,0.0341717975904535,3.361617412870312,0.0007748740511954,0.0525241589774131,0.1772208606408838,-0.3749995650809424,-0.5786257878856104,-0.1683624242232505
Number_of_infections,-0.3063270480976522,0.0094826574172945,-32.303924376617196,0.0,0.0123156224991373,-24.87304625642008,0.0,-0.3249130566355496,-0.2877410395597549,1.0,0.9102507158797196,1.0821931956338584
SIGMA_PANEL_ASC2,-0.3446360190194508,0.0287332084104216,-11.994345152713615,0.0,0.0331419035354864,-10.39879977474541,0.0,-0.4009531075038772,-0.2883189305350244,1.1250590542353487,0.9257832163993918,1.3173658444788507
School_closures_2,0.1249879504257695,0.0284195614681704,4.39795492853592,1.0927566392426868e-05,0.0303452581818038,4.118862646577079,3.807470015759762e-05,0.0692856099481555,0.1806902909033835,-0.4080212674720298,-0.5904604665277126,-0.22260603118868236
School_closures_3,-0.2208518275582038,0.0288270190717047,-7.661278712476438,1.8429702208777602e-14,0.0299542587248497,-7.372969219064244,1.6697754290362354e-13,-0.2773527849387451,-0.1643508701776625,0.7209674396359531,0.5287781798697391,0.9085385954510845
School_closures_4,0.072847702796738,0.0367020847038215,1.9848382832911085,0.047162466656718,0.0381136210364515,1.9113298819618063,0.0559622012645451,0.0009116167772477,0.1447837888162282,-0.23781022031562588,-0.4717613405215333,0.0002954312956897076
School_closures_5,-0.3050860494147179,0.036761469314827,-8.29907114979398,0.0,0.037961986287442,-8.036619767592134,8.881784197001252e-16,-0.377138529271779,-0.2330335695576569,0.9959487786317234,0.7481886867858045,1.2328860566357704
Transit_2,0.0554317681329409,0.0203959551347916,2.7177824115912506,0.0065721042120177,0.0208188158209522,2.6625802643949625,0.0077544073497437,0.0154556960687493,0.0954078401971325,-0.18095616589257288,-0.31133034495096934,-0.04910385471848705
