,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0153262361679361,0.016032195903919,0.9559661234048268,0.3390893499318435,0.0161991954565797,0.9461109478564252,0.344092000403015,-0.016096867803745,0.0467493401396174,-0.04728422831691907,-0.14431029197718293,0.05038860039536572
Business_closures_2,0.0921091682896501,0.0359129997893761,2.564786256504755,0.0103239380762281,0.0377763418962027,2.4382765420414843,0.01475747954637,0.0217196887024728,0.1624986478768273,-0.28417355022892377,-0.5020642078923294,-0.06245167780461608
Business_closures_2_Male,-0.2270463123191562,0.0512170233424891,-4.433024363811489,9.29203610811058e-06,0.0535098028214083,-4.243078844392955,2.204739314159987e-05,-0.3274316780704349,-0.1266609465678774,-6.271553877318781,-26.520040916833818,29.00611666481796
Business_closures_2_Non-binary or Self-define or Prefer not to answer,0.4748829199368648,0.350467868520514,1.3549970270928515,0.1754185042133325,0.2820186246761497,1.6838707744291244,0.0922066455761463,-0.2120341023633425,1.1617999422370722,-4.981792627233751,-55.11639125735992,39.343632203060395
Business_closures_3,-0.1306786575778146,0.0350231628304706,-3.731206636315624,0.0001905648328024,0.0431491223643179,-3.0285357017105623,0.0024574203888221,-0.199324056725537,-0.0620332584300922,0.40316744524562353,0.18583788357459866,0.6152832284486566
Business_closures_3_Male,-0.1803671543279926,0.0503511157748523,-3.5821878334238684,0.0003407286548824,0.0609583380529362,-2.958859445468504,0.0030877990157556,-0.2790553412467032,-0.081678967409282,-4.982165596579203,-20.18699309941276,22.776421024836154
Business_closures_3_Non-binary or Self-define or Prefer not to answer,-0.0265982345134638,0.3347962048800295,-0.079446045462179,0.9366778453721056,0.2516553040931211,-0.1056931210304296,0.9158258384024908,-0.6827987960783216,0.6296023270513939,0.27903064741563016,-25.33749693310614,25.111436221885413
Healthcare_restrictions_2,-0.2340677156856663,0.0395748591874328,-5.91455586934837,3.327722764012719e-09,0.0411786514181252,-5.684200614268755,1.3142593235926371e-08,-0.3116344396930348,-0.1565009916782979,0.7221415087714372,0.47009805949163147,0.9659258103142982
Healthcare_restrictions_2_Male,0.053980881554092,0.0564809260342926,0.9557364821057872,0.3392053860275759,0.0576703034064858,0.9360256209094452,0.3492599964141032,-0.0567217334731215,0.1646834965813056,1.4910790822964983,-9.604755657336355,7.533254111834226
Healthcare_restrictions_2_Non-binary or Self-define or Prefer not to answer,-0.0768369720085065,0.3684309889034665,-0.2085518708325559,0.8347980858051631,0.3498478006496502,-0.2196297128803556,0.8261595488360451,-0.7989617102593009,0.6452877662422877,0.8060636518614626,-26.594018224690984,29.39583734791772
Healthcare_restrictions_3,-0.4371848500834583,0.0403122980221494,-10.84494984243392,0.0,0.0427758446711291,-10.220367439723024,0.0,-0.5161969542068712,-0.3581727459600455,1.3487948405292032,1.070980288043032,1.6081903869843732
Healthcare_restrictions_3_Male,0.0595602760236039,0.0577470332675501,1.0313997560299375,0.3023533952258357,0.0605431981773031,0.9837649449766314,0.3252310990258507,-0.0536239091807944,0.1727444612280023,1.645195097927579,-9.72557497080391,7.929564359769025
Healthcare_restrictions_3_Non-binary or Self-define or Prefer not to answer,-0.3380563342141926,0.4187386008340963,-0.8073206853650687,0.4194817494736267,0.4544487788832783,-0.7438821489297472,0.4569477758086644,-1.1587839918490217,0.4826713234206363,3.5464037190510798,-33.92705932873584,46.652655330135936
Mask_mandates_2,0.104026308670849,0.0440950020697978,2.3591405780225663,0.0183173153283393,0.0446849643512355,2.327993547296467,0.0199124463068864,0.0176001046140453,0.1904525127276528,-0.3209400975073915,-0.5889294078997251,-0.050816814921826214
Mask_mandates_2_Male,-0.0459872802536149,0.0630568804233158,-0.729298372277402,0.4658191677446104,0.0648484482231963,-0.7091500492862269,0.4782313671040232,-0.1695787658833139,0.0776042053760839,-1.2702769881436662,-7.793558497993836,9.413055730641336
Mask_mandates_2_Non-binary or Self-define or Prefer not to answer,-0.049120287623109,0.4460738372746328,-0.1101169436952819,0.9123166307497376,0.4281606175660167,-0.1147239741533103,0.9086639107643042,-0.9234250086813894,0.8251844334351713,0.5152998275047231,-33.19177793533535,34.03584618353564
Mask_mandates_3,0.1155979606820137,0.0360583441817865,3.2058588186754164,0.0013466003975657,0.0386413538354354,2.9915608333579304,0.002775552317338,0.0449236060857121,0.1862723152783154,-0.35664075027721825,-0.5748335205445685,-0.13334877748449228
Mask_mandates_3_Male,-0.0147666347235592,0.0516638961667544,-0.2858211598269185,0.7750151007057478,0.0545023174031544,-0.2709359056116865,0.7864403287867525,-0.1160278712103979,0.0864946017632794,-0.40788922889576584,-6.200885318435207,6.737771228799389
Mask_mandates_3_Non-binary or Self-define or Prefer not to answer,-0.1965329325545231,0.3702837820039341,-0.5307630042312658,0.5955830199155681,0.2617448074607812,-0.7508570445431694,0.4527386942902209,-0.922289145282234,0.5292232801731875,2.0617425333783737,-28.129253346161214,34.957648406596476
Mask_mandates_4,0.1585370268299782,0.0446546488740995,3.5502916454894016,0.0003848045988483,0.0474188688698674,3.3433321082595726,0.0008277876707623,0.0710139150367431,0.2460601386232133,-0.48911558527312576,-0.7597476001769983,-0.21259740161635776
Mask_mandates_4_Male,-0.0941149884901692,0.0639440454343339,-1.4718335046039404,0.1410658435846026,0.0687916547893048,-1.3681163620561942,0.1712756559078119,-0.2194453175414638,0.0312153405611251,-2.5996776382328104,-10.0723211175399,13.436625491109423
Mask_mandates_4_Non-binary or Self-define or Prefer not to answer,0.1358325898491224,0.4307335660504702,0.3153517639561123,0.752494586455789,0.3398465432239727,0.3996880137739203,0.6893863215370115,-0.7084051996097992,0.980070379308044,-1.42496132465322,-35.81626760802382,31.744728590362765
Number_of_infections,-0.3241299840025542,0.013292830863296,-24.38381916808531,0.0,0.0169691570603133,-19.101124637511557,0.0,-0.3501839324946145,-0.298076035510494,1.0,0.8791620707827547,1.1074099650476943
Number_of_infections_Male,0.036202561081437,0.0188871260686873,1.916785060351597,0.0552652436842682,0.0246555942577748,1.4683305015055987,0.1420144695646661,-0.0008162060131901,0.0732213281760641,1.0,-5.0277811420314,3.430427498944531
Number_of_infections_Non-binary or Self-define or Prefer not to answer,-0.0953237028255337,0.1299403578690909,-0.7335958157169928,0.4631951118796822,0.1838262249978912,-0.5185533393106847,0.604072254928598,-0.3500068042489521,0.1593593985978845,1.0,-11.0809581851933,13.735104571040885
SIGMA_PANEL_ASC2,-0.3453257409238904,0.0289561242701898,-11.925827424335283,0.0,0.034199736375735,-10.097321719968026,0.0,-0.4020797444934624,-0.2885717373543183,1.0653927682332813,0.8633184463351762,1.254055264455548
