,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0322025860998465,0.0160310100579731,2.008768379745998,0.0445617030922975,0.0161857700800658,1.9895615680039096,0.0466392532801702,0.0007818063862191,0.0636233658134738,-0.11071807121439083,-0.21901475246912078,0.0003252288282837579
Business_closures_2,-0.0582829493134566,0.0432848665212641,-1.3464971477923948,0.1781422396098935,0.0445561737113815,-1.3080779712143185,0.1908468643317369,-0.1431212876951343,0.026555389068221,0.20038687926069326,-0.09472718783961531,0.490856703175079
Business_closures_2_No,0.0090706926047881,0.0529570615053173,0.1712839109072797,0.864000530748398,0.0552505501431881,0.1641737970260996,0.869594328148215,-0.0947251479456339,0.1128665331552101,0.8498397056660627,-28.353966655150593,30.944311454552622
Business_closures_3,-0.237296014748312,0.0428150552037545,-5.542349849113425,2.984392843963235e-08,0.0488393078063053,-4.858709621549476,1.18153270878274e-06,-0.321213522947671,-0.1533785065489531,0.8158648183823963,0.500037181692065,1.110046426638713
Business_closures_3_No,0.0429378408033428,0.0525137021072048,0.8176502337558831,0.4135569349095851,0.0611092102793782,0.702641068458261,0.4822794620259154,-0.0599890153267786,0.1458646969334643,4.0228771473290985,-31.100365554549484,45.47063803056389
Healthcare_restrictions_2,-0.1811362106530426,0.0481141928324601,-3.764714733629272,0.0001667393270619,0.0483222345421613,-3.7485065078064768,0.0001778907225877,-0.2754400286046645,-0.0868323927014207,0.6227776802895985,0.28204742930863297,0.9489193613854113
Healthcare_restrictions_2_No,0.0554905846111984,0.0592132385364471,0.937131391268907,0.3486909758803027,0.0594280208078893,0.9337444501236316,0.3504357301619374,-0.060567362920238,0.1715485321426348,5.198952731385196,-37.810494945238254,56.7312380381691
Healthcare_restrictions_3,-0.3934264273248504,0.0482352103172881,-8.156415712441527,4.440892098500626e-16,0.0522081896675934,-7.535722457142722,4.8627768478581856e-14,-0.4879674395467351,-0.2988854151029657,1.3526682317723475,0.9774221935926226,1.6985652857567546
Healthcare_restrictions_3_No,0.0591244524229349,0.0596245606249874,0.9916123792475724,0.321386648172314,0.0632771216218225,0.9343732917608654,0.350111369803882,-0.0577396864020404,0.1759885912479103,5.539412416892054,-39.01370235290075,59.00586360440286
Mask_mandates_2,0.0329009715765027,0.0529472027120209,0.6213920640047912,0.5343416923366033,0.0558564600689016,0.5890271516654975,0.5558430598271775,-0.0708755457390582,0.1366774888920637,-0.11311924150238475,-0.4703225054131036,0.2462211026989278
