,prob_0,prob_1,Class_0,Class_1,Gender,Race,Hispanic,Age,Income,Residence,Child,Assisted_Living,State,Vaccine,Chronic,Vulnerable_contact,Health_Insurance,News,Political,Self_employed,Remote,Education,Pregnant,Vehicle
1,1.0,0.0,1.0,0.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,Ohio,Yes,No,Yes,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Postgraduate degree,No,Yes
2,1.0,3.089005029960212e-27,1.0,0.0,Female,White,No,35-49,"$35,000 - 75,000",Suburban,No,No,Illinois,Yes,No,No,Yes,TV (including cable),Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
3,0.9131611437711462,0.08683885622885319,1.0,0.0,Female,White,Yes,35-49,"$75,000 - 150,000",Rural,Yes,No,South Carolina,Yes,Yes,Yes,Yes,"Print media (newspapers, journals)",Republican,No,Yes,Some college credits,No,Yes
4,5.570147879387355e-13,0.9999999999994429,0.0,1.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,South Carolina,Yes,Yes,No,Yes,News apps or websites,Democrat,No,No,High school or GED,No,Yes
5,1.305448293395572e-84,1.0,0.0,1.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,Ohio,Yes,Yes,No,Yes,Radio or podcasts,Other,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
6,1.661898393402065e-38,1.0,0.0,1.0,Male,White,No,35-49,"$75,000 - 150,000",Urban,Yes,No,Tennessee,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,Yes,Yes,Postgraduate degree,No,Yes
7,1.0,2.959627582262377e-48,1.0,0.0,Female,White,No,50-64,"< $35,000",Urban,No,No,New York,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
8,1.0,1.5320197209972213e-66,1.0,0.0,Male,White,No,≥ 65,"< $35,000",Suburban,No,No,Texas,No,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
9,0.9999870462854467,1.2953714554483242e-05,1.0,0.0,Female,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Pennsylvania,Yes,No,No,Yes,TV (including cable),Democrat,No,No,High school or GED,No,No
10,1.0,1.4249731113246513e-177,1.0,0.0,Male,White,,≥ 65,"< $35,000",Suburban,No,No,New York,Yes,Yes,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,No
11,1.0,3.7458883175353655e-95,1.0,0.0,Female,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Arizona,Yes,No,No,Yes,TV (including cable),Republican,No,Yes,"1 or more years of college credit, no degree",No,Yes
12,0.9999999999990408,9.610302821450558e-13,1.0,0.0,Female,Black or African American,No,35-49,"< $35,000",Urban,Yes,Yes,Kentucky,Yes,Yes,Yes,Yes,TV (including cable),Democrat,No,No,"1 or more years of college credit, no degree",No,Yes
13,1.0,1.6249199571570613e-113,1.0,0.0,Female,White,No,50-64,"< $35,000",Urban,No,No,Texas,Yes,No,No,No,TV (including cable),Democrat,No,Yes,Undergraduate degree,No,No
14,1.0,0.0,1.0,0.0,Female,White,No,≥ 65,"$75,000 - 150,000",Suburban,No,No,Alabama,Yes,Yes,No,Yes,TV (including cable),Republican,No,No,Associate’s degree,No,Yes
15,3.1993542866837897e-83,1.0,0.0,1.0,Female,Black or African American,No,50-64,"$35,000 - 75,000",Suburban,No,No,Georgia,No,No,No,Yes,TV (including cable),Democrat,No,No,Undergraduate degree,No,No
16,1.0,3.362839219050774e-162,1.0,0.0,Female,White,No,50-64,"< $35,000",Suburban,No,No,Michigan,Yes,Yes,No,Yes,Radio or podcasts,Democrat,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
17,6.35015889237343e-97,1.0,0.0,1.0,Female,White,No,25-34,"$35,000 - 75,000",Suburban,Yes,No,California,No,No,No,Yes,News apps or websites,Independent,No,No,"1 or more years of college credit, no degree",No,Yes
18,1.310105775029498e-128,1.0,0.0,1.0,Female,White,No,≥ 65,"$75,000 - 150,000",Suburban,No,No,Florida,Yes,No,No,Yes,News apps or websites,Independent,No,"NA (studying, retired, not in paid employment)",Undergraduate degree,No,Yes
19,2.0096248241801217e-83,1.0,0.0,1.0,Female,White,No,25-34,"< $35,000",Urban,No,No,Ohio,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,No,"1 or more years of college credit, no degree",No,No
