,prob_0,prob_1,Class_0,Class_1,Gender,Race,Hispanic,Age,Income,Residence,Child,Assisted_Living,State,Vaccine,Chronic,Vulnerable_contact,Health_Insurance,News,Political,Self_employed,Remote,Education,Pregnant,Vehicle
1,0.9999991695027719,8.304972272957283e-07,1.0,0.0,Male,White,No,≥ 65,"< $35,000",Suburban,No,No,North Caroline,Yes,Yes,No,Yes,TV (including cable),Independent,No,"NA (studying, retired, not in paid employment)",Undergraduate degree,No,Yes
2,1.0936541571071046e-20,1.0,0.0,1.0,Male,White,No,50-64,"< $35,000",Rural,Yes,No,South Carolina,No,No,No,Yes,TV (including cable),Republican,No,Yes,"1 or more years of college credit, no degree",No,Yes
3,0.02769630407048755,0.9723036959295125,0.0,1.0,Female,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,North Dakota,Yes,No,No,Yes,News apps or websites,Democrat,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
4,0.999997235412201,2.7645878006805588e-06,1.0,0.0,Female,Black or African American,No,25-34,"< $35,000",Rural,No,No,South Carolina,No,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,No,Undergraduate degree,No,No
5,1.0,2.2416363804138965e-102,1.0,0.0,Male,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Missouri,Yes,No,No,Yes,"Print media (newspapers, journals)",Republican,No,No,High school or GED,No,No
6,1.0,2.364653084391633e-117,1.0,0.0,Female,White,No,50-64,"< $35,000",Suburban,No,No,Massachusetts,Yes,No,Yes,Yes,TV (including cable),Republican,No,No,High school or GED,No,Yes
7,1.0238823168042842e-54,1.0,0.0,1.0,Male,Black or African American,No,35-49,"< $35,000",Urban,No,No,North Caroline,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,Yes,Associate’s degree,No,Yes
8,2.2450694573538226e-06,0.9999977549305427,0.0,1.0,Female,White,No,≥ 65,"$35,000 - 75,000",Suburban,No,No,Arizona,Yes,Yes,Yes,Yes,TV (including cable),Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
9,2.221612786636867e-10,0.9999999997778388,0.0,1.0,Female,Black or African American,No,35-49,"$35,000 - 75,000",Rural,Yes,No,Louisiana,Yes,No,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,High school or GED,No,No
10,1.0,1.1834493943334344e-134,1.0,0.0,Female,White,No,50-64,"$35,000 - 75,000",Rural,No,No,Ohio,No,No,Yes,Yes,News apps or websites,Republican,No,No,"1 or more years of college credit, no degree",No,Yes
11,6.872775344836304e-52,1.0,0.0,1.0,Female,White,No,50-64,"< $35,000",Urban,No,No,Oregon,Yes,Yes,Yes,Yes,"Print media (newspapers, journals)",Democrat,No,"NA (studying, retired, not in paid employment)",Associate’s degree,No,No
12,1.0,4.339181765504573e-140,1.0,0.0,Female,White,No,50-64,"$75,000 - 150,000",Suburban,No,No,Massachusetts,Yes,No,No,Yes,TV (including cable),Independent,No,Yes,Postgraduate degree,No,Yes
13,0.0011374055999198026,0.9988625944000802,0.0,1.0,Male,White,No,≥ 65,"< $35,000",Urban,No,No,Florida,Yes,Yes,No,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Republican,No,No,Undergraduate degree,No,Yes
14,1.0934747924977091e-100,1.0,0.0,1.0,Female,White,Yes,50-64,"< $35,000",Urban,No,No,Florida,No,No,No,Yes,TV (including cable),Independent,No,Yes,Associate’s degree,No,No
15,1.0,5.919547907817399e-107,1.0,0.0,Female,White,No,≥ 65,"< $35,000",Suburban,No,No,California,Yes,No,No,Yes,TV (including cable),Democrat,No,"NA (studying, retired, not in paid employment)",Associate’s degree,No,Yes
16,1.7891657761847448e-23,1.0,0.0,1.0,Female,White,No,≥ 65,"< $35,000",Rural,No,No,Connecticut,Yes,No,No,Yes,TV (including cable),Democrat,No,No,High school or GED,No,No
17,1.0,3.30770455270649e-119,1.0,0.0,Female,White,No,≥ 65,"$75,000 - 150,000",Rural,No,No,Iowa,Yes,No,No,Yes,TV (including cable),Independent,No,Yes,High school or GED,No,Yes
18,1.3792752227593314e-19,1.0,0.0,1.0,Female,Black or African American,No,18-24,"$35,000 - 75,000",Suburban,No,No,Pennsylvania,No,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,No,No,Associate’s degree,No,No
19,1.0,4.731364337662568e-112,1.0,0.0,Female,"American Indian or Native American or Alaskan Native,Asian/Asian American",Yes,35-49,"$75,000 - 150,000",Urban,Yes,Yes,North Caroline,Yes,Yes,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Democrat,Yes,Yes,Associate’s degree,Yes,Yes
20,1.0,1.109510126093732e-62,1.0,0.0,Male,White,No,35-49,"< $35,000",Urban,No,No,Texas,Yes,No,No,No,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Other,Yes,Yes,Postgraduate degree,No,No
21,1.0,1.161273619525319e-49,1.0,0.0,Male,White,No,≥ 65,"$35,000 - 75,000",Rural,No,No,Rhode Island,Yes,No,No,Yes,Radio or podcasts,Independent,No,"NA (studying, retired, not in paid employment)","1 or more years of college credit, no degree",No,Yes
22,6.91006864084527e-60,1.0,0.0,1.0,Male,Black or African American,No,≥ 65,"$75,000 - 150,000",Suburban,Yes,No,Illinois,Yes,No,Yes,Yes,TV (including cable),Democrat,No,No,High school or GED,No,Yes
23,3.791088045372317e-71,1.0,0.0,1.0,Female,White,No,25-34,"$75,000 - 150,000",Suburban,Yes,No,Kentucky,No,No,No,Yes,TV (including cable),Democrat,No,No,Associate’s degree,No,No
24,1.0,4.993199401259091e-83,1.0,0.0,Female,White,Yes,≥ 65,"$35,000 - 75,000",Urban,No,No,California,Yes,Yes,Yes,Yes,News apps or websites,Democrat,Yes,Yes,Postgraduate degree,No,Yes
25,1.798769850333088e-109,1.0,0.0,1.0,Male,White,No,35-49,"$75,000 - 150,000",Suburban,No,No,Illinois,Yes,No,No,No,News apps or websites,Republican,Yes,Yes,Undergraduate degree,No,No
26,1.0,8.089562172762184e-55,1.0,0.0,Male,White,No,50-64,"$35,000 - 75,000",Suburban,No,No,Massachusetts,No,No,Yes,Yes,"Social media (Instagram, Facebook, X (Twitter), TikTok)",Independent,No,Yes,High school or GED,No,Yes
27,0.9967343834319834,0.003265616568017536,1.0,0.0,Female,White,No,50-64,"$35,000 - 75,000",Rural,No,No,Missouri,Yes,Yes,No,No,TV (including cable),Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
28,6.3303004012159056e-24,1.0,0.0,1.0,Male,White,Yes,50-64,"$75,000 - 150,000",Suburban,Yes,No,Florida,Yes,Yes,Yes,Yes,TV (including cable),Democrat,No,Yes,Associate’s degree,No,Yes
29,1.6507614290266018e-50,1.0,0.0,1.0,Male,White,No,50-64,"$35,000 - 75,000",Suburban,No,No,Florida,Yes,No,No,Yes,TV (including cable),Democrat,No,Yes,Undergraduate degree,No,Yes
30,1.0,5.692334901140758e-18,1.0,0.0,Female,White,No,35-49,"$75,000 - 150,000",Urban,No,No,Pennsylvania,Yes,No,No,Yes,TV (including cable),Democrat,No,Yes,Associate’s degree,No,No
31,1.0,7.598724580854034e-150,1.0,0.0,Female,White,No,50-64,"$75,000 - 150,000",Urban,No,No,New York,Yes,Yes,Yes,Yes,News apps or websites,Republican,No,"NA (studying, retired, not in paid employment)",High school or GED,No,Yes
