,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.029398982659192,0.0219818669426723,1.3374197349052868,0.1810856661585842,0.0220647882310163,1.3323936015785611,0.1827308835530277,-0.0136854765484456,0.0724834418668298,-0.12746710890601579,-0.31470121855226774,0.07040083010171214
Business_closures_2,-0.0571609052841633,0.0631220893646414,-0.9055610462124956,0.3651682346816005,0.0646468410067128,-0.8842026059436981,0.3765868518708357,-0.1808802004388607,0.0665583898705339,0.2478363086058961,-0.3116819946778119,0.7894953325295285
Business_closures_2_No,0.0347247144708517,0.0763513916502598,0.4548013300126077,0.6492521733285266,0.0783067135636756,0.4434449217769184,0.6574439495677973,-0.1149240131636576,0.1843734421053611,-0.15055823572188898,-0.8094847977787013,0.5184520673685896
Business_closures_3,-0.2111205446057403,0.0622420118048949,-3.3919299599043,0.0006940217862858,0.0683865254276011,-3.0871658310707355,0.0020207483148058,-0.3331148877433344,-0.0891262014681462,0.9153692753086878,0.30715232273545845,1.4494567137854448
Business_closures_3_No,-0.0059671918643849,0.0754783591511014,-0.0790583146149099,0.9369862398060672,0.0863881718087528,-0.0690741769324068,0.9449305757443636,-0.1539047758005438,0.1419703920717739,0.025872347491004855,-0.635106587499396,0.6744616120362684
Healthcare_restrictions_2,-0.0807639378217735,0.0713375261160959,-1.1321381917609092,0.2575763405125253,0.0700208098551784,-1.1534276451359922,0.2487348998966925,-0.2205854890093216,0.0590576133657745,0.35017353414397473,-0.28969264450186966,0.9591903090154128
Healthcare_restrictions_2_No,-0.2130553424703453,0.0857193131740051,-2.4854998783979467,0.0129369631392726,0.0852622835804304,-2.4988228501921816,0.0124606582943365,-0.3810651962913954,-0.0450454886492952,0.9237581060712252,0.12312128562660496,1.6497611115432207
Healthcare_restrictions_3,-0.2665914281510083,0.0704740245483696,-3.78283246713169,0.0001550537817112,0.0690735377562747,-3.8595305352923033,0.0001136050617296,-0.4047205162658127,-0.1284623400362039,1.1558780451509951,0.45984914203153904,1.7649517304664588
Healthcare_restrictions_3_No,-0.2183105924115854,0.0856359170368297,-2.549287728392001,0.0107943201677502,0.0860346524590148,-2.537472822541872,0.0111656037203016,-0.3861569898037716,-0.0504641950193992,0.9465436399910168,0.14932103059170954,1.6784319096403904
Mask_mandates_2,0.10591579238382,0.0785692746498622,1.348056130794454,0.1776403297586324,0.0779195549910287,1.3592966797104344,0.1740525957641567,-0.0480799859299098,0.2599115706975499,-0.45922608952708555,-1.1292376341271435,0.24330142263232024
Mask_mandates_2_No,-0.0748489956830162,0.0948089869381032,-0.7894715269121266,0.4298364650259694,0.0950967751060506,-0.7870823758171158,0.4312336456885837,-0.2606746100816987,0.1109766187156661,0.3245277292358915,-0.5040450134872525,1.1359405905342872
Mask_mandates_3,0.1437375115501738,0.0640407881341879,2.2444681856349633,0.0248022936655611,0.0680828930987045,2.1112133313986443,0.0347539794657323,0.0182175668071655,0.2692574562931822,-0.623212212852445,-1.1637863983708625,-0.02669527251807957
Mask_mandates_3_No,-0.0383441446837403,0.0772810066517234,-0.496165181394997,0.6197778745172298,0.0823408389774348,-0.4656759046898754,0.6414475020418529,-0.1898149177211182,0.1131266283536376,0.16625123811153952,-0.5128402125957681,0.8306152066311387
Mask_mandates_4,0.1575112330534089,0.080628999150693,1.9535307980076169,0.0507567315870598,0.088609673346547,1.7775850773920816,0.0754720264516657,-0.0005216052819495,0.3155440713887673,-0.6829318459855682,-1.3608282006037555,0.057310846701210894
