,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0585328279737907,0.0230462926008397,2.539793666060542,0.0110917883869532,0.0232726190655522,2.515094145997093,0.0119000601488588,0.0133620944761448,0.1037035614714366,-0.16757113821440048,-0.2979748802468828,-0.030436168345885833
Business_closures_2,-0.1282600484928877,0.0703907225992541,-1.822115809537758,0.0684374153840503,0.0690492056116292,-1.857516641310734,0.0632376858369132,-0.2662258647874259,0.0097057678016504,0.36719022568004384,-0.04242271012267035,0.7612689556735244
Business_closures_2_No,0.1255954344370873,0.0821272013588599,1.529279366141922,0.1261952025972714,0.0820327883624741,1.5310394409869992,0.1257596452221214,-0.0353738802262781,0.2865647491004527,-0.3595618156802315,-0.8216648595390109,0.11604949495712419
Business_closures_2_Prefer not to answer,0.1372889452592563,0.2680303384386562,0.5122141995529268,0.6085011063480934,0.2120438024122114,0.6474555902952908,0.5173371277026306,-0.3880505180805097,0.6626284085990225,-0.3930386693711325,-1.9015587633062756,1.1376173644947978
Business_closures_3,-0.2024514062348613,0.071140163532752,-2.8458102453145937,0.0044298583631945,0.0823825426806248,-2.4574551797910824,0.0139925269726088,-0.3418861267590554,-0.0630166857106674,0.5795895013149257,0.1560427131988425,0.9761595166860813
Business_closures_3_No,-0.0048220713453212,0.0824726630866858,-0.0584687236333433,0.9533752747846728,0.0954454741134112,-0.0505217391407322,0.959706626194386,-0.1664684909952256,0.156824348304583,0.013804902511259763,-0.4500043072778111,0.482239296391209
Business_closures_3_Prefer not to answer,0.1765726853829115,0.2837106379870081,0.6223689271425814,0.5336993075336571,0.2903363046600126,0.6081660562211822,0.5430773448766932,-0.3795001650716244,0.7326455358374475,-0.5055024144816064,-2.1072964605344144,1.1230195235136553
Healthcare_restrictions_2,-0.1562411129676256,0.0769577463274899,-2.0302194440927255,0.0423342382432276,0.0797093359597745,-1.9601356740253475,0.0499799345684435,-0.3070782957695059,-0.0054039301657453,0.4472960224575697,-0.006139309149531091,0.8791166170041123
Healthcare_restrictions_2_No,-0.026604118698859,0.0903535916178277,-0.2944445065491979,0.768418262071435,0.0927002471050786,-0.2869908067095272,0.774119359468183,-0.2036971582698014,0.1504889208720833,0.07616379740878089,-0.440936068437354,0.583065188656773
Healthcare_restrictions_2_Prefer not to answer,0.2433334789527781,0.3191902456014592,0.7623462255065406,0.4458533916651077,0.350051922539407,0.6951353878805934,0.4869704593694255,-0.3822794024260819,0.8689463603316382,-0.6966290446797658,-2.5006251112900513,1.1304114071044158
Healthcare_restrictions_3,-0.4375125109848976,0.0796781218685119,-5.490999294723571,3.9966594922447036e-08,0.0806117878650732,-5.427401160202516,5.718051276915048e-08,-0.593681629847181,-0.2813433921226143,1.2525359185038483,0.7366143802131347,1.713729166494743
Healthcare_restrictions_3_No,0.0635207229561579,0.0930632797210431,0.6825540980992829,0.4948886475447631,0.0950955892341573,0.6679670788909934,0.5041546071806802,-0.1188833052970867,0.2459247512094025,-0.18185077014784182,-0.7063297283376324,0.3482039820005173
Healthcare_restrictions_3_Prefer not to answer,0.6860860504314639,0.3115590453183096,2.202106023692916,0.0276578200888326,0.3025596506538807,2.267605904980126,0.0233532374588179,0.075430321607577,1.2967417792553508,-1.9641665090110185,-3.7065045198784956,-0.11462853468090528
Mask_mandates_2,0.0361965637958165,0.0874257932400315,0.4140261409631967,0.6788549624609277,0.089108875697885,0.4062060430269313,0.68459121426765,-0.1351579909546452,0.2075511185462783,-0.10362559959397631,-0.5975829231406615,0.39053801347715217
Mask_mandates_2_No,-0.0848956077806368,0.1018157178058408,-0.8338163263017009,0.404384493827661,0.1035852556958227,-0.8195723147117787,0.4124599616360778,-0.2844544146800849,0.1146631991188111,0.2430440167964315,-0.34156126792310315,0.8174221168505618
Mask_mandates_2_Prefer not to answer,-0.2034501233967864,0.3285789660290826,-0.6191818236435103,0.5357965845913488,0.3301009817535256,-0.6163269261304264,0.537678771120838,-0.8474648968137883,0.4405646500202155,0.5824486861069705,-1.2920983800163328,2.4390307531196678
