,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0577731483183337,0.022898583064141,2.5230010152377473,0.0116358065086428,0.0233092440414564,2.4785509223543216,0.0131917279232762,0.0128919255126173,0.1026543711240502,-0.18662123692849636,-0.3318934578600031,-0.03839111824718372
Business_closures_2,-0.0352627945591041,0.0358853777376506,-0.9826507837510292,0.3257793410997638,0.0368930712420703,-0.9558107626153086,0.3391678498338075,-0.1055981349248994,0.0350725458066911,0.11390735193995158,-0.11613890266118318,0.3414783767468626
Business_closures_3,-0.2044859391435667,0.0356181844023998,-5.74105453645159,9.40887812106439e-09,0.0410542259862119,-4.980874300546869,6.329764616896938e-07,-0.2742975805722704,-0.1346742977148631,0.6605390221627843,0.42209834756854836,0.8893651844001318
Healthcare_restrictions_2,-0.1662274742521307,0.0398800045420196,-4.1681909558707515,3.070266762739138e-05,0.0402913226574581,-4.125639549372324,3.697059228291444e-05,-0.2443922831544892,-0.0880626653497722,0.5369549307837883,0.27746430265496785,0.7911068220584916
Healthcare_restrictions_3,-0.37570372180862,0.0406823104208136,-9.235063542910412,0.0,0.0420800328052053,-8.928313424749637,0.0,-0.4554410502334147,-0.2959663933838253,1.213613855631169,0.9250399372657309,1.483038006366522
Mask_mandates_2,-0.0319851966666278,0.0442100691072736,-0.7234821684855833,0.4693837053752761,0.0446959072986964,-0.7156180196292984,0.4742272438683905,-0.1186369321168841,0.0546665387836284,0.1033199183197891,-0.17893667383332806,0.382194909681654
Mask_mandates_3,0.0411377170710457,0.0366219101535171,1.1233088852711033,0.2613063314787154,0.0389504690702718,1.0561545997514914,0.290897588848741,-0.0306412268298477,0.1129166609719393,-0.13288477203823768,-0.3664882218992747,0.10252075487034892
Mask_mandates_4,0.0425506685981861,0.0447651578736112,0.9505309624579592,0.3418425290194027,0.0474474950828344,0.8967948365640941,0.3698284037234307,-0.0451890408340918,0.1302903780304642,-0.13744894708132202,-0.4203205432061392,0.14761471898220382
Number_of_infections,-0.3095743510716811,0.0134669982249567,-22.987628415810217,0.0,0.0170432595883754,-18.164034260372905,0.0,-0.3359696675925963,-0.2831790345507659,1.0,0.8720664391990341,1.113964061102776
SIGMA_PANEL_ASC2,0.3649850998760848,0.0393963321480852,9.264443667094625,0.0,0.0477025862691895,7.651264395109409,1.9984014443252815e-14,0.2877682888658377,0.442201910886332,-1.1789901153392826,-1.4418575432143181,-0.9002109347442155
School_closures_2,0.1219501933556727,0.0403649880109668,3.02118740435498,0.0025178547108448,0.0423652084713237,2.878545810490196,0.0039951325171994,0.0428348168541777,0.2010655698571676,-0.3939286085346117,-0.6506926557488494,-0.13198237709587485
School_closures_3,-0.1305195421223337,0.0409599910286277,-3.1865129567804615,0.0014399903773394,0.042478709373449,-3.0725872807217103,0.0021221176432111,-0.2108011245384441,-0.0502379597062233,0.4216096768692321,0.15490008922462184,0.681277109808942
School_closures_4,0.0523155406285088,0.0524448227988293,0.997534891655247,0.3185049463636349,0.0522126722459784,1.0019701803816097,0.3163579951497257,-0.0504763120571966,0.1551073933142144,-0.16899184460018551,-0.49985477234381387,0.16443372874681667
School_closures_5,-0.3207360158818566,0.0520842622936439,-6.158021670223354,7.365927867652998e-10,0.0538030656259125,-5.961296296978742,2.5024473604418063e-09,-0.4228211699773987,-0.2186508617863144,1.0360548759014956,0.6883366339705387,1.371552888601696
Transit_2,0.0185341316100159,0.0289550506359889,0.6401001277124123,0.5221075059897144,0.0299185000922115,0.6194873256644562,0.5355953689086363,-0.0382177676365224,0.0752860308565542,-0.05986972611217515,-0.24405099095115576,0.12475276895936427
