,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.0562231894837834,0.0231015785440821,2.43373799658318,0.0149438076336845,0.0234252226035674,2.4001133494125786,0.0163899957259774,0.0109440955373824,0.1015022834301843,-0.178413903507098,-0.32215423031648216,-0.030620142782029014
Business_closures_2,-0.0043202695810894,0.0494760271443046,-0.0873204626654577,0.9304167892891528,0.0507921605693254,-0.085057802870834,0.9322154371134406,-0.1012932827839265,0.0926527436217477,0.01370957726237601,-0.29599422147675725,0.32345213457436806
Business_closures_2_Male,-0.0631949259714985,0.072382517918543,-0.8730689092995637,0.382625519014045,0.074717643791636,-0.8457831746906966,0.3976737132773766,-0.2050646610918429,0.0786748091488458,0.20053742108795108,-0.2555459123017522,0.6489898670362226
Business_closures_2_Non-binary or Self-define or Prefer not to answer,0.079231330432852,0.3908283112999443,0.2027266913425966,0.8393486596694202,0.3114839249300614,0.2543673175129091,0.799211797589495,-0.6867921597150388,0.8452548205807429,-0.2514259876107372,-2.686739748864607,2.186638924017755
Business_closures_3,-0.1598517774420235,0.0491911629484725,-3.249603543820815,0.0011556599789572,0.056279326661372,-2.840328534913685,0.0045067093403752,-0.2562664568210298,-0.0634370980630173,0.5072600800103189,0.18706722026360884,0.8148037371930583
Business_closures_3_Male,-0.0871692613758593,0.071874722464493,-1.2127944065303624,0.2252084344976694,0.0834182202038384,-1.0449666890860896,0.2960383653827074,-0.2280437174062657,0.053705194654547,0.2766155447723813,-0.17719090336203558,0.723525111814419
Business_closures_3_Non-binary or Self-define or Prefer not to answer,-0.0992566111159404,0.4117589864718586,-0.241055118107845,0.8095123976940282,0.3009382714899181,-0.3298238227545136,0.7415330857528386,-0.9063042246007834,0.7077910023689026,0.31497251580130875,-2.2732988704254207,2.9014801017085357
Healthcare_restrictions_2,-0.2216160686624282,0.0551903281881056,-4.015487422127524,5.9323062738592114e-05,0.0549812289839916,-4.0307587290737725,5.5597091530135145e-05,-0.3297891119111152,-0.1134430254137412,0.7032576460530635,0.3368260773803981,1.048726672445056
Healthcare_restrictions_2_Male,0.1216739286360726,0.0805710608919967,1.5101443035381303,0.1310066068469788,0.081323914048915,1.4961641979367566,0.1346108717640444,-0.0362453507122408,0.2795932079843861,-0.386109730919253,-0.8897067479136798,0.12404219363993457
Healthcare_restrictions_2_Non-binary or Self-define or Prefer not to answer,-0.0332883033579769,0.4549389147997556,-0.0731709297118031,0.9416700990900408,0.3780716913836248,-0.0880475955133061,0.929838847255311,-0.924968576365498,0.858391969649544,0.10563428004983827,-2.7497357988981506,2.939631413748646
