,Value,Std err,t-test,p-value,Rob. Std err,Rob. t-test,Rob. p-value,CI_lower,CI_upper,WTP_mean,WTP_CI_lower,WTP_CI_upper
ACS2,0.005049836094778,0.0139323321571825,0.3624544719295041,0.7170124399326201,0.017901398079236,0.2820917155423391,0.7778731854266465,-0.0222575349332997,0.0323572071228557,-0.01792105868100663,-0.11587315635158292,0.08091178826949712
Business_closures_2,-0.0224117001646078,0.0374838537652992,-0.5979027744835443,0.5499048085073805,0.0395969277429493,-0.5659959355962535,0.5713965434666051,-0.0958800535445944,0.0510566532153786,0.07953553070888714,-0.18466435102133583,0.34022227277808825
"Business_closures_2_$35,000 - 75,000",-0.0153759754015421,1.7976931348623157e+308,-8.5531702287554e-311,1.0,1.7976931348623157e+308,-8.5531702287554e-311,1.0,-inf,inf,0.054566871533454055,,
"Business_closures_2_$75,000 - $150,000",-0.0153759754015421,1.7976931348623157e+308,-8.5531702287554e-311,1.0,1.7976931348623157e+308,-8.5531702287554e-311,1.0,-inf,inf,0.054566871533454055,,
"Business_closures_2_> $150,000",-0.0153759754015421,8.601903180387645e-18,-1787508540737753.0,0.0,1.0953551055654e-17,-1403743436573054.8,0.0,-0.0153759754015421,-0.0153759754015421,0.054566871533454055,0.04737844783197485,0.06026404693339386
Business_closures_3,-0.1827852042973311,0.0368090912211049,-4.965762485125661,6.843166593384353e-07,0.0427371803638908,-4.276959844823285,1.8946296164834564e-05,-0.2549310230906968,-0.1106393855039655,0.6486753848544984,0.3718692588616894,0.9096524736634043
"Business_closures_3_$35,000 - 75,000",-0.1894575036552171,1.7976931348623157e+308,-1.05389234670314e-309,1.0,1.7976931348623157e+308,-1.05389234670314e-309,1.0,-inf,inf,0.6723543055334426,,
"Business_closures_3_$75,000 - $150,000",-0.1894575036552171,1.7976931348623157e+308,-1.05389234670314e-309,1.0,1.7976931348623157e+308,-1.05389234670314e-309,1.0,-inf,inf,0.6723543055334426,,
"Business_closures_3_> $150,000",-0.1894575036552171,1.7976931348623157e+308,-1.05389234670314e-309,1.0,1.7976931348623157e+308,-1.05389234670314e-309,1.0,-inf,inf,0.6723543055334426,,
Healthcare_restrictions_2,-0.1575176347791731,0.0410685893414087,-3.8354771202319,0.0001253207729674,0.0419997303840273,-3.750443951399217,0.000176521760177,-0.2380120698883343,-0.0770231996700118,0.5590048316795976,0.25646901515179166,0.8470456803017389
"Healthcare_restrictions_2_$35,000 - 75,000",-0.1636591276739913,1.7976931348623157e+308,-9.10384116733727e-310,1.0,1.7976931348623157e+308,-9.10384116733727e-310,1.0,-inf,inf,0.5808000053231216,,
"Healthcare_restrictions_2_$75,000 - $150,000",-0.1636591276739913,1.7976931348623157e+308,-9.10384116733727e-310,1.0,1.7976931348623157e+308,-9.10384116733727e-310,1.0,-inf,inf,0.5808000053231216,,
"Healthcare_restrictions_2_> $150,000",-0.1636591276739913,1.7976931348623157e+308,-9.10384116733727e-310,1.0,1.7976931348623157e+308,-9.10384116733727e-310,1.0,-inf,inf,0.5808000053231216,,
Healthcare_restrictions_3,-0.3419909575635263,0.0417612137430047,-8.189200622091885,2.220446049250313e-16,0.043608863846499,-7.842234981569739,4.440892098500626e-15,-0.4238429364998155,-0.2601389786272371,1.2136710783954738,0.8720904322195558,1.5207015976539924
"Healthcare_restrictions_3_$35,000 - 75,000",-0.3755673554308176,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3755673554308176,-0.3755673554308176,1.3328283312613227,1.1569351995370054,1.472587110820301
"Healthcare_restrictions_3_$75,000 - $150,000",-0.3755673554308176,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3755673554308176,-0.3755673554308176,1.3328283312613227,1.1561821755472643,1.4708780974010862
"Healthcare_restrictions_3_> $150,000",-0.3755673554308176,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3755673554308176,-0.3755673554308176,1.3328283312613227,1.1583334672005512,1.471572672067683
Mask_mandates_2,-0.0131885940673172,0.0449700286813059,-0.2932751980387265,0.7693118096879368,0.0466381249261841,-0.2827856842055999,0.77734112895949,-0.1013298502826769,0.0749526621480424,0.04680420587210326,-0.2684159014055615,0.36135313554830806
"Mask_mandates_2_$35,000 - 75,000",-0.0316214457545496,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.0316214457545496,-0.0316214457545496,0.11221944124712509,0.09741207052904723,0.12385671303942922
"Mask_mandates_2_$75,000 - $150,000",-0.0316214457545496,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.0316214457545496,-0.0316214457545496,0.11221944124712509,0.09738174435030572,0.12399668733760068
"Mask_mandates_2_> $150,000",-0.0316214457545496,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.0316214457545496,-0.0316214457545496,0.11221944124712509,0.09736112908344674,0.12395755862611403
Mask_mandates_3,0.0434189218970853,0.0376009085473707,1.1547306587654622,0.2482007404607966,0.0405872961794954,1.069766305818135,0.2847245122584865,-0.0302788588557613,0.1171167026499321,-0.15408679263636904,-0.41679885680303674,0.11194214926308949
"Mask_mandates_3_$35,000 - 75,000",0.0495730521931727,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0495730521931727,0.0495730521931727,-0.17592681439089522,-0.19437907785785052,-0.15258450706608478
"Mask_mandates_3_$75,000 - $150,000",0.0495730521931727,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0495730521931727,0.0495730521931727,-0.17592681439089522,-0.19418890405835526,-0.15291479120918242
"Mask_mandates_3_> $150,000",0.0495730521931727,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0495730521931727,0.0495730521931727,-0.17592681439089522,-0.19425898764825805,-0.15255664519078307
Mask_mandates_4,0.0491127789406393,0.0455333026946567,1.0786122691337885,0.2807606095640471,0.0494094679182631,0.9939953011007008,0.3202251550921653,-0.0401324943408878,0.1383580522221665,-0.1742933784113634,-0.49303777022303996,0.1481432355503305
"Mask_mandates_4_$35,000 - 75,000",0.0385005731948379,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0385005731948379,0.0385005731948379,-0.13663236163062303,-0.15095467120586087,-0.11868420803656571
"Mask_mandates_4_$75,000 - $150,000",0.0385005731948379,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0385005731948379,0.0385005731948379,-0.13663236163062303,-0.1508671414588839,-0.11864179987266962
"Mask_mandates_4_> $150,000",0.0385005731948379,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0385005731948379,0.0385005731948379,-0.13663236163062303,-0.15088380855308675,-0.11869585894086426
Number_of_infections,-0.2817822420351759,0.0167446172138164,-16.82822834568408,0.0,0.0214807535874015,-13.117893694401902,0.0,-0.3146016917742562,-0.2489627922960956,1.0,0.8202871340599236,1.1523784802662116
"Number_of_infections_$35,000 - 75,000",-0.3101786814750957,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3101786814750957,-0.3101786814750957,1.100774410888444,0.9560072570519283,1.2153498448200386
"Number_of_infections_$75,000 - $150,000",-0.3101786814750957,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3101786814750957,-0.3101786814750957,1.100774410888444,0.955989313836253,1.2154607563345146
"Number_of_infections_> $150,000",-0.3101786814750957,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3101786814750957,-0.3101786814750957,1.100774410888444,0.9550812018978043,1.2153141915166725
SIGMA_PANEL_ASC2,0.2422774024287717,0.0677274442738297,3.5772411764013516,0.0003472397652355,0.1208346995152683,2.0050316953712306,0.0449596587136031,0.1095316116520654,0.375023193205478,-0.8598036578846134,-1.3311642031215205,-0.3628898584749871
School_closures_2,0.097495503353307,0.041304400769845,2.3604144240360254,0.0182545294620328,0.0441475651466289,2.2084004639778363,0.0272163694906866,0.0165388778444106,0.1784521288622033,-0.34599591034958227,-0.6340185809370139,-0.050143560409761034
"School_closures_2_$35,000 - 75,000",0.1140042681730315,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.1140042681730315,0.1140042681730315,-0.4045828699127177,-0.44675767803230254,-0.35151157095802404
"School_closures_2_$75,000 - $150,000",0.1140042681730315,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.1140042681730315,0.1140042681730315,-0.4045828699127177,-0.44666042260954564,-0.35154802988826084
"School_closures_2_> $150,000",0.1140042681730315,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.1140042681730315,0.1140042681730315,-0.4045828699127177,-0.44664071010565254,-0.35148247457908666
School_closures_3,-0.1113627764454016,0.041926111080458,-2.656167566595709,0.0079034331691436,0.0450620756619381,-2.4713192814476708,0.013461557127963,-0.1935379541630993,-0.0291875987277038,0.39520863927081606,0.09317088648239724,0.6884051053176777
"School_closures_3_$35,000 - 75,000",-0.1154185676181484,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.1154185676181484,-0.1154185676181484,0.4096019918946499,0.35559451865010455,0.4526154351795061
"School_closures_3_$75,000 - $150,000",-0.1154185676181484,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.1154185676181484,-0.1154185676181484,0.4096019918946499,0.3554187681831239,0.452623593766013
"School_closures_3_> $150,000",-0.1154185676181484,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.1154185676181484,-0.1154185676181484,0.4096019918946499,0.35599410318596086,0.4524655180763647
School_closures_4,0.0342784260357932,0.0530057455929799,0.6466926491141198,0.5178308815530368,0.0540476817761894,0.6342256487103302,0.5259335711269153,-0.0696128353264473,0.1381696873980339,-0.12164863828258597,-0.48981261196756615,0.2497417067682689
"School_closures_4_$35,000 - 75,000",0.0219987062347791,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0219987062347791,0.0219987062347791,-0.0780698814655358,-0.08618723091966357,-0.06779631975834138
"School_closures_4_$75,000 - $150,000",0.0219987062347791,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0219987062347791,0.0219987062347791,-0.0780698814655358,-0.08622043487986739,-0.06772824229474873
"School_closures_4_> $150,000",0.0219987062347791,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0219987062347791,0.0219987062347791,-0.0780698814655358,-0.08618425399976298,-0.06776568214908733
School_closures_5,-0.2902456088716463,0.0525736786857343,-5.520739962037382,3.3757504125375704e-08,0.0555356663305593,-5.2262920038457175,1.729431635677514e-07,-0.3932900190956855,-0.187201198647607,1.0300351320059904,0.6291171482835511,1.4026442265561672
"School_closures_5_$35,000 - 75,000",-0.3380185162176029,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3380185162176029,-0.3380185162176029,1.1995735209439027,1.040718447051867,1.3248476523175943
"School_closures_5_$75,000 - $150,000",-0.3380185162176029,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3380185162176029,-0.3380185162176029,1.1995735209439027,1.0420075259744623,1.323573991520504
"School_closures_5_> $150,000",-0.3380185162176029,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,-0.3380185162176029,-0.3380185162176029,1.1995735209439027,1.0425017380440624,1.323955478547927
Transit_2,0.0143122344378136,0.0306273017820521,0.4673031447452115,0.6402830068460139,0.0335032080760945,0.42718996954879,0.6692409665329713,-0.0457172770550086,0.0743417459306358,-0.050791825398376074,-0.2644754851569179,0.1650132902469666
"Transit_2_$35,000 - 75,000",0.0090651069453789,-0.0,1.7976931348623157e+308,0.0,0.0,1.7976931348623157e+308,0.0,0.0090651069453789,0.0090651069453789,-0.0321706111780006,-0.0355368160951109,-0.027934826678969363
